Fold	Clade	Family	Subfamily
GTA	NoClade	GT12	GT12-1
GTA	Clade6	GT13	GT13-POMGNT1
GTA	Clade6	GT13	GT13-MGAT1
GTA	Clade7	GT14	GT14-1
GTA	Clade8	GT15	GT15-1
GTA	Clade6	GT16	GT16-1
GTA	Clade6	GT16	GT16-2
GTA	Clade7	GT17	GT17-1
GTA	Clade4	GT2-B3GntL	GT2-B3GntL-1
GTA	Clade1	GT2-Bre3	GT2-Bre3-1
GTA	NoClade	Mixed_groups	GT2-Mix-1
GTA	Clade1	GT2-CWR	GT2-CWR_Csl-1
GTA	Clade1	GT2-CWR	GT2-CWR_Csl-2
GTA	NoClade	Mixed_groups	GT2-Mix-2
GTA	Clade1	GT2-CeS	GT2-CeS-1
GTA	Clade1	GT2-CeS	GT2-CeS_putative
GTA	Clade1	GT2-Chitin-HAS	GT2-Chitin-HAS-1
GTA	Clade5	GT2-CHS	-
GTA	NoClade	Mixed_groups	GT2-Mix-3
GTA	Clade4	GT2-Class1	GT2-Class1-1
GTA	Clade4	GT2-Class1	GT2-Class1-2
GTA	NoClade	Mixed_groups	GT2-Mix-4
GTA	Clade2	GT2-DPs	GT2-DPs_Bact
GTA	Clade2	GT2-DPs	GT2-DPs_Mix
GTA	Clade3	GT2-LpsRelated	GT2-LpsRelated-1
GTA	NoClade	Mixed_groups	GT2-Mix-5
GTA	NoClade	GT2-Rham-GlfT	-
GTA	Clade1	GT21	GT21-1
GTA	Clade1	GT21	GT21-2
GTA	Clade1	GT21	GT21-3
GTA	Clade1	GT21	GT21-4
GTA	Clade9	GT24	GT24-1
GTA	Clade6	GT25	-
GTA	Clade5	GT27	GT27-1
GTA	Clade8	GT31-Chsy	GT31-Chsy-1
GTA	Clade8	GT31-Chsy	GT31-Chsy-2
GTA	Clade8	GT31-Euk	GT31-Euk-1
GTA	Clade8	GT31-Euk	GT31-Euk-2
GTA	Clade8	Mixed_groups	GT31-Mix-1
GTA	Clade8	GT31-Fringe	GT31-Fringe-1
GTA	Clade8	Mixed_groups	GT31-67_Mix
GTA	Clade8	GT31-Galt-Gnt	-
GTA	Clade8	GT31-Glt	GT31-Glt_B3GLCT
GTA	Clade8	GT31-Glt	GT31-Glt_C1GALT
GTA	NoClade	GT32	GT32-1
GTA	NoClade	GT32	GT32-2
GTA	NoClade	GT32	GT32-3
GTA	NoClade	GT32	GT32-4
GTA	NoClade	GT32	GT32-5
GTA	NoClade	GT34	GT34-1
GTA	NoClade	GT40	GT40-1
GTA	NoClade	GT43	GT43-B3GAT3
GTA	NoClade	GT43	GT43-Mix-1
GTA	NoClade	GT43	GT43-B3GAT2
GTA	NoClade	GT43	GT43-Mix-2
GTA	NoClade	GT43	GT43-B3GAT1
GTA	NoClade	GT43	GT43-Nematode
GTA	NoClade	GT45	GT45-1
GTA	NoClade	GT49	GT49-B4GAT1like
GTA	NoClade	GT49	GT49-Fungi
GTA	NoClade	GT49	GT49-LARGE
GTA	Clade6	GT54	GT54-MGAT4C
GTA	Clade6	GT54	GT54-MGAT4AB
GTA	Clade6	GT54	GT54-Chordate
GTA	Clade2	GT55	GT55-1
GTA	NoClade	GT6	GT6-Mix
GTA	NoClade	GT6	GT6-A3GALT
GTA	NoClade	GT6	GT6-ABO
GTA	NoClade	GT6	GT6-GLT6D1
GTA	Clade5	GT60	GT60-1
GTA	Clade3	GT62	GT62-1
GTA	Clade3	GT62	GT62-2
GTA	Clade3	GT62	GT62-3
GTA	NoClade	GT64	GT64-EXTLs
GTA	NoClade	GT64	GT64-EXTs
GTA	NoClade	GT64	GT64-Mix
GTA	Clade8	GT67	-
GTA	Clade5	GT7	GT7-1
GTA	NoClade	GT75	GT75-1
GTA	NoClade	GT75	GT75-2
GTA	NoClade	GT75	GT75-3
GTA	Clade9	GT77	GT77-1
GTA	Clade9	GT77	GT77-2
GTA	Clade2	GT78	-
GTA	Clade9	GT8-Fun	GT8-Fun-1
GTA	Clade9	Mixed_groups	GT8-GAUT_GATL_Mix
GTA	Clade9	GT8-GATL	GT8-GATL-1
GTA	Clade9	GT8-GAUT	GT8-GAUT-1
GTA	Clade9	GT8-GAUT	GT8-GAUT-2
GTA	Clade9	GT8-GAUT	GT8-GAUT-3
GTA	Clade9	GT8-GAUT	GT8-GAUT-4
GTA	Clade9	Mixed_groups	GT8-Mix-1
GTA	Clade9	GT8-Glycogenin	GT8-Glycogenin-1
GTA	Clade9	GT8-Glycogenin	GT8-Glycogenin-2
GTA	Clade9	Mixed_groups	GT8-Mix-2
GTA	Clade9	Mixed_groups	GT8-Mix-3
GTA	Clade9	GT8-LpsGlt	-
GTA	Clade9	GT8-Lrg	GT8-Lrg-1
GTA	Clade9	GT8-XylT	GT8-XylT-1
GTA	Clade2	GT81	GT81-1
GTA	Clade2	GT81	GT81-2
GTA	Clade2	Mixed_groups	GT2-DPs_81_Mix
GTA	Clade2	GT81	GT81-3
GTA	Clade7	GT82	GT82-1
GTA	Clade1	GT84	GT84-1
GTA	Clade1	GT84	GT84-2
GTA	Clade9	GT88	-
GTA	NoClade	Unclassified	Unclassified
