tr|A0A199UHN5|A0A199UHN5_ANACO	zf-Dof|GT	zf-Dof(87-137)|PLN02829(204-685)
tr|A0A1J7G8R3|A0A1J7G8R3_LUPAN	TMhelix|TMhelix|TIC20|GT	TMhelix(112-134)|TMhelix(149-171)|TIC20(84-239)|PLN02742(214-733)
tr|A0A103XI56|A0A103XI56_CYNCS	TMhelix|TMhelix|PLN02910	TMhelix(20-42)|TMhelix(207-226)|PLN02910(79-631)
tr|A0A199UVN3|A0A199UVN3_ANACO	TMhelix|TMhelix|GT-A	TMhelix(20-39)|TMhelix(60-82)|PLN02523(85-571)
tr|A0A1U7T9U3|A0A1U7T9U3_TARSY	TMhelix|TMhelix|GT-A	TMhelix(4-26)|TMhelix(38-57)|GT8_like_1(96-381)
tr|A9V296|A9V296_MONBE	TMhelix|TMhelix|GT-A	TMhelix(9-26)|TMhelix(30-47)|Glyco_tranf_GTA_type(86-278)
tr|M3WN57|M3WN57_FELCA	TMhelix|TMhelix|GT-A	TMhelix(4-23)|TMhelix(36-58)|GT8_like_1(96-381)
tr|A0A0E0A0V3|A0A0E0A0V3_9ORYZ	TMhelix|TMhelix|GT	TMhelix(20-42)|TMhelix(102-124)|PLN02769(13-667)
tr|A0A0E0HG22|A0A0E0HG22_ORYNI	TMhelix|TMhelix|GT	TMhelix(20-42)|TMhelix(101-123)|PLN02769(1-666)
tr|A0A0E0PP55|A0A0E0PP55_ORYRU	TMhelix|TMhelix|GT	TMhelix(20-42)|TMhelix(101-123)|PLN02769(13-666)
tr|A0A287QJN1|A0A287QJN1_HORVV	TMhelix|TMhelix|GT	TMhelix(38-60)|TMhelix(90-109)|PLN02870(1-561)
tr|A0A0D2TZR8|A0A0D2TZR8_CAPO3	TMhelix|SDR|EGF_3|GT-A	TMhelix(13-35)|SDR(107-464)|EGF_3(625-661)|Glyco_transf_8(827-1117)
tr|A0A1E5WIZ0|A0A1E5WIZ0_9POAL	TMhelix|PRK07003|GT	TMhelix(119-141)|PRK07003(81-244)|PLN02829(177-754)
tr|A0A0E0M3S5|A0A0E0M3S5_ORYPU	TMhelix|PLN02910|Protein_Kinase	TMhelix(13-35)|PLN02910(176-615)|STKc_IRAK(699-969)
tr|A0A0E0EU55|A0A0E0EU55_9ORYZ	TMhelix|PLN02910|PLN02910|Protein_Kinase	TMhelix(133-155)|PLN02910(219-796)|PLN02910(1021-1591)|STKc_IRAK(1707-1977)
