tr|K7IX37|K7IX37_NASVI	Vfa1|DUF1168|MBT|MBT|MBT|zf-C2HC|SAM|GT-A	Vfa1(425-572)|DUF1168(493-560)|MBT(594-689)|MBT(701-795)|MBT(807-899)|zf-C2HC(910-939)|SAM(1118-1146)|Fringe(1259-1508)
tr|A0A0V0TKG0|A0A0V0TKG0_9BILA	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(106-128)|Fringe(157-389)
tr|A0A0V0UQX3|A0A0V0UQX3_9BILA	TMhelix|TMhelix|GT-A	TMhelix(58-80)|TMhelix(148-170)|Fringe(199-431)
tr|A0A0V0WR68|A0A0V0WR68_9BILA	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(106-128)|Fringe(157-389)
tr|A0A0V0ZFI3|A0A0V0ZFI3_9BILA	TMhelix|TMhelix|GT-A	TMhelix(15-36)|TMhelix(107-129)|Fringe(158-390)
tr|A0A0V1LP58|A0A0V1LP58_9BILA	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(129-151)|Fringe(180-412)
tr|A0A0V1NSX0|A0A0V1NSX0_9BILA	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(102-124)|Fringe(153-385)
tr|A0A1X7UZQ2|A0A1X7UZQ2_AMPQE	TMhelix|GT-A|TMhelix	TMhelix(12-31)|Galactosyl_T(142-403)|TMhelix(439-458)
tr|A0A1S3IZ34|A0A1S3IZ34_LINUN	TMhelix|GT-A|GT-A	TMhelix(7-26)|Fringe(140-385)|Galactosyl_T(392-466)
sp|Q5YB40|MFNG_DANRE	TMhelix|GT-A	TMhelix(5-27)|Fringe(81-329)
tr|A0A0V0SNZ9|A0A0V0SNZ9_9BILA	TMhelix|GT-A	TMhelix(81-103)|Fringe(132-364)
tr|A0A0V1GZR3|A0A0V1GZR3_9BILA	TMhelix|GT-A	TMhelix(39-61)|Fringe(92-324)
tr|A0A151XEC5|A0A151XEC5_9HYME	TMhelix|GT-A	TMhelix(70-92)|Fringe(141-392)
tr|A0A154PRH7|A0A154PRH7_9HYME	TMhelix|GT-A	TMhelix(74-96)|Fringe(144-395)
tr|A0A158NVD6|A0A158NVD6_ATTCE	TMhelix|GT-A	TMhelix(69-91)|Fringe(140-391)
tr|A0A195BQK5|A0A195BQK5_9HYME	TMhelix|GT-A	TMhelix(69-91)|Fringe(140-391)
tr|A0A195CEV8|A0A195CEV8_9HYME	TMhelix|GT-A	TMhelix(70-92)|Fringe(141-363)
tr|A0A195DB56|A0A195DB56_9HYME	TMhelix|GT-A	TMhelix(71-93)|Fringe(142-393)
tr|A0A195F560|A0A195F560_9HYME	TMhelix|GT-A	TMhelix(70-92)|Fringe(141-392)
tr|A0A1A9W5R5|A0A1A9W5R5_9MUSC	TMhelix|GT-A	TMhelix(20-42)|Fringe(179-428)
tr|A0A1B0G6C4|A0A1B0G6C4_GLOMM	TMhelix|GT-A	TMhelix(20-42)|Fringe(179-436)
tr|A0A1D1UP71|A0A1D1UP71_RAMVA	TMhelix|GT-A	TMhelix(24-46)|Galactosyl_T(107-373)
tr|A0A1D1W2P1|A0A1D1W2P1_RAMVA	TMhelix|GT-A	TMhelix(48-65)|Fringe(154-404)
tr|A0A1S3QKQ0|A0A1S3QKQ0_SALSA	TMhelix|GT-A	TMhelix(7-26)|Fringe(110-358)
tr|A0A1V9XXE1|A0A1V9XXE1_9ACAR	TMhelix|GT-A	TMhelix(29-51)|Fringe(129-388)
tr|A0A1W0WI51|A0A1W0WI51_HYPDU	TMhelix|GT-A	TMhelix(25-47)|Galactosyl_T(62-346)
tr|A0A1W0X366|A0A1W0X366_HYPDU	TMhelix|GT-A	TMhelix(12-29)|Galactosyl_T(57-322)
tr|A0A1W0X3K4|A0A1W0X3K4_HYPDU	TMhelix|GT-A	TMhelix(12-29)|Galactosyl_T(70-335)
tr|A0A1W4XWQ6|A0A1W4XWQ6_AGRPL	TMhelix|GT-A	TMhelix(52-74)|Fringe(131-377)
tr|A0A1X7UZ05|A0A1X7UZ05_AMPQE	TMhelix|GT-A	TMhelix(7-25)|Galactosyl_T(147-413)
tr|A0A1X7V0B0|A0A1X7V0B0_AMPQE	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(141-404)
tr|A0A1Y9GLM6|A0A1Y9GLM6_ANOAR	TMhelix|GT-A	TMhelix(21-43)|Fringe(161-413)
tr|A0A226EI57|A0A226EI57_FOLCA	TMhelix|GT-A	TMhelix(43-65)|Fringe(188-431)
tr|A0A2C9KU68|A0A2C9KU68_BIOGL	TMhelix|GT-A	TMhelix(12-34)|Fringe(153-399)
tr|F7GPF4|F7GPF4_MACMU	TMhelix|GT-A	TMhelix(50-72)|Fringe(159-407)
