tr|A0A1U7QMM0|A0A1U7QMM0_MESAU	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(20-39)|TMhelix(107-129)|TMhelix(142-159)|Glyco_tranf_GTA_type(81-346)
tr|A0A2D0T1Y8|A0A2D0T1Y8_ICTPU	TMhelix|TMhelix|GT-A	TMhelix(4-26)|TMhelix(31-46)|Glyco_tranf_GTA_type(75-339)
tr|A0A2I4BXM3|A0A2I4BXM3_9TELE	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(104-121)|Glyco_tranf_GTA_type(73-337)
sp|A0A4Z3|A3LT2_RAT	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_6(67-338)
sp|P14769|GGTA1_BOVIN	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_6(85-366)
sp|P16442|BGAT_HUMAN	TMhelix|GT-A	TMhelix(21-43)|Glyco_transf_6(64-353)
sp|P23336|GGTA1_MOUSE	TMhelix|GT-A	TMhelix(42-60)|Glyco_transf_6(109-392)
sp|P38649|BGAT_MOUSE	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_6(45-332)
sp|P50127|GGTA1_PIG	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(86-369)
sp|Q3V1N9|A3LT2_MOUSE	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_6(98-369)
sp|Q8CFC4|BGAT2_RAT	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(47-334)
sp|Q8HY56|GGTA1_FELCA	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(85-368)
sp|Q8SQ20|GGTA1_CALJA	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(91-374)
sp|Q8VI38|GBGT1_MOUSE	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_6(60-346)
sp|Q95158|GBGT1_CANLF	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_6(60-347)
sp|Q9ET32|BGAT1_RAT	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_6(59-348)
sp|U3KPV4|A3LT2_HUMAN	TMhelix|GT-A	TMhelix(13-32)|Glyco_transf_6(68-339)
tr|A0A1A6GMY1|A0A1A6GMY1_NEOLE	TMhelix|GT-A	TMhelix(37-54)|Glyco_tranf_GTA_type(10-275)
tr|A0A1A6HAL7|A0A1A6HAL7_NEOLE	TMhelix|GT-A	TMhelix(30-52)|Glyco_transf_6(85-356)
tr|A0A1B8Y593|A0A1B8Y593_XENTR	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(63-350)
tr|A0A1B8Y595|A0A1B8Y595_XENTR	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(66-354)
tr|A0A1B8Y7U9|A0A1B8Y7U9_XENTR	TMhelix|GT-A	TMhelix(15-34)|Glyco_transf_6(86-359)
tr|A0A1L8F154|A0A1L8F154_XENLA	TMhelix|GT-A	TMhelix(9-26)|Glyco_tranf_GTA_type(55-337)
tr|A0A1L8F681|A0A1L8F681_XENLA	TMhelix|GT-A	TMhelix(34-53)|Glyco_tranf_GTA_type(70-352)
tr|A0A1L8F696|A0A1L8F696_XENLA	TMhelix|GT-A	TMhelix(20-39)|Glyco_tranf_GTA_type(77-365)
tr|A0A1L8F6B0|A0A1L8F6B0_XENLA	TMhelix|GT-A	TMhelix(13-31)|Glyco_transf_6(85-358)
tr|A0A1S2ZMD5|A0A1S2ZMD5_ERIEU	TMhelix|GT-A	TMhelix(22-39)|Glyco_tranf_GTA_type(56-319)
tr|A0A1S3AT41|A0A1S3AT41_ERIEU	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_6(88-371)
tr|A0A1S3FHK7|A0A1S3FHK7_DIPOR	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_6(67-338)
tr|A0A1S3G9W8|A0A1S3G9W8_DIPOR	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(76-359)
tr|A0A1S3LB74|A0A1S3LB74_SALSA	TMhelix|GT-A	TMhelix(20-37)|Glyco_tranf_GTA_type(76-338)
tr|A0A1S3QCL4|A0A1S3QCL4_SALSA	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(75-345)
tr|A0A1S3R686|A0A1S3R686_SALSA	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(44-327)
tr|A0A1S3RQ01|A0A1S3RQ01_SALSA	TMhelix|GT-A	TMhelix(23-45)|Glyco_transf_6(76-348)
tr|A0A1S3S6F4|A0A1S3S6F4_SALSA	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(78-348)
tr|A0A1U7QVM5|A0A1U7QVM5_MESAU	TMhelix|GT-A	TMhelix(185-202)|Glyco_tranf_GTA_type(230-506)
tr|A0A1U7R263|A0A1U7R263_MESAU	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_6(67-338)
tr|A0A1U7SJD8|A0A1U7SJD8_TARSY	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(89-372)
tr|A0A1U7SQA3|A0A1U7SQA3_TARSY	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_6(59-347)
tr|A0A1U8CPZ4|A0A1U8CPZ4_MESAU	TMhelix|GT-A	TMhelix(7-25)|Glyco_transf_6(86-369)
