tr|H5UNQ6|H5UNQ6_9MICO	YjiC|GT-A|GT-A	YjiC(1-119)|Glyco_tranf_GTA_type(347-478)|Glyco_tranf_GTA_type(509-553)
tr|A0A1N7JQ36|A0A1N7JQ36_9CORY	YjiC|COG4671|GT-A	YjiC(99-326)|COG4671(201-259)|GT2(370-519)
tr|A0A1I6KU61|A0A1I6KU61_9GAMM	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|GT-A	TMhelix(33-55)|TMhelix(65-82)|TMhelix(94-116)|TMhelix(120-142)|TMhelix(151-173)|TMhelix(183-205)|TMhelix(218-235)|TMhelix(239-256)|TMhelix(263-282)|Wzy_C(234-336)|TMhelix(334-356)|TMhelix(363-382)|GT2_Chondriotin_Pol_N(431-657)
tr|A0A1I2EFT7|A0A1I2EFT7_9GAMM	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|GT-A	TMhelix(33-55)|TMhelix(65-82)|TMhelix(95-114)|TMhelix(124-143)|TMhelix(150-172)|TMhelix(183-205)|TMhelix(218-235)|TMhelix(263-282)|Wzy_C(222-342)|TMhelix(334-356)|TMhelix(363-382)|GT2_Chondriotin_Pol_N(432-658)
tr|A0A2G8TFJ3|A0A2G8TFJ3_9BURK	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|GT-A	TMhelix(28-59)|TMhelix(74-93)|TMhelix(128-150)|TMhelix(174-196)|TMhelix(203-225)|TMhelix(240-262)|Wzy_C(206-359)|TMhelix(343-365)|TMhelix(380-398)|GT2_Chondriotin_Pol_N(434-663)
tr|A0A1Y1HK76|A0A1Y1HK76_KLENI	TMhelix|GT|GT-A	TMhelix(20-39)|O-FucT_like(118-400)|Glyco_tranf_GTA_type(465-614)
tr|A0A2T0XSI8|A0A2T0XSI8_9BACT	TMhelix|GT-A|TMhelix	TMhelix(15-37)|Glycos_transf_2(27-191)|TMhelix(279-301)
tr|A0A1L8HQX6|A0A1L8HQX6_XENLA	TMhelix|GT-A|GT-A	TMhelix(12-31)|Galactosyl_T(131-355)|CHGN(285-821)
tr|W5MNV6|W5MNV6_LEPOC	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(111-335)|CHGN(265-804)
tr|A0A085EI41|A0A085EI41_9FLAO	TMhelix|GT-A	TMhelix(188-210)|Glyco_tranf_GTA_type(243-421)
tr|A0A090VBK9|A0A090VBK9_9FLAO	TMhelix|GT-A	TMhelix(174-196)|Glyco_tranf_GTA_type(230-406)
tr|A0A0C1DPF8|A0A0C1DPF8_9FLAO	TMhelix|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(242-413)
tr|A0A0D0EMZ5|A0A0D0EMZ5_9FLAO	TMhelix|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(242-427)
tr|A0A0Q4RHX3|A0A0Q4RHX3_9FLAO	TMhelix|GT-A	TMhelix(186-208)|Glyco_tranf_GTA_type(241-412)
tr|A0A0Q7F6N5|A0A0Q7F6N5_9FLAO	TMhelix|GT-A	TMhelix(186-208)|Glyco_tranf_GTA_type(241-413)
