tr|K7FHZ4|K7FHZ4_PELSI	Vps53_N|GT-A|TMhelix	Vps53_N(33-175)|Glyco_transf_54(108-388)|TMhelix(281-303)
tr|D2VPL6|D2VPL6_NAEGR	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-22)|TMhelix(383-405)|TMhelix(418-440)|TMhelix(463-485)|TMhelix(606-628)|TMhelix(633-655)|TMhelix(662-684)
tr|A0A1Q9EBW3|A0A1Q9EBW3_SYMMI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|PLN03218|PLN03188|Motor_domain|GT-A|Ribo_biogen_C|DUF390	TMhelix(751-773)|TMhelix(786-803)|TMhelix(856-878)|TMhelix(913-935)|TMhelix(968-990)|TMhelix(997-1019)|PLN03218(1581-1856)|PLN03188(2326-2468)|Motor_domain(2401-2521)|Glyco_transf_54(2719-2797)|Ribo_biogen_C(3050-3165)|DUF390(3181-3388)
tr|A0A151I3W6|A0A151I3W6_9HYME	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(58-77)|Glyco_transf_54(145-424)
tr|A0A1S3CW16|A0A1S3CW16_DIACI	TMhelix|TMhelix|GT-A	TMhelix(266-288)|TMhelix(293-315)|Glyco_transf_54(394-666)
tr|A0A2K5LNS2|A0A2K5LNS2_CERAT	TMhelix|TMhelix|GT-A	TMhelix(5-27)|TMhelix(137-156)|Glyco_transf_54(103-359)
tr|A0A2K6BDL9|A0A2K6BDL9_MACNE	TMhelix|TMhelix|GT-A	TMhelix(5-25)|TMhelix(55-72)|Glyco_transf_54(93-359)
tr|I3M796|I3M796_ICTTR	TMhelix|TMhelix|GT-A	TMhelix(18-40)|TMhelix(223-245)|Glyco_transf_54(119-386)
tr|A0A2R2MTZ6|A0A2R2MTZ6_LINUN	TMhelix|TMhelix|Ferric_reduct|GT-A	TMhelix(12-34)|TMhelix(54-76)|Ferric_reduct(57-122)|Glyco_transf_54(245-520)
tr|B3RYI1|B3RYI1_TRIAD	TMhelix|Smc|GT-A	TMhelix(12-31)|Smc(32-204)|Glyco_transf_54(203-479)
tr|A0A1A9ZYL2|A0A1A9ZYL2_GLOPL	TMhelix|GT-A|zf-H2C2_2|zf-C2H2|zf-H2C2_2|zf-C2H2|zf-C2H2_8	TMhelix(7-28)|Glyco_transf_54(121-342)|zf-H2C2_2(732-756)|zf-C2H2(2326-2348)|zf-H2C2_2(2340-2365)|zf-C2H2(2354-2378)|zf-C2H2_8(2878-2921)
tr|U6PS54|U6PS54_HAECO	TMhelix|GT-A|TMhelix|TMhelix|GT-A	TMhelix(47-66)|Glyco_transf_54(112-386)|TMhelix(478-500)|TMhelix(583-605)|Glyco_transf_54(668-934)
tr|A0A2P4LFM6|A0A2P4LFM6_QUESU	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(13-30)|Glyco_transf_54(79-198)|TMhelix(241-263)|TMhelix(275-297)
tr|R0JUH5|R0JUH5_SETT2	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(4-26)|Glyco_transf_54(75-384)|TMhelix(246-268)|TMhelix(288-307)
tr|A0A1I7ST66|A0A1I7ST66_BURXY	TMhelix|GT-A|M20_dipept_like_CNDP	TMhelix(13-35)|Glyco_transf_54(79-338)|M20_dipept_like_CNDP(415-879)
sp|Q5F407|MGT4A_CHICK	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
sp|Q5U3T0|MGT4C_DANRE	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_54(48-304)
sp|Q6ITT3|MGT4C_PIG	TMhelix|GT-A	TMhelix(24-43)|Glyco_transf_54(69-330)
sp|Q9D306|MGT4C_MOUSE	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
sp|Q9UBM8|MGT4C_HUMAN	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A016TQM7|A0A016TQM7_9BILA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(53-330)
tr|A0A044TBV2|A0A044TBV2_ONCVO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(90-372)
tr|A0A0D2UDV0|A0A0D2UDV0_CAPO3	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(138-375)
tr|A0A0K0IXH6|A0A0K0IXH6_BRUMA	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(91-373)
tr|A0A0M4EQD1|A0A0M4EQD1_DROBS	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_54(74-344)
tr|A0A0V0SME2|A0A0V0SME2_9BILA	TMhelix|GT-A	TMhelix(7-22)|Glyco_transf_54(103-380)
tr|A0A0V0U7J5|A0A0V0U7J5_9BILA	TMhelix|GT-A	TMhelix(7-22)|Glyco_transf_54(103-380)
tr|A0A0V0V1N4|A0A0V0V1N4_9BILA	TMhelix|GT-A	TMhelix(7-22)|Glyco_transf_54(103-380)
tr|A0A0V0X4F9|A0A0V0X4F9_9BILA	TMhelix|GT-A	TMhelix(7-22)|Glyco_transf_54(103-380)
tr|A0A0V0Y9K1|A0A0V0Y9K1_TRIPS	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_54(104-381)
tr|A0A0V0ZSI5|A0A0V0ZSI5_9BILA	TMhelix|GT-A	TMhelix(7-22)|Glyco_transf_54(103-380)
tr|A0A0V1CF20|A0A0V1CF20_TRIBR	TMhelix|GT-A	TMhelix(7-22)|Glyco_transf_54(103-380)
tr|A0A0V1HAZ1|A0A0V1HAZ1_9BILA	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_54(104-381)
tr|A0A0V1MAW5|A0A0V1MAW5_9BILA	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_54(104-381)
tr|A0A0V1PLB8|A0A0V1PLB8_9BILA	TMhelix|GT-A	TMhelix(7-22)|Glyco_transf_54(103-380)
tr|A0A132A9R2|A0A132A9R2_SARSC	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(154-436)
tr|A0A151X6M2|A0A151X6M2_9HYME	TMhelix|GT-A	TMhelix(16-33)|Glyco_transf_54(102-381)
tr|A0A158NT14|A0A158NT14_ATTCE	TMhelix|GT-A	TMhelix(16-33)|Glyco_transf_54(102-381)
tr|A0A182DYJ7|A0A182DYJ7_ONCOC	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(90-371)
tr|A0A182F1M7|A0A182F1M7_ANOAL	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(92-372)
tr|A0A182FMR8|A0A182FMR8_ANOAL	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(133-414)
tr|A0A182LB26|A0A182LB26_9DIPT	TMhelix|GT-A	TMhelix(27-49)|Glyco_transf_54(141-422)
tr|A0A182M6G1|A0A182M6G1_9DIPT	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(127-408)
tr|A0A195CBI7|A0A195CBI7_9HYME	TMhelix|GT-A	TMhelix(16-33)|Glyco_transf_54(102-381)
tr|A0A195EHF9|A0A195EHF9_9HYME	TMhelix|GT-A	TMhelix(16-33)|Glyco_transf_54(102-381)
tr|A0A195FEQ3|A0A195FEQ3_9HYME	TMhelix|GT-A	TMhelix(16-33)|Glyco_transf_54(102-381)
tr|A0A1B0D404|A0A1B0D404_PHLPP	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(123-402)
tr|A0A1B0GIF0|A0A1B0GIF0_LUTLO	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_54(126-364)
tr|A0A1D2NB49|A0A1D2NB49_ORCCI	TMhelix|GT-A	TMhelix(7-24)|Glyco_transf_54(110-389)
tr|A0A1I7VYS9|A0A1I7VYS9_LOALO	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(101-383)
tr|A0A1L8GUS8|A0A1L8GUS8_XENLA	TMhelix|GT-A	TMhelix(9-27)|Glyco_transf_54(55-310)
tr|A0A1L8GYA9|A0A1L8GYA9_XENLA	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_54(91-350)
tr|A0A1L8HLV7|A0A1L8HLV7_XENLA	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(111-387)
tr|A0A1S2ZA78|A0A1S2ZA78_ERIEU	TMhelix|GT-A	TMhelix(24-43)|Glyco_transf_54(64-326)
tr|A0A1S3FA11|A0A1S3FA11_DIPOR	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A1S3H524|A0A1S3H524_LINUN	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(83-332)
tr|A0A1S3I2V0|A0A1S3I2V0_LINUN	TMhelix|GT-A	TMhelix(5-26)|Glyco_transf_54(79-311)
tr|A0A1S3JDJ3|A0A1S3JDJ3_LINUN	TMhelix|GT-A	TMhelix(4-23)|Glyco_transf_54(75-260)
tr|A0A1S3JSM1|A0A1S3JSM1_LINUN	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(118-381)
tr|A0A1S3JVA6|A0A1S3JVA6_LINUN	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(90-335)
tr|A0A1S3MJD4|A0A1S3MJD4_SALSA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_54(58-324)
tr|A0A1S3MJI3|A0A1S3MJI3_SALSA	TMhelix|GT-A	TMhelix(20-42)|Glyco_transf_54(54-316)
tr|A0A1U7QAL6|A0A1U7QAL6_MESAU	TMhelix|GT-A	TMhelix(20-37)|Glyco_transf_54(58-324)
tr|A0A1U7RN71|A0A1U7RN71_ALLSI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|A0A1U7RPT2|A0A1U7RPT2_ALLSI	TMhelix|GT-A	TMhelix(26-48)|Glyco_transf_54(78-341)
tr|A0A1U7THT8|A0A1U7THT8_TARSY	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A1U8DJL7|A0A1U8DJL7_ALLSI	TMhelix|GT-A	TMhelix(39-58)|Glyco_transf_54(79-341)
tr|A0A1V4JB22|A0A1V4JB22_PATFA	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|A0A1V4KMV3|A0A1V4KMV3_PATFA	TMhelix|GT-A	TMhelix(79-98)|Glyco_transf_54(119-385)
tr|A0A1W0WNB3|A0A1W0WNB3_HYPDU	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(104-369)
tr|A0A1W0X7R2|A0A1W0X7R2_HYPDU	TMhelix|GT-A	TMhelix(19-41)|Glyco_transf_54(110-385)
tr|A0A1W0XAE9|A0A1W0XAE9_HYPDU	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_54(122-396)
tr|A0A1W4U904|A0A1W4U904_DROFC	TMhelix|GT-A	TMhelix(28-50)|Glyco_transf_54(94-362)
tr|A0A1W4UMP4|A0A1W4UMP4_DROFC	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(130-413)
tr|A0A1W4WMT9|A0A1W4WMT9_AGRPL	TMhelix|GT-A	TMhelix(17-36)|Glyco_transf_54(120-398)
tr|A0A218V4N8|A0A218V4N8_9PASE	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_54(103-380)
tr|A0A226N1S5|A0A226N1S5_CALSU	TMhelix|GT-A	TMhelix(32-51)|Glyco_transf_54(79-338)
tr|A0A226NZB6|A0A226NZB6_COLVI	TMhelix|GT-A	TMhelix(26-45)|Glyco_transf_54(73-332)
tr|A0A287AS89|A0A287AS89_PIG	TMhelix|GT-A	TMhelix(24-43)|Glyco_transf_54(69-329)
tr|A0A2D0QQK1|A0A2D0QQK1_ICTPU	TMhelix|GT-A	TMhelix(43-60)|Glyco_transf_54(81-347)
tr|A0A2D0REY4|A0A2D0REY4_ICTPU	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_54(109-386)
tr|A0A2D0RJG7|A0A2D0RJG7_ICTPU	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_54(96-369)
tr|A0A2I2UFZ3|A0A2I2UFZ3_FELCA	TMhelix|GT-A	TMhelix(5-22)|Glyco_transf_54(58-321)
tr|A0A2I4CAK4|A0A2I4CAK4_9TELE	TMhelix|GT-A	TMhelix(70-92)|Glyco_transf_54(108-374)
tr|A0A2J7R874|A0A2J7R874_9NEOP	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_54(119-395)
tr|A0A2J8MIL4|A0A2J8MIL4_PANTR	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2J8SW66|A0A2J8SW66_PONAB	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2K5F2N7|A0A2K5F2N7_AOTNA	TMhelix|GT-A	TMhelix(58-75)|Glyco_transf_54(96-362)
tr|A0A2K5I5J2|A0A2K5I5J2_COLAP	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2K5KZJ4|A0A2K5KZJ4_CERAT	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2K5QFG8|A0A2K5QFG8_CEBCA	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2K5ZDV4|A0A2K5ZDV4_MANLE	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2K6G5I6|A0A2K6G5I6_PROCO	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2K6JR28|A0A2K6JR28_RHIBE	TMhelix|GT-A	TMhelix(5-23)|Glyco_transf_54(53-320)
tr|A0A2K6L864|A0A2K6L864_RHIBE	TMhelix|GT-A	TMhelix(36-53)|Glyco_transf_54(74-340)
tr|A0A2K6NJ90|A0A2K6NJ90_RHIRO	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2K6TB57|A0A2K6TB57_SAIBB	TMhelix|GT-A	TMhelix(26-43)|Glyco_transf_54(64-330)
tr|A0A2P4T565|A0A2P4T565_BAMTH	TMhelix|GT-A	TMhelix(27-46)|Glyco_transf_54(74-333)
