tr|A0A0D2VFJ7|A0A0D2VFJ7_CAPO3	VI_ClpV1|GT-A|GT-A	VI_ClpV1(41-171)|Glyco_tranf_GTA_type(167-496)|Glyco_transf_49(556-789)
tr|A0A232FL06|A0A232FL06_9HYME	Ubiquitin_like_fold|Atrophin-1|GT-A	Ubiquitin_like_fold(116-171)|Atrophin-1(737-828)|Glyco_tranf_GTA_type(1945-2182)
tr|A0A1I7VDC8|A0A1I7VDC8_LOALO	TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(52-74)|TMhelix(112-131)|TMhelix(144-166)|Glyco_tranf_GTA_type(114-391)|Glyco_transf_49(449-682)
tr|A0A2D0RVH2|A0A2D0RVH2_ICTPU	TMhelix|TMhelix|GT-A	TMhelix(10-32)|TMhelix(45-62)|Glyco_tranf_GTA_type(143-367)
tr|A0A0V1HKW6|A0A0V1HKW6_9BILA	TMhelix|GT-A|GT-A|nt_trans	TMhelix(12-31)|Glyco_tranf_GTA_type(64-340)|Glyco_transf_49(398-663)|nt_trans(742-791)
tr|G4LXQ0|G4LXQ0_SCHMA	TMhelix|GT-A|GT-A|GT-A	TMhelix(103-120)|Glyco_tranf_GTA_type(179-448)|Glyco_transf_49(600-661)|Glyco_transf_49(666-738)
sp|O95461|LARG1_HUMAN	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
sp|Q21389|LGE1_CAEEL	TMhelix|GT-A|GT-A	TMhelix(5-27)|GT8_LARGE_C(42-317)|Glyco_transf_49(354-603)
sp|Q66PG1|LARG2_DANRE	TMhelix|GT-A|GT-A	TMhelix(12-30)|GT8_LARGE_C(132-411)|Glyco_transf_49(467-736)
sp|Q66PG3|LARG1_CHICK	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
sp|Q9Z1M7|LARG1_MOUSE	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A044TPK9|A0A044TPK9_ONCVO	TMhelix|GT-A|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(72-337)|Glyco_transf_49(393-626)
tr|A0A088AMX0|A0A088AMX0_APIME	TMhelix|GT-A|GT-A	TMhelix(5-27)|GT8_LARGE_C(74-351)|Glyco_transf_49(397-667)
tr|A0A0V0T6I9|A0A0V0T6I9_9BILA	TMhelix|GT-A|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(63-339)|Glyco_transf_49(397-662)
tr|A0A0V0Y717|A0A0V0Y717_TRIPS	TMhelix|GT-A|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(64-340)|Glyco_transf_49(398-638)
tr|A0A0V1D094|A0A0V1D094_TRIBR	TMhelix|GT-A|GT-A	TMhelix(12-31)|Glyco_tranf_GTA_type(63-339)|Glyco_transf_49(397-662)
tr|A0A0V1L8R1|A0A0V1L8R1_9BILA	TMhelix|GT-A|GT-A	TMhelix(13-30)|Glyco_tranf_GTA_type(63-339)|Glyco_transf_49(397-662)
tr|A0A151HZU6|A0A151HZU6_9HYME	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(76-353)|Glyco_transf_49(399-675)
tr|A0A151I9C7|A0A151I9C7_9HYME	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(76-353)|Glyco_transf_49(399-669)
tr|A0A151JZA9|A0A151JZA9_9HYME	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(76-353)|Glyco_transf_49(399-669)
tr|A0A151XI10|A0A151XI10_9HYME	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(76-353)|Glyco_transf_49(399-669)
tr|A0A154PR36|A0A154PR36_9HYME	TMhelix|GT-A|GT-A	TMhelix(5-27)|GT8_LARGE_C(76-353)|Glyco_transf_49(399-669)
tr|A0A158N9E6|A0A158N9E6_ATTCE	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(76-353)|Glyco_transf_49(399-669)
tr|A0A158Q004|A0A158Q004_BRUMA	TMhelix|GT-A|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(60-337)|Glyco_transf_49(395-628)
tr|A0A195E5Z1|A0A195E5Z1_9HYME	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(76-353)|Glyco_transf_49(399-669)
tr|A0A1I7WXP0|A0A1I7WXP0_HETBA	TMhelix|GT-A|GT-A	TMhelix(75-97)|Glyco_tranf_GTA_type(124-372)|Glyco_transf_49(427-501)
tr|A0A1L8GQL2|A0A1L8GQL2_XENLA	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(134-373)|Glyco_transf_49(417-686)
tr|A0A1S3FWF7|A0A1S3FWF7_DIPOR	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A1U7U2V0|A0A1U7U2V0_TARSY	TMhelix|GT-A|GT-A	TMhelix(51-73)|GT8_LARGE_C(178-457)|Glyco_transf_49(513-782)
tr|A0A1U8DIB7|A0A1U8DIB7_ALLSI	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(140-419)|Glyco_transf_49(475-744)
tr|A0A1V4K7K2|A0A1V4K7K2_PATFA	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(136-415)|Glyco_transf_49(471-740)
tr|A0A1W0WXZ4|A0A1W0WXZ4_HYPDU	TMhelix|GT-A|GT-A	TMhelix(23-45)|Glyco_tranf_GTA_type(110-387)|Glyco_transf_49(439-672)
tr|A0A212FC44|A0A212FC44_DANPL	TMhelix|GT-A|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(85-360)|Glyco_transf_49(408-682)
tr|A0A218UZ55|A0A218UZ55_9PASE	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A226N1H2|A0A226N1H2_CALSU	TMhelix|GT-A|GT-A	TMhelix(7-29)|GT8_LARGE_C(121-390)|Glyco_transf_49(446-715)
tr|A0A226PS59|A0A226PS59_COLVI	TMhelix|GT-A|GT-A	TMhelix(7-29)|GT8_LARGE_C(121-390)|Glyco_transf_49(446-715)
tr|A0A232EV98|A0A232EV98_9HYME	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(75-350)|Glyco_transf_49(396-619)
tr|A0A2A4K034|A0A2A4K034_HELVI	TMhelix|GT-A|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(88-363)|Glyco_transf_49(411-684)
tr|A0A2B4SS01|A0A2B4SS01_STYPI	TMhelix|GT-A|GT-A	TMhelix(13-32)|GT8_LARGE_C(111-390)|Glyco_transf_49(454-722)
tr|A0A2D0QX56|A0A2D0QX56_ICTPU	TMhelix|GT-A|GT-A	TMhelix(12-31)|GT8_LARGE_C(129-408)|Glyco_transf_49(464-733)
tr|A0A2I2Z685|A0A2I2Z685_GORGO	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(433-594)
tr|A0A2I4CIG5|A0A2I4CIG5_9TELE	TMhelix|GT-A|GT-A	TMhelix(70-89)|GT8_LARGE_C(191-470)|Glyco_transf_49(527-795)
tr|A0A2K5P157|A0A2K5P157_CERAT	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2K5YPC0|A0A2K5YPC0_MANLE	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2K6AN31|A0A2K6AN31_MACNE	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2K6K897|A0A2K6K897_RHIBE	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A0A2K6PR53|A0A2K6PR53_RHIRO	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|A7RI93|A7RI93_NEMVE	TMhelix|GT-A|GT-A	TMhelix(13-32)|GT8_LARGE_C(120-399)|Glyco_transf_49(465-734)
tr|D2A1E1|D2A1E1_TRICA	TMhelix|GT-A|GT-A	TMhelix(33-55)|Glyco_tranf_GTA_type(103-381)|Glyco_transf_49(429-661)
tr|E2BB30|E2BB30_HARSA	TMhelix|GT-A|GT-A	TMhelix(4-26)|GT8_LARGE_C(72-349)|Glyco_transf_49(395-665)
tr|F1NC73|F1NC73_CHICK	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|F1P723|F1P723_CANLF	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|F2UC10|F2UC10_SALR5	TMhelix|GT-A|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(120-401)|Glyco_transf_49(535-773)
tr|F4X0V5|F4X0V5_ACREC	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(76-343)|Glyco_transf_49(349-619)
tr|F6QJZ2|F6QJZ2_MACMU	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|F6W6X6|F6W6X6_HORSE	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|F7CJ04|F7CJ04_MONDO	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|G1KQ05|G1KQ05_ANOCA	TMhelix|GT-A|GT-A	TMhelix(47-69)|GT8_LARGE_C(174-453)|Glyco_transf_49(509-778)
tr|G1KQH8|G1KQH8_ANOCA	TMhelix|GT-A|GT-A	TMhelix(7-29)|GT8_LARGE_C(117-431)|Glyco_transf_49(487-756)
tr|G1MCE4|G1MCE4_AILME	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|G1SG12|G1SG12_RABIT	TMhelix|GT-A|GT-A	TMhelix(48-70)|GT8_LARGE_C(175-454)|Glyco_transf_49(510-779)
tr|G3HN56|G3HN56_CRIGR	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|G3TKC6|G3TKC6_LOXAF	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|G3WZB2|G3WZB2_SARHA	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
tr|G7PFA2|G7PFA2_MACFA	TMhelix|GT-A|GT-A	TMhelix(12-34)|GT8_LARGE_C(138-417)|Glyco_transf_49(473-742)
