tr|A0A1Z5TUS2|A0A1Z5TUS2_HORWE	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(49-71)|TMhelix(83-105)|TMhelix(109-128)|TMhelix(135-157)|TMhelix(172-194)|MFS(10-452)|TMhelix(292-314)|TMhelix(324-343)|TMhelix(356-378)|TMhelix(393-415)|TMhelix(422-441)|Glyco_tranf_GTA_type(574-870)
tr|E3RVZ2|E3RVZ2_PYRTT	TMhelix|GT-A|zf-U1	TMhelix(12-29)|Glyco_tranf_GTA_type(74-346)|zf-U1(371-408)
tr|A0A1F7ZQ02|A0A1F7ZQ02_9EURO	TMhelix|GT-A|DUF1996	TMhelix(41-58)|Glyco_tranf_GTA_type(80-366)|DUF1996(424-655)
tr|A0A1S9DG50|A0A1S9DG50_ASPOZ	TMhelix|GT-A|DUF1996	TMhelix(40-57)|Glyco_tranf_GTA_type(80-357)|DUF1996(393-512)
tr|A0A2G7G869|A0A2G7G869_9EURO	TMhelix|GT-A|DUF1996	TMhelix(40-57)|Glyco_tranf_GTA_type(80-366)|DUF1996(372-484)
tr|K1WGK2|K1WGK2_MARBU	TMhelix|GT-A|4HBT_2	TMhelix(28-47)|Glyco_tranf_GTA_type(84-354)|4HBT_2(517-644)
sp|Q4HVS2|GNT1_GIBZE	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(155-426)
sp|Q4WBL2|GNT1_ASPFU	TMhelix|GT-A	TMhelix(40-57)|GT8_GNT1(80-366)
sp|Q6BUZ2|GNT1_DEBHA	TMhelix|GT-A	TMhelix(12-34)|GT8_GNT1(68-454)
sp|Q6FQ15|GNT1_CANGA	TMhelix|GT-A	TMhelix(12-34)|Glyco_tranf_GTA_type(91-480)
tr|A0A010SA77|A0A010SA77_9PEZI	TMhelix|GT-A	TMhelix(134-153)|Glyco_tranf_GTA_type(193-468)
tr|A0A017S9R7|A0A017S9R7_9EURO	TMhelix|GT-A	TMhelix(41-58)|Glyco_tranf_GTA_type(80-366)
tr|A0A098DW16|A0A098DW16_GIBZE	TMhelix|GT-A	TMhelix(31-48)|Glyco_tranf_GTA_type(72-341)
tr|A0A0C4DJE4|A0A0C4DJE4_FUSO4	TMhelix|GT-A	TMhelix(9-31)|Glyco_tranf_GTA_type(70-318)
