tr|A0A090N4Q2|A0A090N4Q2_OSTTA	SANT|GT-A	SANT(216-263)|Glyco_tranf_GTA_type(509-747)
tr|W5Q2X4|W5Q2X4_SHEEP	GT-A|Urocanase	beta3GnTL1_like(21-239)|Urocanase(222-283)
tr|E3NE16|E3NE16_CAERE	GT-A|TMhelix|TMhelix|TMhelix|GT-A	Glyco_tranf_GTA_type(8-156)|TMhelix(167-189)|TMhelix(209-231)|TMhelix(244-266)|Glyco_tranf_GTA_type(1164-1248)
tr|A0A2A9M8G3|A0A2A9M8G3_9APIC	GT-A|GT-A	Glyco_tranf_GTA_type(111-136)|Glyco_tranf_GTA_type(370-546)
tr|F0VBN0|F0VBN0_NEOCL	GT-A|GT-A	Glyco_tranf_GTA_type(103-126)|Glyco_tranf_GTA_type(355-583)
tr|A0A1B0D6X2|A0A1B0D6X2_PHLPP	GT-A|Cupredoxin	Glyco_tranf_GTA_type(20-238)|Cupredoxin(215-278)
tr|C1MK77|C1MK77_MICPC	GT-A|A2M_comp	Glyco_tranf_GTA_type(134-381)|A2M_comp(407-441)
sp|Q3U129|B3GNL_MOUSE	GT-A	beta3GnTL1_like(18-236)
sp|Q67FW5|B3GNL_HUMAN	GT-A	beta3GnTL1_like(22-240)
sp|Q6GV29|B3GNL_RAT	GT-A	beta3GnTL1_like(18-236)
tr|A0A016UDA8|A0A016UDA8_9BILA	GT-A	Glyco_tranf_GTA_type(5-225)
tr|A0A024TNI5|A0A024TNI5_9STRA	GT-A	Glyco_tranf_GTA_type(28-239)
tr|A0A067QNK3|A0A067QNK3_ZOONE	GT-A	Glyco_tranf_GTA_type(12-232)
tr|A0A0K0J9X2|A0A0K0J9X2_BRUMA	GT-A	Glyco_tranf_GTA_type(22-191)
tr|A0A132AKU0|A0A132AKU0_SARSC	GT-A	Glyco_tranf_GTA_type(9-226)
tr|A0A151ZAJ5|A0A151ZAJ5_9MYCE	GT-A	Glyco_tranf_GTA_type(88-372)
tr|A0A1A9UYB5|A0A1A9UYB5_GLOAU	GT-A	Glyco_tranf_GTA_type(13-272)
tr|A0A1A9WK99|A0A1A9WK99_9MUSC	GT-A	Glyco_tranf_GTA_type(13-289)
tr|A0A1A9Y519|A0A1A9Y519_GLOFF	GT-A	Glyco_tranf_GTA_type(13-273)
tr|A0A1A9Z9G5|A0A1A9Z9G5_GLOPL	GT-A	Glyco_tranf_GTA_type(13-270)
tr|A0A1B0FHQ9|A0A1B0FHQ9_GLOMM	GT-A	Glyco_tranf_GTA_type(13-270)
tr|A0A1B0GIS3|A0A1B0GIS3_LUTLO	GT-A	Glyco_tranf_GTA_type(22-240)
tr|A0A1D2NJB0|A0A1D2NJB0_ORCCI	GT-A	Glyco_tranf_GTA_type(5-245)
tr|A0A1D5RH26|A0A1D5RH26_MACMU	GT-A	beta3GnTL1_like(86-304)
tr|A0A1E7F4Z5|A0A1E7F4Z5_9STRA	GT-A	Glyco_tranf_GTA_type(19-333)
tr|A0A1I7ULY0|A0A1I7ULY0_9PELO	GT-A	Glyco_tranf_GTA_type(9-234)
tr|A0A1I7WPF7|A0A1I7WPF7_HETBA	GT-A	Glyco_tranf_GTA_type(22-183)
tr|A0A1I7ZW16|A0A1I7ZW16_9BILA	GT-A	Glyco_tranf_GTA_type(12-234)
tr|A0A1I8CG35|A0A1I8CG35_9BILA	GT-A	Glyco_tranf_GTA_type(1-220)
tr|A0A1I8HWM3|A0A1I8HWM3_9PLAT	GT-A	Glyco_tranf_GTA_type(6-226)
tr|A0A1I8N6U3|A0A1I8N6U3_MUSDO	GT-A	Glyco_tranf_GTA_type(45-239)
tr|A0A1I8PZM2|A0A1I8PZM2_STOCA	GT-A	Glyco_tranf_GTA_type(121-314)
tr|A0A1S2ZU21|A0A1S2ZU21_ERIEU	GT-A	beta3GnTL1_like(21-239)
tr|A0A1S3GIA5|A0A1S3GIA5_DIPOR	GT-A	Glyco_tranf_GTA_type(1-192)
tr|A0A1S3HN17|A0A1S3HN17_LINUN	GT-A	Glyco_tranf_GTA_type(6-224)
tr|A0A1S3QBX4|A0A1S3QBX4_SALSA	GT-A	Glyco_tranf_GTA_type(95-313)
tr|A0A1U7QAS2|A0A1U7QAS2_MESAU	GT-A	beta3GnTL1_like(18-236)
tr|A0A1U7SB99|A0A1U7SB99_ALLSI	GT-A	beta3GnTL1_like(31-249)
tr|A0A1U7T1E7|A0A1U7T1E7_TARSY	GT-A	beta3GnTL1_like(48-266)
tr|A0A1U8BNM5|A0A1U8BNM5_MESAU	GT-A	beta3GnTL1_like(18-236)
tr|A0A1V4KWN3|A0A1V4KWN3_PATFA	GT-A	beta3GnTL1_like(33-275)
tr|A0A1V9Y3X6|A0A1V9Y3X6_9ACAR	GT-A	Glyco_tranf_GTA_type(9-247)
tr|A0A1X7VSF2|A0A1X7VSF2_AMPQE	GT-A	Glyco_tranf_GTA_type(3-188)
tr|A0A1Y1HL90|A0A1Y1HL90_KLENI	GT-A	Glyco_tranf_GTA_type(44-258)
tr|A0A1Y3ASN8|A0A1Y3ASN8_EURMA	GT-A	Glyco_tranf_GTA_type(7-231)
tr|A0A1Z5KJY3|A0A1Z5KJY3_FISSO	GT-A	Glyco_tranf_GTA_type(9-270)
tr|A0A1Z5KTW4|A0A1Z5KTW4_FISSO	GT-A	Glyco_tranf_GTA_type(9-256)
tr|A0A226EEE4|A0A226EEE4_FOLCA	GT-A	Glyco_tranf_GTA_type(17-248)
tr|A0A232F988|A0A232F988_9HYME	GT-A	Glyco_tranf_GTA_type(12-233)
tr|A0A261BJC5|A0A261BJC5_9PELO	GT-A	Glyco_tranf_GTA_type(44-269)
tr|A0A2A2LDB4|A0A2A2LDB4_9BILA	GT-A	Glyco_tranf_GTA_type(8-238)
tr|A0A2A4K4Y3|A0A2A4K4Y3_HELVI	GT-A	Glyco_tranf_GTA_type(6-225)
tr|A0A2C9JQL1|A0A2C9JQL1_BIOGL	GT-A	Glyco_tranf_GTA_type(9-226)
tr|A0A2D0Q427|A0A2D0Q427_ICTPU	GT-A	beta3GnTL1_like(219-437)
tr|A0A2G5VH95|A0A2G5VH95_9PELO	GT-A	Glyco_tranf_GTA_type(9-235)
tr|A0A2G8LHF0|A0A2G8LHF0_STIJA	GT-A	Glyco_tranf_GTA_type(24-186)
tr|A0A2I2URD1|A0A2I2URD1_FELCA	GT-A	beta3GnTL1_like(20-238)
tr|A0A2I2ZYG4|A0A2I2ZYG4_GORGO	GT-A	Glyco_tranf_GTA_type(22-195)
tr|A0A2I4CTI9|A0A2I4CTI9_9TELE	GT-A	beta3GnTL1_like(33-251)
tr|A0A2J7Q257|A0A2J7Q257_9NEOP	GT-A	Glyco_tranf_GTA_type(2-176)
