tr|Q01A30|Q01A30_OSTTA	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(142-164)|TMhelix(184-206)|TMhelix(506-528)|TMhelix(538-560)|TMhelix(572-594)
tr|A0A2N5UAD1|A0A2N5UAD1_9BASI	TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(462-481)|TMhelix(488-510)|TMhelix(530-552)|TMhelix(768-790)|Glyco_trans_2_3(901-1111)|TMhelix(1064-1081)|TMhelix(1088-1110)|TMhelix(1125-1147)
tr|A4RWU6|A4RWU6_OSTLU	TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(169-191)|TMhelix(206-228)|TMhelix(528-550)|TMhelix(560-582)
tr|A0A2C9K6J7|A0A2C9K6J7_BIOGL	TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(26-48)|TMhelix(69-91)|TMhelix(111-133)|Glyco_trans_2_3(241-452)|TMhelix(402-423)|TMhelix(433-455)|TMhelix(468-490)
tr|A0A154PNH0|A0A154PNH0_9HYME	TMhelix|TMhelix|TMhelix|GT-A|Ribosomal_P2	TMhelix(9-31)|TMhelix(51-73)|TMhelix(85-102)|Glyco_trans_2_3(185-337)|Ribosomal_P2(330-390)
tr|C1EIJ6|C1EIJ6_MICCC	TMhelix|TMhelix|TMhelix|ATP-synt_I|TMhelix	TMhelix(263-285)|TMhelix(306-328)|TMhelix(704-726)|ATP-synt_I(686-771)|TMhelix(741-763)
tr|W7TT66|W7TT66_9STRA	TMhelix|TMhelix|TMhelix|Acetyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(138-160)|TMhelix(187-209)|TMhelix(216-235)|OafA(127-392)|TMhelix(250-272)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(346-368)|TMhelix(378-397)|TMhelix(488-510)|TMhelix(525-547)|Glyco_trans_2_3(663-866)|TMhelix(834-853)|TMhelix(863-885)|TMhelix(898-920)
tr|A0A0F4KEP3|A0A0F4KEP3_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(29-48)|TMhelix(58-80)|Glyco_tranf_2_3(99-351)|TMhelix(373-395)|TMhelix(400-422)|TMhelix(443-465)
tr|A0A0G3ABW7|A0A0G3ABW7_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(20-39)|TMhelix(49-71)|Glyco_tranf_2_3(90-343)|TMhelix(360-382)|TMhelix(392-414)|TMhelix(435-457)
tr|A0A0N1FQE7|A0A0N1FQE7_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(26-48)|TMhelix(58-80)|Glyco_tranf_2_3(99-351)|TMhelix(373-395)|TMhelix(400-422)|TMhelix(443-465)
tr|A0A117K8L9|A0A117K8L9_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(20-39)|TMhelix(49-71)|Glyco_tranf_2_3(90-343)|TMhelix(360-382)|TMhelix(392-414)|TMhelix(435-457)
tr|A0A1C3P6J3|A0A1C3P6J3_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(39-58)|TMhelix(68-90)|Glyco_tranf_2_3(111-362)|TMhelix(379-401)|TMhelix(411-433)|TMhelix(454-476)
tr|A0A1H5L7Z2|A0A1H5L7Z2_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(29-48)|TMhelix(58-80)|Glyco_tranf_2_3(99-352)|TMhelix(369-391)|TMhelix(401-423)|TMhelix(444-466)
tr|A0A1M6UZ40|A0A1M6UZ40_PSETH	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(41-60)|TMhelix(70-92)|Glyco_tranf_2_3(116-364)|TMhelix(381-403)|TMhelix(413-435)|TMhelix(456-478)
tr|A0A1S2Q1W1|A0A1S2Q1W1_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(29-48)|TMhelix(58-80)|Glyco_tranf_2_3(99-352)|TMhelix(369-391)|TMhelix(401-423)|TMhelix(444-466)
tr|A0A239NQ05|A0A239NQ05_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(24-46)|TMhelix(61-80)|Glyco_tranf_2_3(99-352)|TMhelix(369-391)|TMhelix(401-423)|TMhelix(444-466)
tr|B5HPZ2|B5HPZ2_9ACTN	TMhelix|TMhelix|GT|TMhelix|TMhelix|TMhelix	TMhelix(20-39)|TMhelix(49-71)|Glyco_tranf_2_3(90-343)|TMhelix(360-382)|TMhelix(392-414)|TMhelix(435-457)
