tr|A0A0K8P9Y5|A0A0K8P9Y5_9CHLR	Uncharacterized|Uncharacterized|GT-A	DUF4422(126-365)|DUF4422(404-645)|GT8_A4GalT_like(680-939)
tr|A0A222MWA8|A0A222MWA8_9PROT	Uncharacterized|GT-A|TMhelix	DUF4422(32-280)|GT8_A4GalT_like(315-582)|TMhelix(644-666)
tr|A0A222MVJ5|A0A222MVJ5_9PROT	Uncharacterized|GT-A|GT-A|CPSase_L_D2	DUF4422(32-273)|GT8_A4GalT_like(305-569)|GT8_A4GalT_like(627-873)|CPSase_L_D2(1089-1369)
tr|A0A085JHC3|A0A085JHC3_9GAMM	Uncharacterized|GT-A	DUF4422(5-244)|GT8_A4GalT_like(279-547)
tr|A0A095T6A7|A0A095T6A7_9GAMM	Uncharacterized|GT-A	DUF4422(5-244)|GT8_A4GalT_like(279-547)
tr|A0A0A3APM3|A0A0A3APM3_9PAST	Uncharacterized|GT-A	DUF4422(8-244)|GT8_A4GalT_like(281-544)
tr|A0A0B4FAY1|A0A0B4FAY1_9RHOB	Uncharacterized|GT-A	DUF4422(6-233)|GT8_A4GalT_like(271-537)
tr|A0A0D5LML5|A0A0D5LML5_9RHIZ	Uncharacterized|GT-A	DUF4422(8-241)|GT8_A4GalT_like(292-540)
tr|A0A0D6NEB6|A0A0D6NEB6_9PROT	Uncharacterized|GT-A	DUF4422(4-238)|GT8_A4GalT_like(288-538)
tr|A0A0H3GVT2|A0A0H3GVT2_KLEPH	Uncharacterized|GT-A	DUF4422(1-168)|GT8_A4GalT_like(202-470)
tr|A0A0H3HGW0|A0A0H3HGW0_KLEOK	Uncharacterized|GT-A	DUF4422(5-244)|GT8_A4GalT_like(278-545)
tr|A0A0N8K6L1|A0A0N8K6L1_9RHOB	Uncharacterized|GT-A	DUF4422(6-232)|GT8_A4GalT_like(270-535)
tr|A0A0P1H2D3|A0A0P1H2D3_9RHOB	Uncharacterized|GT-A	DUF4422(5-233)|GT8_A4GalT_like(271-538)
tr|A0A0S2W560|A0A0S2W560_9FIRM	Uncharacterized|GT-A	DUF4422(5-254)|Glyco_tranf_GTA_type(287-543)
tr|A0A0U5FTY0|A0A0U5FTY0_9PROT	Uncharacterized|GT-A	DUF4422(4-236)|GT8_A4GalT_like(285-534)
tr|A0A127CP72|A0A127CP72_9RHIZ	Uncharacterized|GT-A	DUF4422(5-241)|GT8_A4GalT_like(295-543)
tr|A0A149Q3S4|A0A149Q3S4_9PROT	Uncharacterized|GT-A	DUF4422(13-250)|GT8_A4GalT_like(291-559)
tr|A0A1C4AS93|A0A1C4AS93_9GAMM	Uncharacterized|GT-A	DUF4422(4-236)|GT8_A4GalT_like(278-526)
tr|A0A1I3THQ0|A0A1I3THQ0_9RHOB	Uncharacterized|GT-A	DUF4422(4-242)|GT8_A4GalT_like(279-547)
tr|A0A1R4A4L8|A0A1R4A4L8_HALED	Uncharacterized|GT-A	DUF4422(5-243)|GT8_A4GalT_like(277-544)
tr|A0A1S9CGR3|A0A1S9CGR3_9FIRM	Uncharacterized|GT-A	DUF4422(5-251)|GT8_A4GalT_like(287-559)
tr|A0A1S9CGT0|A0A1S9CGT0_9FIRM	Uncharacterized|GT-A	DUF4422(5-251)|GT8_A4GalT_like(287-558)
tr|A0A1S9CGW9|A0A1S9CGW9_9FIRM	Uncharacterized|GT-A	DUF4422(5-251)|GT8_A4GalT_like(287-559)
tr|A0A1S9CH27|A0A1S9CH27_9FIRM	Uncharacterized|GT-A	DUF4422(5-254)|Glyco_tranf_GTA_type(289-551)
tr|A0A1T4KH60|A0A1T4KH60_9ACTN	Uncharacterized|GT-A	DUF4422(10-248)|GT8_A4GalT_like(290-559)
tr|A0A1T4QZP9|A0A1T4QZP9_9ENTE	Uncharacterized|GT-A	DUF4422(308-548)|GT8_A4GalT_like(585-848)
tr|A0A1U9LGG1|A0A1U9LGG1_9PROT	Uncharacterized|GT-A	DUF4422(13-250)|GT8_A4GalT_like(291-559)
tr|A0A1U9YW11|A0A1U9YW11_9RHIZ	Uncharacterized|GT-A	DUF4422(6-239)|GT8_A4GalT_like(290-538)
tr|A0A1V2M8W3|A0A1V2M8W3_9FIRM	Uncharacterized|GT-A	DUF4422(5-252)|Glyco_tranf_GTA_type(290-554)
tr|A0A1Y4BLV7|A0A1Y4BLV7_9ACTN	Uncharacterized|GT-A	DUF4422(7-247)|GT8_A4GalT_like(285-545)
tr|A0A1Y4DPA4|A0A1Y4DPA4_9BACT	Uncharacterized|GT-A	DUF4422(9-255)|GT8_A4GalT_like(291-547)
tr|A0A1Y4NZH7|A0A1Y4NZH7_9FIRM	Uncharacterized|GT-A	DUF4422(5-236)|Glyco_tranf_GTA_type(261-453)
tr|A0A1Y5TSE5|A0A1Y5TSE5_9RHOB	Uncharacterized|GT-A	DUF4422(6-231)|GT8_A4GalT_like(270-536)
tr|A0A212QKN9|A0A212QKN9_RHOAC	Uncharacterized|GT-A	DUF4422(12-244)|GT8_A4GalT_like(293-539)
tr|A0A2D8P5P0|A0A2D8P5P0_9RHOB	Uncharacterized|GT-A	DUF4422(5-232)|GT8_A4GalT_like(270-536)
tr|A0A2M9HB98|A0A2M9HB98_9BIFI	Uncharacterized|GT-A	DUF4422(14-252)|GT8_A4GalT_like(295-557)
tr|A0A2P8F7A8|A0A2P8F7A8_9RHOB	Uncharacterized|GT-A	DUF4422(1-196)|GT8_A4GalT_like(234-502)
tr|A0A2R8AS72|A0A2R8AS72_9RHOB	Uncharacterized|GT-A	DUF4422(6-233)|GT8_A4GalT_like(271-539)
tr|A0A2S6N9D4|A0A2S6N9D4_9RHIZ	Uncharacterized|GT-A	DUF4422(12-244)|GT8_A4GalT_like(293-540)
tr|A0A2S6NAG1|A0A2S6NAG1_9RHIZ	Uncharacterized|GT-A	DUF4422(12-247)|GT8_A4GalT_like(296-542)
tr|A0A2T0JPP6|A0A2T0JPP6_9RHIZ	Uncharacterized|GT-A	DUF4422(8-241)|GT8_A4GalT_like(295-543)
tr|A3VFX3|A3VFX3_9RHOB	Uncharacterized|GT-A	DUF4422(5-232)|GT8_A4GalT_like(269-535)
tr|A5EVI8|A5EVI8_DICNV	Uncharacterized|GT-A	DUF4422(8-241)|GT8_A4GalT_like(280-543)
tr|B2VFN0|B2VFN0_ERWT9	Uncharacterized|GT-A	DUF4422(5-243)|GT8_A4GalT_like(277-545)
tr|C4FCT9|C4FCT9_9BIFI	Uncharacterized|GT-A	DUF4422(13-256)|GT8_A4GalT_like(293-555)
tr|C8N7M8|C8N7M8_CARH6	Uncharacterized|GT-A	DUF4422(7-243)|GT8_A4GalT_like(280-543)
tr|D1Y7U2|D1Y7U2_9BACT	Uncharacterized|GT-A	DUF4422(5-245)|GT8_A4GalT_like(283-541)
tr|D4L2H1|D4L2H1_9FIRM	Uncharacterized|GT-A	DUF4422(19-245)|GT8_A4GalT_like(279-539)
tr|D4L2H3|D4L2H3_9FIRM	Uncharacterized|GT-A	DUF4422(5-245)|GT8_A4GalT_like(280-541)
tr|G2T560|G2T560_ROSHA	Uncharacterized|GT-A	DUF4422(57-209)|GT8_A4GalT_like(264-517)
tr|G8QS50|G8QS50_SPHPG	Uncharacterized|GT-A	DUF4422(7-221)|GT8_A4GalT_like(255-517)
tr|I2B7P7|I2B7P7_SHIBC	Uncharacterized|GT-A	DUF4422(5-244)|GT8_A4GalT_like(279-546)
tr|J2DHT2|J2DHT2_KLEPN	Uncharacterized|GT-A	DUF4422(7-146)|GT8_A4GalT_like(180-448)
tr|N2A721|N2A721_9FIRM	Uncharacterized|GT-A	DUF4422(5-245)|GT8_A4GalT_like(279-540)
tr|N2AFF0|N2AFF0_9FIRM	Uncharacterized|GT-A	DUF4422(5-126)|GT8_A4GalT_like(158-418)
tr|N2AGV6|N2AGV6_9FIRM	Uncharacterized|GT-A	DUF4422(10-250)|GT8_A4GalT_like(283-543)
tr|N2BMM0|N2BMM0_9FIRM	Uncharacterized|GT-A	DUF4422(5-245)|GT8_A4GalT_like(284-543)
tr|R7ABD7|R7ABD7_9CLOT	Uncharacterized|GT-A	DUF4422(5-244)|GT8_A4GalT_like(281-543)
