tr|L1IHE2|L1IHE2_GUITH	zinc_ribbon_2|C2|WW|LRR_RI|GT-A	zinc_ribbon_2(5-27)|C2(432-541)|WW(674-703)|LRR_RI(913-1084)|Glyco_transf_49(1383-1580)
tr|A0A2R6WUK5|A0A2R6WUK5_MARPO	WW|GT-A	WW(56-89)|Glyco_transf_49(538-837)
tr|A0A0D2VFJ7|A0A0D2VFJ7_CAPO3	VI_ClpV1|GT-A|GT-A	VI_ClpV1(41-171)|Glyco_tranf_GTA_type(167-496)|Glyco_transf_49(556-789)
tr|A0A150GJ48|A0A150GJ48_GONPE	Vasohibin|GT-A	Vasohibin(68-257)|Glyco_transf_49(330-601)
tr|A0A0M5J8X0|A0A0M5J8X0_DROBS	TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(5-23)|TMhelix(52-74)|TMhelix(81-103)|TMhelix(123-145)|Glyco_transf_49(194-511)
tr|B5Y3E7|B5Y3E7_PHATC	TMhelix|TMhelix|TMhelix|SDF|TMhelix|TMhelix|GT-A	TMhelix(107-129)|TMhelix(136-158)|TMhelix(285-307)|SDF(89-505)|TMhelix(319-341)|TMhelix(648-670)|Glyco_transf_49(871-1172)
tr|A0A1I7VDC8|A0A1I7VDC8_LOALO	TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(52-74)|TMhelix(112-131)|TMhelix(144-166)|Glyco_tranf_GTA_type(114-391)|Glyco_transf_49(449-682)
tr|A0A0M4E6R1|A0A0M4E6R1_DROBS	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(13-35)|TMhelix(76-98)|TMhelix(105-127)|Glyco_transf_49(153-370)
tr|A0A2J8A2S2|A0A2J8A2S2_9CHLO	TMhelix|TMhelix|DUF3611|TMhelix|PLN00048|GT-A	TMhelix(103-125)|TMhelix(135-157)|DUF3611(89-219)|TMhelix(191-213)|PLN00048(277-523)|Glyco_transf_49(624-919)
tr|G0NSW5|G0NSW5_CAEBE	TMhelix|TMhelix|7tm_4|TMhelix|TMhelix|GT-A	TMhelix(4-21)|TMhelix(33-55)|7tm_4(1-163)|TMhelix(107-129)|TMhelix(150-172)|Glyco_transf_49(266-566)
tr|A0A196SMC8|A0A196SMC8_BLAHN	TMhelix|Strumpellin|GT-A	TMhelix(162-184)|Strumpellin(219-1167)|Glyco_transf_49(1400-1557)
tr|A0A196SH45|A0A196SH45_BLAHN	TMhelix|Pneumo_att_G|GT-A	TMhelix(56-78)|Pneumo_att_G(97-199)|Glyco_transf_49(237-504)
