tr|W4XWV3|W4XWV3_STRPU	ZipA|GT-A	ZipA(91-243)|GT8_like_2(237-532)
tr|M3WEB6|M3WEB6_FELCA	TMhelix|TMhelix|GT-A	TMhelix(5-27)|TMhelix(47-66)|GT8_like_2(86-389)
tr|A0A1A9WYQ5|A0A1A9WYQ5_9MUSC	TMhelix|GT-A|L27|PDZ_signaling	TMhelix(7-26)|Glyco_tranf_GTA_type(48-340)|L27(341-393)|PDZ_signaling(418-499)
tr|A0A067RBN6|A0A067RBN6_ZOONE	TMhelix|GT-A	TMhelix(5-24)|Glyco_tranf_GTA_type(90-383)
tr|A0A0Q9X5L7|A0A0Q9X5L7_DROMO	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(60-354)
tr|A0A164N7R7|A0A164N7R7_9CRUS	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(77-368)
tr|A0A165TWR8|A0A165TWR8_9HOMO	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(62-283)
tr|A0A182KJP9|A0A182KJP9_9DIPT	TMhelix|GT-A	TMhelix(12-29)|Glyco_tranf_GTA_type(69-323)
tr|A0A1B0F073|A0A1B0F073_PHLPP	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(47-341)
tr|A0A1D1VML2|A0A1D1VML2_RAMVA	TMhelix|GT-A	TMhelix(7-26)|Glyco_tranf_GTA_type(58-283)
tr|A0A1D2MG05|A0A1D2MG05_ORCCI	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(66-369)
tr|A0A1D2MT16|A0A1D2MT16_ORCCI	TMhelix|GT-A	TMhelix(43-61)|Glyco_tranf_GTA_type(117-395)
tr|A0A1I8MK83|A0A1I8MK83_MUSDO	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(51-342)
tr|A0A1I8PB76|A0A1I8PB76_STOCA	TMhelix|GT-A	TMhelix(7-24)|Glyco_tranf_GTA_type(50-344)
tr|A0A1J1J6F7|A0A1J1J6F7_9DIPT	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(44-334)
tr|A0A1L8GYV8|A0A1L8GYV8_XENLA	TMhelix|GT-A	TMhelix(66-88)|GT8_like_2(132-432)
tr|A0A1S3FD40|A0A1S3FD40_DIPOR	TMhelix|GT-A	TMhelix(39-58)|Glyco_tranf_GTA_type(73-332)
tr|A0A1S3H2I0|A0A1S3H2I0_LINUN	TMhelix|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(46-347)
tr|A0A1W4VME1|A0A1W4VME1_DROFC	TMhelix|GT-A	TMhelix(12-29)|Glyco_tranf_GTA_type(56-351)
tr|A0A226PAV7|A0A226PAV7_COLVI	TMhelix|GT-A	TMhelix(96-118)|GT8_like_2(134-435)
tr|A0A284QMQ7|A0A284QMQ7_9AGAR	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(67-225)
tr|A0A2G8JRC3|A0A2G8JRC3_STIJA	TMhelix|GT-A	TMhelix(23-42)|Glyco_tranf_GTA_type(281-576)
tr|A0A2I4CZ39|A0A2I4CZ39_9TELE	TMhelix|GT-A	TMhelix(21-43)|GT8_like_2(132-435)
tr|A0A2J7R4M7|A0A2J7R4M7_9NEOP	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(91-384)
tr|A0A2K6M1D3|A0A2K6M1D3_RHIBE	TMhelix|GT-A	TMhelix(5-24)|GT8_like_2(79-376)
tr|B0WF12|B0WF12_CULQU	TMhelix|GT-A	TMhelix(7-23)|Glyco_tranf_GTA_type(62-354)
tr|B7PUF1|B7PUF1_IXOSC	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(65-330)
tr|D6X1W8|D6X1W8_TRICA	TMhelix|GT-A	TMhelix(7-25)|Glyco_tranf_GTA_type(60-352)
tr|H2MCR3|H2MCR3_ORYLA	TMhelix|GT-A	TMhelix(7-29)|GT8_like_2(85-387)
tr|I3JPZ9|I3JPZ9_ORENI	TMhelix|GT-A	TMhelix(7-29)|GT8_like_2(107-409)
tr|J9JP74|J9JP74_ACYPI	TMhelix|GT-A	TMhelix(13-32)|Glyco_tranf_GTA_type(70-361)
tr|T1IDQ3|T1IDQ3_RHOPR	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(59-355)
tr|W5JGS9|W5JGS9_ANODA	TMhelix|GT-A	TMhelix(5-22)|Glyco_tranf_GTA_type(56-348)
sp|Q810K9|GXLT2_MOUSE	PHA03247|GT-A	PHA03247(30-110)|GT8_like_2(111-414)
tr|T1JBB4|T1JBB4_STRMM	PDZ_signaling|UPF0160|DUF1908|Protein_Kinase|PDZ_signaling|GT-A	PDZ_signaling(23-99)|UPF0160(162-454)|DUF1908(680-972)|STKc_MAST(1014-1294)|PDZ_signaling(1569-1650)|Glyco_tranf_GTA_type(2220-2514)
tr|F0Y693|F0Y693_AURAN	GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix	Glyco_tranf_GTA_type(1093-1403)|TMhelix(1439-1461)|TMhelix(1481-1503)|TMhelix(1531-1553)|TMhelix(1574-1596)|TMhelix(1606-1628)|MFS(1445-1838)|TMhelix(1740-1762)
tr|A0A1Y3BG28|A0A1Y3BG28_EURMA	GT-A|TMhelix|TMhelix	Glyco_tranf_GTA_type(4-262)|TMhelix(265-287)|TMhelix(309-331)
tr|A0A2P4SJ85|A0A2P4SJ85_BAMTH	GT-A|TMhelix	Glyco_tranf_GTA_type(1-197)|TMhelix(171-193)
tr|G3GS47|G3GS47_CRIGR	GT-A|PPP4R2	Glyco_tranf_GTA_type(1-259)|PPP4R2(279-312)
tr|A0A1D2N2P9|A0A1D2N2P9_ORCCI	GT-A|MPP	Glyco_tranf_GTA_type(81-390)|MPP(731-1003)
sp|A0PJZ3|GXLT2_HUMAN	GT-A	GT8_like_2(110-413)
sp|Q3UHH8|GXLT1_MOUSE	GT-A	GT8_like_2(80-380)
sp|Q4G148|GXLT1_HUMAN	GT-A	GT8_like_2(116-417)
sp|Q5SP46|GXLT1_DANRE	GT-A	GT8_like_2(79-382)
sp|Q5ZKI6|GXLT1_CHICK	GT-A	GT8_like_2(109-410)
sp|Q6GX83|GXLT1_RAT	GT-A	GT8_like_2(111-411)
tr|A0A087ZSQ1|A0A087ZSQ1_APIME	GT-A	GT8_like_2(55-348)
tr|A0A0M4EPZ8|A0A0M4EPZ8_DROBS	GT-A	Glyco_tranf_GTA_type(49-344)
tr|A0A0P6A8C1|A0A0P6A8C1_9CRUS	GT-A	Glyco_tranf_GTA_type(56-347)
tr|A0A0Q9WGI8|A0A0Q9WGI8_DROVI	GT-A	Glyco_tranf_GTA_type(50-344)
tr|A0A0Q9X239|A0A0Q9X239_DROWI	GT-A	Glyco_tranf_GTA_type(8-303)
tr|A0A151J2Q5|A0A151J2Q5_9HYME	GT-A	Glyco_tranf_GTA_type(57-350)
tr|A0A151X6I6|A0A151X6I6_9HYME	GT-A	Glyco_tranf_GTA_type(57-350)
tr|A0A154PD56|A0A154PD56_9HYME	GT-A	Glyco_tranf_GTA_type(1-277)
tr|A0A158NUJ9|A0A158NUJ9_ATTCE	GT-A	Glyco_tranf_GTA_type(57-350)
tr|A0A164VUC7|A0A164VUC7_9CRUS	GT-A	Glyco_tranf_GTA_type(71-293)
tr|A0A165N755|A0A165N755_EXIGL	GT-A	Glyco_tranf_GTA_type(86-292)
tr|A0A182GSP5|A0A182GSP5_AEDAL	GT-A	Glyco_tranf_GTA_type(60-352)
tr|A0A182I0N5|A0A182I0N5_ANOAR	GT-A	Glyco_tranf_GTA_type(63-355)
tr|A0A182JIT2|A0A182JIT2_9DIPT	GT-A	Glyco_tranf_GTA_type(64-356)
