tr|A0A2P6U4S8|A0A2P6U4S8_CHLSO	zf-MYND|GT-A	zf-MYND(4-49)|PLN03180(568-905)
tr|G7E210|G7E210_MIXOS	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT	TMhelix(5-24)|TMhelix(83-105)|TMhelix(109-128)|TMhelix(135-157)|TMhelix(172-194)|TMhelix(215-237)|STELLO(721-831)
tr|A0A2C9K2K0|A0A2C9K2K0_BIOGL	TMhelix|TMhelix|TMhelix|rim_protein|TMhelix|GT	TMhelix(131-150)|TMhelix(202-224)|TMhelix(246-268)|rim_protein(212-329)|TMhelix(281-303)|STELLO(578-921)
tr|M0TUR6|M0TUR6_MUSAM	TMhelix|TMhelix	TMhelix(48-67)|TMhelix(576-598)
tr|A0A1E7EIQ8|A0A1E7EIQ8_9STRA	TMhelix|GT|GT-A	TMhelix(41-60)|STELLO(431-522)|Glyco_tranf_GTA_type(595-689)
tr|B7FWN8|B7FWN8_PHATC	TMhelix|GT|GT-A	TMhelix(9-31)|STELLO(365-426)|Glyco_tranf_GTA_type(510-605)
tr|D8LCM9|D8LCM9_ECTSI	TMhelix|GT|GT-A	TMhelix(13-30)|STELLO(337-453)|Galactosyl_T(515-615)
tr|W7SZI8|W7SZI8_9STRA	TMhelix|GT|GT-A	TMhelix(12-34)|STELLO(357-484)|Glyco_tranf_GTA_type(529-614)
tr|A0A2M8KVM5|A0A2M8KVM5_9BACT	TMhelix|GT-A	TMhelix(7-29)|RGP(37-350)
tr|V7C7X4|V7C7X4_PHAVU	TMhelix|GT-A	TMhelix(7-25)|PLN03180(76-418)
sp|O22943|STL1_ARATH	TMhelix|GT	TMhelix(51-68)|STELLO(359-466)
tr|A0A016THK8|A0A016THK8_9BILA	TMhelix|GT	TMhelix(47-69)|STELLO(356-400)
tr|A0A061EX65|A0A061EX65_THECC	TMhelix|GT	TMhelix(43-65)|STELLO(392-462)
tr|A0A067K2M5|A0A067K2M5_JATCU	TMhelix|GT	TMhelix(50-72)|STELLO(361-468)
tr|A0A072TH02|A0A072TH02_MEDTR	TMhelix|GT	TMhelix(49-68)|STELLO(396-466)
tr|A0A0F9YRY9|A0A0F9YRY9_9BACT	TMhelix|GT	TMhelix(7-26)|STELLO(259-359)
tr|A0A103Y6L6|A0A103Y6L6_CYNCS	TMhelix|GT	TMhelix(42-61)|STELLO(352-459)
tr|A0A151QU89|A0A151QU89_CAJCA	TMhelix|GT	TMhelix(39-58)|STELLO(349-456)
tr|A0A165YFR8|A0A165YFR8_DAUCA	TMhelix|GT	TMhelix(41-60)|STELLO(352-459)
tr|A0A199W1N4|A0A199W1N4_ANACO	TMhelix|GT	TMhelix(40-59)|STELLO(361-468)
tr|A0A1I7V433|A0A1I7V433_9PELO	TMhelix|GT	TMhelix(9-28)|STELLO(299-702)
tr|A0A1I7V434|A0A1I7V434_9PELO	TMhelix|GT	TMhelix(9-28)|STELLO(299-673)
tr|A0A1I7V435|A0A1I7V435_9PELO	TMhelix|GT	TMhelix(9-28)|STELLO(299-649)
tr|A0A1J6ITP7|A0A1J6ITP7_NICAT	TMhelix|GT	TMhelix(47-69)|STELLO(358-465)
