tr|A0A1X0NJV1|A0A1X0NJV1_9TRYP	TMhelix|GT-A|TMhelix	TMhelix(13-35)|Galactosyl_T(19-376)|TMhelix(239-261)
tr|A0A015J9Y1|A0A015J9Y1_9GLOM	TMhelix|GT-A	TMhelix(5-27)|Galactosyl_T(122-210)
tr|A0A1X0NFR4|A0A1X0NFR4_9TRYP	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(66-364)
tr|A0A1X0NIH4|A0A1X0NIH4_9TRYP	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(66-364)
tr|A0A1X0NJ70|A0A1X0NJ70_9TRYP	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(20-371)
tr|A0A1X0NJ86|A0A1X0NJ86_9TRYP	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(63-365)
tr|A0A1X0NJ95|A0A1X0NJ95_9TRYP	TMhelix|GT-A	TMhelix(17-39)|Galactosyl_T(75-370)
tr|A0A1X0NJA3|A0A1X0NJA3_9TRYP	TMhelix|GT-A	TMhelix(13-35)|Galactosyl_T(25-403)
tr|A0A1X0NJQ2|A0A1X0NJQ2_9TRYP	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(49-365)
tr|A0A1X0NJS8|A0A1X0NJS8_9TRYP	TMhelix|GT-A	TMhelix(12-34)|Galactosyl_T(48-368)
tr|A0A1X0NK38|A0A1X0NK38_9TRYP	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(54-377)
tr|A0A1X0NPV0|A0A1X0NPV0_9TRYP	TMhelix|GT-A	TMhelix(9-31)|Galactosyl_T(65-373)
tr|A0A1X0NPW4|A0A1X0NPW4_9TRYP	TMhelix|GT-A	TMhelix(9-26)|Galactosyl_T(63-353)
tr|A0A1X0NPY4|A0A1X0NPY4_9TRYP	TMhelix|GT-A	TMhelix(13-31)|Galactosyl_T(6-379)
tr|A0A1X0NVK8|A0A1X0NVK8_9TRYP	TMhelix|GT-A	TMhelix(21-43)|Galactosyl_T(95-425)
tr|A0A1X0P6H4|A0A1X0P6H4_9TRYP	TMhelix|GT-A	TMhelix(7-29)|Galactosyl_T(10-374)
tr|A4H3B4|A4H3B4_LEIBR	TMhelix|GT-A	TMhelix(107-129)|Galactosyl_T(292-667)
tr|A4H3B6|A4H3B6_LEIBR	TMhelix|GT-A	TMhelix(7-26)|Galactosyl_T(398-464)
tr|A4H3B7|A4H3B7_LEIBR	TMhelix|GT-A	TMhelix(275-297)|Galactosyl_T(479-734)
