SeqNR,SeqUniProt,Fold,Clade,Family,Subfamily,Protein,Weblogo,Members
635008,162599,GTA,,,,,GTA.png,GT-A_consensus;GT12|Hs-B4GALNT1;GT12|Hs-B4GALNT2;GT13|At-GNTI;GT13|Ce-M70.4;GT13|Ce-Q8MQ38;GT13|Ce-gly-13;GT13|Ce-gly-14;GT13|Dm-Mgat1;GT13|Hs-MGAT1;GT13|Hs-POMGNT1;GT14|At-At1g11940;GT14|At-At1g53100;GT14|At-At1g68380;GT14|At-At1g71070;GT14|At-At2g19160;GT14|At-At3g15350;GT14|At-At3g24040;GT14|At-At4g03340;GT14|At-At4g27480;GT14|At-At4g30060;GT14|At-At5g22070;GT14|At-At5g25330;GT14|At-AtGnTL;GT14|At-GLCAT14A;GT14|At-GLCAT14B;GT14|At-GLCAT14C;GT14|At-UNE7;GT14|Ce-F26D2.3;GT14|Ce-F30A10.4;GT14|Ce-H41C03.3;GT14|Ce-R07B7.6;GT14|Ce-R07C3.3;GT14|Ce-T09E11.6;GT14|Ce-T14B4.9;GT14|Ce-T28F3.9;GT14|Ce-Y51H4A.25;GT14|Ce-ZK1225.2;GT14|Ce-gly-1;GT14|Ce-gly-15;GT14|Ce-gly-16;GT14|Ce-gly-17;GT14|Ce-gly-18;GT14|Ce-gly-19;GT14|Ce-sqv-6;GT14|Dm-oxt;GT14|Hs-GCNT1;GT14|Hs-GCNT2;GT14|Hs-GCNT3;GT14|Hs-GCNT4;GT14|Hs-GCNT7;GT14|Hs-XYLT1;GT14|Hs-XYLT2;GT15|Sc-KRE2;GT15|Sc-KTR1;GT15|Sc-KTR2;GT15|Sc-KTR3;GT15|Sc-KTR4;GT15|Sc-KTR5;GT15|Sc-KTR6;GT15|Sc-KTR7;GT15|Sc-YUR1;GT16|At-GNT2;GT16|Ce-gly-20;GT16|Dm-Mgat2;GT16|Hs-MGAT2;GT17|At-At1g12990;GT17|At-At1g67880;GT17|At-At2g13290;GT17|At-At3g01620;GT17|At-At3g27540;GT17|At-At5g14480;GT17|Hs-MGAT3;GT2-B3GntL|Ce-F13G3.6;GT2-B3GntL|Hs-B3GNTL1;GT2-Bre3|Ce-bre-3;GT2-Bre3|Dm-egh;GT2-CHS|Cv-hfsG;GT2-CHS|Pm-fcbD;GT2-CWR|Ct-Q8KB11;GT2-CWR|Ec-nfrB;GT2-CWR|Rs-A4WQA1;GT2-CWR|Se-icaA;GT2-CeS|At-CESA1;GT2-CeS|At-CESA10;GT2-CeS|At-CESA2;GT2-CeS|At-CESA3;GT2-CeS|At-CESA4;GT2-CeS|At-CESA5;GT2-CeS|At-CESA6;GT2-CeS|At-CESA7;GT2-CeS|At-CESA8;GT2-CeS|At-CESA9;GT2-CeS|At-CSLA1;GT2-CeS|At-CSLA10;GT2-CeS|At-CSLA11;GT2-CeS|At-CSLA14;GT2-CeS|At-CSLA15;GT2-CeS|At-CSLA2;GT2-CeS|At-CSLA3;GT2-CeS|At-CSLA7;GT2-CeS|At-CSLA9;GT2-CeS|At-CSLB5;GT2-CeS|At-CSLB6;GT2-CeS|At-CSLC12;GT2-CeS|At-CSLC4;GT2-CeS|At-CSLC5;GT2-CeS|At-CSLC6;GT2-CeS|At-CSLC8;GT2-CeS|At-CSLD1;GT2-CeS|At-CSLD2;GT2-CeS|At-CSLD3;GT2-CeS|At-CSLD4;GT2-CeS|At-CSLD5;GT2-CeS|At-CSLD6;GT2-CeS|At-CSLE1;GT2-CeS|At-CSLG1;GT2-CeS|At-CSLG2;GT2-CeS|At-CSLG3;GT2-CeS|Av-C1DSW1;GT2-CeS|Pa-ndvB;GT2-CeS|Pp-Q88MP4;GT2-Chitin-HAS|Ce-chs-1;GT2-Chitin-HAS|Ce-chs-2;GT2-Chitin-HAS|Dm-Chs2;GT2-Chitin-HAS|Dm-kkv;GT2-Chitin-HAS|Hs-HAS1;GT2-Chitin-HAS|Hs-HAS2;GT2-Chitin-HAS|Hs-HAS3;GT2-Chitin-HAS|Sc-CHS1;GT2-Chitin-HAS|Sc-CHS2;GT2-Chitin-HAS|Sc-CHS3;GT2-Class1|Bf-wcfQ;GT2-Class1|Dd-pgtA;GT2-Class1|Hd-lgtA;GT2-Class1|Hi-Q57287;GT2-Class1|Hs-B4GALNT3;GT2-Class1|Hs-B4GALNT4;GT2-Class1|Pa-fgtA;GT2-Class1|Pa-migA;GT2-Class1|Pa-wapR;GT2-Class1|Rm-exoA;GT2-DPs|At-At2g39630;GT2-DPs|At-DPMS1;GT2-DPs|Ce-algn-5;GT2-DPs|Ce-dpm-1;GT2-DPs|Dm-CG10166;GT2-DPs|Dm-wol;GT2-DPs|Ec-arnC;GT2-DPs|Hs-ALG5;GT2-DPs|Hs-DPM1;GT2-DPs|Lm-Q7AP48;GT2-DPs|Sc-ALG5;GT2-DPs|Sc-DPM1;GT2-DPs|Ss-Q55487;GT2-DPs|Tt-Q5SJZ8;GT2-LpsRelated|Hd-LgtF;GT2-Rham-GlfT|Ms-glfT1;GT2-Rham-GlfT|Mt-glfT2;GT2-Rham-GlfT|Sf-rfbF;GT21|Ce-cgt-1;GT21|Ce-cgt-2;GT21|Ce-cgt-3;GT21|Dm-GlcT1;GT21|Gm-GLYMA_16G078400;GT21|Hs-UGCG;GT21|Kp-C4R4B3;GT21|Mo-G4MS28;GT21|Zm-Q5NNW4;GT24|At-UGGT;GT24|Ce-uggt-1;GT24|Ce-uggt-2;GT24|Dm-Uggt;GT24|Hs-UGGT1;GT24|Hs-UGGT2;GT24|Sc-KRE5;GT25|Ce-D2045.9;GT25|Dm-CG31915;GT25|Hs-CERCAM;GT25|Hs-COLGALT1;GT25|Hs-COLGALT2;GT27|Ce-gly-10;GT27|Ce-gly-11;GT27|Ce-gly-3;GT27|Ce-gly-4;GT27|Ce-gly-5;GT27|Ce-gly-6;GT27|Ce-gly-7;GT27|Ce-gly-8;GT27|Ce-gly-9;GT27|Dm-Pgant1;GT27|Dm-Pgant2;GT27|Dm-Pgant3;GT27|Dm-Pgant35A;GT27|Dm-Pgant4;GT27|Dm-Pgant5;GT27|Dm-Pgant6;GT27|Dm-Pgant7;GT27|Dm-Pgant8;GT27|Dm-Pgant9;GT27|Dm-pgant10;GT27|Dm-pgant11;GT27|Dm-pgant12;GT27|Dm-pgant13;GT27|Hs-GALNT1;GT27|Hs-GALNT10;GT27|Hs-GALNT11;GT27|Hs-GALNT12;GT27|Hs-GALNT13;GT27|Hs-GALNT14;GT27|Hs-GALNT15;GT27|Hs-GALNT16;GT27|Hs-GALNT17;GT27|Hs-GALNT18;GT27|Hs-GALNT2;GT27|Hs-GALNT3;GT27|Hs-GALNT4;GT27|Hs-GALNT5;GT27|Hs-GALNT6;GT27|Hs-GALNT7;GT27|Hs-GALNT8;GT27|Hs-GALNT9;GT27|Hs-GALNTL5;GT27|Hs-GALNTL6;GT27|Hs-POC1B-GALNT4;GT31-Chsy|Ce-mig-22;GT31-Chsy|Ce-sqv-5;GT31-Chsy|Dm-dCHPF;GT31-Chsy|Dm-dCHSY;GT31-Chsy|Hs-CHPF;GT31-Chsy|Hs-CHPF2;GT31-Chsy|Hs-CHSY1;GT31-Chsy|Hs-CHSY3;GT31-Euk|At-B3GALT1;GT31-Euk|At-B3GALT10;GT31-Euk|At-B3GALT11;GT31-Euk|At-B3GALT12;GT31-Euk|At-B3GALT13;GT31-Euk|At-B3GALT14;GT31-Euk|At-B3GALT2;GT31-Euk|At-B3GALT3;GT31-Euk|At-B3GALT4;GT31-Euk|At-B3GALT5;GT31-Euk|At-B3GALT6;GT31-Euk|At-B3GALT7;GT31-Euk|At-B3GALT8;GT31-Euk|At-B3GALT9;GT31-Euk|Ce-sqv-2;GT31-Fringe|Dm-fng;GT31-Fringe|Hs-LFNG;GT31-Fringe|Hs-MFNG;GT31-Fringe|Hs-RFNG;GT31-Galt-Gnt|At-B3GALT15;GT31-Galt-Gnt|At-B3GALT16;GT31-Galt-Gnt|At-B3GALT17;GT31-Galt-Gnt|At-B3GALT18;GT31-Galt-Gnt|At-B3GALT19;GT31-Galt-Gnt|At-B3GALT20;GT31-Galt-Gnt|Ce-B0024.15;GT31-Galt-Gnt|Ce-C47F8.3;GT31-Galt-Gnt|Ce-C47F8.5;GT31-Galt-Gnt|Ce-C47F8.6;GT31-Galt-Gnt|Ce-C54C8.3;GT31-Galt-Gnt|Ce-E03H4.11;GT31-Galt-Gnt|Ce-F14B6.4;GT31-Galt-Gnt|Ce-F14B6.6;GT31-Galt-Gnt|Ce-F48F7.3;GT31-Galt-Gnt|Ce-T09F5.1;GT31-Galt-Gnt|Ce-T15D6.5;GT31-Galt-Gnt|Ce-bre-2;GT31-Galt-Gnt|Ce-bre-5;GT31-Galt-Gnt|Ce-bus-17;GT31-Galt-Gnt|Ce-bus-2;GT31-Galt-Gnt|Dm-CG30037;GT31-Galt-Gnt|Dm-CG8976;GT31-Galt-Gnt|Dm-GalT1;GT31-Galt-Gnt|Dm-GalT2;GT31-Galt-Gnt|Dm-GalT3;GT31-Galt-Gnt|Dm-GalT4;GT31-Galt-Gnt|Dm-GalT5;GT31-Galt-Gnt|Dm-brn;GT31-Galt-Gnt|Hs-A8MXE2;GT31-Galt-Gnt|Hs-B3GALNT1;GT31-Galt-Gnt|Hs-B3GALT1;GT31-Galt-Gnt|Hs-B3GALT2;GT31-Galt-Gnt|Hs-B3GALT4;GT31-Galt-Gnt|Hs-B3GALT5;GT31-Galt-Gnt|Hs-B3GALT6;GT31-Galt-Gnt|Hs-B3GNT2;GT31-Galt-Gnt|Hs-B3GNT3;GT31-Galt-Gnt|Hs-B3GNT4;GT31-Galt-Gnt|Hs-B3GNT5;GT31-Galt-Gnt|Hs-B3GNT6;GT31-Galt-Gnt|Hs-B3GNT7;GT31-Galt-Gnt|Hs-B3GNT8;GT31-Galt-Gnt|Hs-B3GNT9;GT31-Glt|At-At4g11350;GT31-Glt|Ce-A0T4F5;GT31-Glt|Ce-C02H6.1;GT31-Glt|Ce-C16D9.6;GT31-Glt|Ce-C17A2.3;GT31-Glt|Ce-C38H2.2;GT31-Glt|Ce-E03H4.3;GT31-Glt|Ce-F56H6.1;GT31-Glt|Ce-Y38C1AB.1;GT31-Glt|Ce-ZC250.2;GT31-Glt|Ce-bus-4;GT31-Glt|Dm-BP1049;GT31-Glt|Dm-C1GalTA;GT31-Glt|Dm-CG13904;GT31-Glt|Dm-CG34451;GT31-Glt|Dm-dC1GalT2;GT31-Glt|Dm-dC1GalT3;GT31-Glt|Dm-dC1GalT4;GT31-Glt|Dm-dC1GalT6;GT31-Glt|Dm-dC1GalT7;GT31-Glt|Dm-dC1GalT8;GT31-Glt|Dm-dC1GalT9;GT31-Glt|Dm-tgy;GT31-Glt|Hs-B3GLCT;GT31-Glt|Hs-C1GALT1;GT31-Glt|Hs-C1GALT1C1;GT32|At-At1g61050;GT32|At-At2g38150;GT32|At-At2g38152;GT32|At-At3g09020;GT32|At-At4g19900;GT32|At-At5g01250;GT32|Dm-alpha4GT1;GT32|Dm-alpha4GT2;GT32|Hs-A4GALT;GT32|Hs-A4GNT;GT32|Lp-I7JXA3;GT32|Sc-CSH1;GT32|Sc-HOC1;GT32|Sc-OCH1;GT32|Sc-SUR1;GT34|At-GT6;GT34|At-GT7;GT34|At-XXT1;GT34|At-XXT2;GT34|At-XXT3;GT34|At-XXT4;GT34|At-XXT5;GT40|Lm-LPG1;GT43|At-IRX14;GT43|At-IRX14H;GT43|At-IRX9;GT43|At-IRX9H;GT43|Ce-glct-1;GT43|Ce-glct-2;GT43|Ce-glct-3;GT43|Ce-glct-4;GT43|Ce-glct-5;GT43|Ce-glct-6;GT43|Ce-sqv-8;GT43|Dm-GlcAT-I;GT43|Dm-GlcAT-P;GT43|Dm-GlcAT-S;GT43|Dr-b3gat2;GT43|Hs-B3GAT1;GT43|Hs-B3GAT2;GT43|Hs-B3GAT3;GT45|Pm-pglA;GT49|Ce-bgnt-1.1;GT49|Ce-bgnt-1.2;GT49|Ce-bgnt-1.3;GT49|Ce-bgnt-1.4;GT49|Ce-bgnt-1.5;GT49|Ce-bgnt-1.6;GT49|Ce-bgnt-1.7;GT49|Ce-bgnt-1.8;GT49|Ce-lge-1;GT49|Dm-CG11149;GT49|Dm-CG15483;GT49|Dm-CG3253;GT49|Dm-CG9171;GT49|Hs-B4GAT1;GT49|Hs-LARGE1;GT49|Hs-LARGE2;GT49|Pg-E3KIT8;GT54|Dm-dMGAT4-1;GT54|Dm-dMGAT4-2;GT54|Hs-MGAT4A;GT54|Hs-MGAT4B;GT54|Hs-MGAT4C;GT54|Hs-MGAT4D;GT54|Mm-Mgat4e;GT55|Dm-mpgSP;GT60|Tc-Tc00.1047053511759.30;GT62|Mb-A9VDJ7;GT62|Sc-ANP1;GT62|Sc-MNN9;GT62|Sc-VAN1;GT64|At-At1g80290;GT64|At-EPC1;GT64|At-GINT1;GT64|Ce-rib-2;GT64|Dm-botv;GT64|Dm-sotv;GT64|Dm-ttv;GT64|Hs-EXT1;GT64|Hs-EXT2;GT64|Hs-EXTL1;GT64|Hs-EXTL2;GT64|Hs-EXTL3;GT67|Lm-SCG3;GT67|Tc-Tc00.1047053441923.10;GT6|Hs-A3GALT2;GT6|Hs-ABO;GT6|Hs-GBGT1;GT6|Hs-GLT6D1;GT75|At-RGP1;GT75|At-RGP2;GT75|At-RGP3;GT75|At-RGP4;GT75|At-RGP5;GT75|At-STL1;GT75|Ce-E03H4.4;GT75|Ce-F02C9.2;GT75|Ce-F46F5.11;GT75|Ce-F56H6.7;GT75|Ce-F56H6.9;GT75|Ce-ZK105.3;GT75|Hw-Q18EK9;GT77|At-At1g14590;GT77|At-At1g28695;GT77|At-At1g28700;GT77|At-At1g28710;GT77|At-At2g02061;GT77|At-At4g19970;GT77|At-At4g19975;GT77|At-At5g44820;GT77|At-MGP4;GT77|At-MHK7.13;GT77|At-RAY1;GT77|At-RGXT1;GT77|At-RGXT2;GT77|At-RGXT3;GT77|At-RRA1;GT77|At-RRA2;GT77|At-RRA3;GT77|At-XEG113;GT77|Ce-F41C3.11;GT77|Ce-Y48E1B.8;GT77|Ce-Y57G11C.31;GT78|Pp-PHYPA_020118;GT78|Rm-D0MI02;GT7|Ce-W02B12.11;GT7|Ce-bre-4;GT7|Ce-sqv-3;GT7|Dm-b4GalNAcTA;GT7|Dm-beta4GalNAcTB;GT7|Dm-beta4GalT7;GT7|Hs-B4GALT1;GT7|Hs-B4GALT2;GT7|Hs-B4GALT3;GT7|Hs-B4GALT4;GT7|Hs-B4GALT5;GT7|Hs-B4GALT6;GT7|Hs-B4GALT7;GT8-Fun|Cg-GNT1;GT8-GATL|At-GATL1;GT8-GATL|At-GATL10;GT8-GATL|At-GATL2;GT8-GATL|At-GATL3;GT8-GATL|At-GATL4;GT8-GATL|At-GATL5;GT8-GATL|At-GATL6;GT8-GATL|At-GATL7;GT8-GATL|At-GATL8;GT8-GATL|At-GATL9;GT8-GATL|Gm-GLYMA_01G178700;GT8-GATL|Hp-O24967;GT8-GAUT|At-GAUT1;GT8-GAUT|At-GAUT10;GT8-GAUT|At-GAUT11;GT8-GAUT|At-GAUT12;GT8-GAUT|At-GAUT13;GT8-GAUT|At-GAUT14;GT8-GAUT|At-GAUT15;GT8-GAUT|At-GAUT2;GT8-GAUT|At-GAUT3;GT8-GAUT|At-GAUT4;GT8-GAUT|At-GAUT5;GT8-GAUT|At-GAUT6;GT8-GAUT|At-GAUT7;GT8-GAUT|At-GAUT8;GT8-GAUT|At-GAUT9;GT8-GAUT|Hs-GLT8D1;GT8-GAUT|Hs-GLT8D2;GT8-Glycogenin|An-G3YBZ3;GT8-Glycogenin|At-GOLS1;GT8-Glycogenin|At-GOLS10;GT8-Glycogenin|At-GOLS2;GT8-Glycogenin|At-GOLS3;GT8-Glycogenin|At-GOLS4;GT8-Glycogenin|At-GOLS5;GT8-Glycogenin|At-GOLS6;GT8-Glycogenin|At-GOLS7;GT8-Glycogenin|At-GUX1;GT8-Glycogenin|At-GUX2;GT8-Glycogenin|At-GUX3;GT8-Glycogenin|At-GUX4;GT8-Glycogenin|At-GUX5;GT8-Glycogenin|At-IPUT1;GT8-Glycogenin|At-PGSIP7;GT8-Glycogenin|At-PGSIP8;GT8-Glycogenin|Ce-T10B10.8;GT8-Glycogenin|Ce-gyg-1;GT8-Glycogenin|Ce-gyg-2;GT8-Glycogenin|Dm-Gyg;GT8-Glycogenin|Hs-GYG1;GT8-Glycogenin|Hs-GYG2;GT8-Glycogenin|Sc-GLG1;GT8-Glycogenin|Sc-GLG2;GT8-LpsGlt|Ec-rfaI;GT8-LpsGlt|Ec-rfaJ;GT8-LpsGlt|Hs-XXYLT1;GT8-Lrg|Ce-lge-1;GT8-Lrg|Dm-Xxylt;GT8-Lrg|Hs-LARGE1;GT8-Lrg|Hs-LARGE2;GT8-XylT|Dm-shams;GT8-XylT|Hs-GXYLT1;GT8-XylT|Hs-GXYLT2;GT81|Hw-gtl5;GT81|Ms-gpgS;GT81|Pm-gpgS;GT82|Cj-cgtA;GT84|Ec-opgH;GT84|Rs-Q3IW62;GT88|Lp-legC5;GT88|Lp-legC8;SequenceID
101828,25959,GTA,Clade1,,,,Clade1.png,GT-A_consensus;GT21|Dm-GlcT1;GT21|Ce-cgt-2;GT21|Ce-cgt-1;GT21|Ce-cgt-3;GT21|Hs-UGCG;GT2-Bre3|Dm-egh;GT2-Bre3|Ce-bre-3;GT2-CeS|At-CSLA14;GT2-CeS|At-CSLA1;GT2-CeS|At-CSLA2;GT2-CeS|At-CSLA11;GT2-CeS|At-CSLC4;GT2-CeS|At-CSLA3;GT2-CeS|At-CSLA10;GT2-CeS|At-CSLA9;GT2-CeS|At-CSLC5;GT2-CeS|At-CSLC8;GT2-CeS|At-CSLC6;GT2-CeS|At-CSLA15;GT2-CeS|At-CSLC12;GT2-CeS|At-CSLA7;GT2-CeS|At-CSLB6;GT2-CeS|At-CESA1;GT2-CeS|At-CESA2;GT2-CeS|At-CSLD1;GT2-CeS|At-CSLB5;GT2-CeS|At-CSLG3;GT2-CeS|At-CSLG1;GT2-CeS|At-CESA4;GT2-CeS|At-CESA5;GT2-CeS|At-CESA8;GT2-CeS|At-CSLG2;GT2-CeS|At-CSLE1;GT2-CeS|At-CESA3;GT2-CeS|At-CESA6;GT2-CeS|At-CSLD6;GT2-CeS|At-CSLD2;GT2-CeS|At-CSLD3;GT2-CeS|At-CESA9;GT2-CeS|At-CESA10;GT2-CeS|At-CSLD5;GT2-CeS|At-CESA7;GT2-CeS|At-CSLD4;GT2-Chitin-HAS|Dm-kkv;GT2-Chitin-HAS|Dm-Chs2;GT2-Chitin-HAS|Ce-chs-2;GT2-Chitin-HAS|Ce-chs-1;GT2-Chitin-HAS|Sc-CHS1;GT2-Chitin-HAS|Sc-CHS2;GT2-Chitin-HAS|Sc-CHS3;GT2-Chitin-HAS|Hs-HAS3;GT2-Chitin-HAS|Hs-HAS2;GT2-Chitin-HAS|Hs-HAS1;GT2-CWR|Se-icaA;GT84|Ec-opgH;GT2-CeS|Pp-Q88MP4;GT2-CeS|Av-C1DSW1;GT2-CeS|Pa-ndvB;GT21|Zm-Q5NNW4;GT21|Kp-C4R4B3;GT21|Gm-GLYMA_16G078400;GT21|Mo-G4MS28;GT2-CWR|Rs-A4WQA1;GT2-CWR|Ec-nfrB;GT2-CWR|Ct-Q8KB11;GT84|Rs-Q3IW62
699,288,GTA,Clade1,GT2-Bre3,,,GT2-Bre3.png,GT-A_consensus;GT2-Bre3|Dm-egh;GT2-Bre3|Ce-bre-3
696,286,GTA,Clade1,GT2-Bre3,GT2-Bre3-1,,GT2-Bre3-1.png,GT-A_consensus;GT2-Bre3|Dm-egh;GT2-Bre3|Ce-bre-3
33641,8254,GTA,Clade1,GT2-CeS,,,GT2-CeS.png,GT-A_consensus;GT2-CeS|At-CSLA14;GT2-CeS|At-CSLA1;GT2-CeS|At-CSLA2;GT2-CeS|At-CSLA11;GT2-CeS|At-CSLC4;GT2-CeS|At-CSLA3;GT2-CeS|At-CSLA10;GT2-CeS|At-CSLA9;GT2-CeS|At-CSLC5;GT2-CeS|At-CSLC8;GT2-CeS|At-CSLC6;GT2-CeS|At-CSLA15;GT2-CeS|At-CSLC12;GT2-CeS|At-CSLA7;GT2-CeS|At-CSLB6;GT2-CeS|At-CESA1;GT2-CeS|At-CESA2;GT2-CeS|At-CSLD1;GT2-CeS|At-CSLB5;GT2-CeS|At-CSLG3;GT2-CeS|At-CSLG1;GT2-CeS|At-CESA4;GT2-CeS|At-CESA5;GT2-CeS|At-CESA8;GT2-CeS|At-CSLG2;GT2-CeS|At-CSLE1;GT2-CeS|At-CESA3;GT2-CeS|At-CESA6;GT2-CeS|At-CSLD6;GT2-CeS|At-CSLD2;GT2-CeS|At-CSLD3;GT2-CeS|At-CESA9;GT2-CeS|At-CESA10;GT2-CeS|At-CSLD5;GT2-CeS|At-CESA7;GT2-CeS|At-CSLD4;GT2-CeS|Pp-Q88MP4;GT2-CeS|Av-C1DSW1;GT2-CeS|Pa-ndvB
4142,1565,GTA,Clade1,GT2-CeS,GT2-CeS-1,,GT2-CeS-1.png,GT-A_consensus;GT2-CeS|At-CSLA14;GT2-CeS|At-CSLA1;GT2-CeS|At-CSLA2;GT2-CeS|At-CSLA11;GT2-CeS|At-CSLC4;GT2-CeS|At-CSLA3;GT2-CeS|At-CSLA10;GT2-CeS|At-CSLA9;GT2-CeS|At-CSLC5;GT2-CeS|At-CSLC8;GT2-CeS|At-CSLC6;GT2-CeS|At-CSLA15;GT2-CeS|At-CSLC12;GT2-CeS|At-CSLA7
2112,343,GTA,Clade1,GT2-CeS,GT2-CeS_putative,,GT2-CeS_putative.png,GT-A_consensus;GT2-CeS|Pp-Q88MP4;GT2-CeS|Av-C1DSW1;GT2-CeS|Pa-ndvB
15918,5347,GTA,Clade1,GT2-Chitin-HAS,,,GT2-Chitin-HAS.png,GT-A_consensus;GT2-Chitin-HAS|Dm-kkv;GT2-Chitin-HAS|Dm-Chs2;GT2-Chitin-HAS|Ce-chs-2;GT2-Chitin-HAS|Ce-chs-1;GT2-Chitin-HAS|Sc-CHS1;GT2-Chitin-HAS|Sc-CHS2;GT2-Chitin-HAS|Sc-CHS3;GT2-Chitin-HAS|Hs-HAS3;GT2-Chitin-HAS|Hs-HAS2;GT2-Chitin-HAS|Hs-HAS1
15602,4854,GTA,Clade1,GT2-Chitin-HAS,GT2-Chitin-HAS-1,,GT2-Chitin-HAS-1.png,GT-A_consensus;GT2-Chitin-HAS|Dm-kkv;GT2-Chitin-HAS|Dm-Chs2;GT2-Chitin-HAS|Ce-chs-2;GT2-Chitin-HAS|Ce-chs-1;GT2-Chitin-HAS|Sc-CHS1;GT2-Chitin-HAS|Sc-CHS2;GT2-Chitin-HAS|Sc-CHS3;GT2-Chitin-HAS|Hs-HAS3;GT2-Chitin-HAS|Hs-HAS2;GT2-Chitin-HAS|Hs-HAS1
37654,9236,GTA,Clade1,GT2-CWR,,,GT2-CWR.png,GT-A_consensus;GT2-CWR|Se-icaA;GT2-CWR|Rs-A4WQA1;GT2-CWR|Ec-nfrB;GT2-CWR|Ct-Q8KB11
