tr|A0A2P6TT09|A0A2P6TT09_CHLSO	WD40|WD40|GH43_62_32_68_117_130|GH43_62_32_68_117_130|TMhelix|TMhelix|GT-A	WD40(14-197)|WD40(8-418)|GH43_62_32_68_117_130(771-941)|GH43_62_32_68_117_130(1156-1349)|TMhelix(1435-1452)|TMhelix(1542-1564)|Glyco_transf_64(1581-1822)
tr|A0A1I8BLN0|A0A1I8BLN0_MELHA	Unknown|Exotosin|GT-A	DUF5401(11-116)|Exostosin(231-311)|Glyco_transf_64(460-682)
tr|A0A1I8GWC0|A0A1I8GWC0_9PLAT	type_I_hlyD|Exotosin|GT-A	type_I_hlyD(57-137)|Exostosin(271-432)|Glyco_transf_64(592-791)
tr|A0A226EKT0|A0A226EKT0_FOLCA	TMhelix|YscO-like|Exotosin|GT-A|THAP	TMhelix(7-26)|YscO-like(43-136)|Exostosin(215-498)|Glyco_transf_64(660-880)|THAP(911-976)
sp|O43909|EXTL3_HUMAN	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
sp|Q9WVL6|EXTL3_MOUSE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(76-150)|Exostosin(190-499)|Glyco_transf_64(662-899)
tr|A0A1A6GQI7|A0A1A6GQI7_NEOLE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(76-150)|Exostosin(190-500)|Glyco_transf_64(663-857)
tr|A0A1B8Y7U2|A0A1B8Y7U2_XENTR	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-487)|Glyco_transf_64(605-842)
tr|A0A1L8GCG4|A0A1L8GCG4_XENLA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-493)|Glyco_transf_64(605-842)
tr|A0A1S2ZCL2|A0A1S2ZCL2_ERIEU	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A1S3FT10|A0A1S3FT10_DIPOR	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A1U7UGQ9|A0A1U7UGQ9_TARSY	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(76-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A1U8D9V7|A0A1U8D9V7_ALLSI	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(665-902)
tr|A0A1V4J770|A0A1V4J770_PATFA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A218UEQ2|A0A218UEQ2_9PASE	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A226PFX6|A0A226PFX6_COLVI	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-965)
tr|A0A2K5EL35|A0A2K5EL35_AOTNA	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K5I3A5|A0A2K5I3A5_COLAP	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
tr|A0A2K5LBP2|A0A2K5LBP2_CERAT	TMhelix|TPR_MLP1_2|Exotosin|GT-A	TMhelix(29-51)|TPR_MLP1_2(71-150)|Exostosin(190-500)|Glyco_transf_64(663-900)
