tr|A0A1B0EX43|A0A1B0EX43_PHLPP	WD40|GT-A|Clathrin|RING_Ubox	WD40(40-241)|Galactosyl_T(511-693)|Clathrin(913-1043)|RING_Ubox(1127-1180)
tr|A0A162AUA4|A0A162AUA4_DAUCA	Uncharacterized|GT|PLN00113|TMhelix|PKc_like	DUF4094(23-96)|PLN03193(83-333)|PLN00113(318-505)|TMhelix(546-568)|PKc_like(627-892)
sp|Q5XEZ1|B3GT9_ARATH	Uncharacterized|GT	DUF4094(30-103)|PLN03193(86-336)
sp|Q94F27|B3GTB_ARATH	Uncharacterized|GT	DUF4094(17-91)|PLN03193(76-335)
tr|A0A067JE96|A0A067JE96_JATCU	Uncharacterized|GT	DUF4094(32-86)|PLN03193(71-278)
tr|A0A0D3GDE8|A0A0D3GDE8_9ORYZ	Uncharacterized|GT	DUF4094(1-70)|PLN03193(57-307)
tr|A0A0E0DXV1|A0A0E0DXV1_9ORYZ	Uncharacterized|GT	DUF4094(36-109)|PLN03193(94-349)
tr|A0A0E0HLP1|A0A0E0HLP1_ORYNI	Uncharacterized|GT	DUF4094(36-109)|PLN03193(94-344)
tr|A0A0E0L8I2|A0A0E0L8I2_ORYPU	Uncharacterized|GT	DUF4094(33-106)|PLN03193(91-341)
tr|A0A0E0PU72|A0A0E0PU72_ORYRU	Uncharacterized|GT	DUF4094(36-109)|PLN03193(94-344)
tr|A0A103XGI8|A0A103XGI8_CYNCS	Uncharacterized|GT	DUF4094(36-153)|PLN03193(136-402)
tr|A0A176VJN7|A0A176VJN7_MARPO	Uncharacterized|GT	DUF4094(83-141)|PLN03193(124-419)
tr|A0A199UQ93|A0A199UQ93_ANACO	Uncharacterized|GT	DUF4094(52-128)|PLN03193(113-360)
tr|A0A1D6CGP9|A0A1D6CGP9_WHEAT	Uncharacterized|GT	DUF4094(38-111)|PLN03193(96-349)
tr|A0A1D6D5Q4|A0A1D6D5Q4_WHEAT	Uncharacterized|GT	DUF4094(33-106)|PLN03193(91-342)
tr|A0A1J6I482|A0A1J6I482_NICAT	Uncharacterized|GT	DUF4094(32-105)|PLN03193(88-340)
tr|A0A1R3KA74|A0A1R3KA74_COCAP	Uncharacterized|GT	DUF4094(3-57)|PLN03193(42-291)
tr|A0A1S4A6K6|A0A1S4A6K6_TOBAC	Uncharacterized|GT	DUF4094(32-105)|PLN03193(88-340)
tr|A0A1S4ATH1|A0A1S4ATH1_TOBAC	Uncharacterized|GT	DUF4094(32-105)|PLN03193(88-340)
