tr|A0A1Q9EN20|A0A1Q9EN20_SYMMI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Peptidase_C14|NK|GT-A	TMhelix(100-122)|TMhelix(132-154)|TMhelix(167-184)|TMhelix(219-241)|TMhelix(262-284)|MFS(104-477)|TMhelix(294-316)|TMhelix(342-364)|TMhelix(379-397)|TMhelix(410-432)|TMhelix(519-541)|TMhelix(562-584)|Peptidase_C14(1287-1373)|NK(1476-1685)|Glyco_transf_25(1723-1778)
tr|A0A182FW53|A0A182FW53_ANOAL	TMhelix|TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(65-87)|TMhelix(100-122)|TMhelix(137-159)|TMhelix(164-186)|Glyco_tranf_GTA_type(218-341)|Glyco_transf_25(506-687)
tr|A0A182N2M3|A0A182N2M3_9DIPT	TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(55-77)|TMhelix(113-135)|TMhelix(148-170)|TMhelix(185-207)|Glyco_transf_25(486-681)
tr|A0A1C7MRY9|A0A1C7MRY9_GRIFR	TMhelix|TMhelix|GT-A|GT-A	TMhelix(36-58)|TMhelix(71-93)|Glyco_transf_25(231-283)|Glyco_transf_25(410-550)
tr|A0A100IQK9|A0A100IQK9_ASPNG	TMhelix|TMhelix|GT-A	TMhelix(10-28)|TMhelix(56-78)|Glyco_transf_25(107-198)
tr|A0A182RQV3|A0A182RQV3_ANOFN	TMhelix|TMhelix|DUF2975|TMhelix|GT-A|GT-A	TMhelix(65-87)|TMhelix(100-122)|DUF2975(65-168)|TMhelix(137-159)|Glyco_tranf_GTA_type(171-285)|Glyco_transf_25(465-646)
tr|G3Y712|G3Y712_ASPNA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|RhaT|TMhelix|TMhelix	TMhelix(13-32)|Glyco_transf_25(65-152)|TMhelix(515-537)|TMhelix(605-627)|TMhelix(634-653)|RhaT(514-790)|TMhelix(668-687)|TMhelix(700-722)
tr|D2VEG4|D2VEG4_NAEGR	TMhelix|GT-A|TMhelix	TMhelix(195-214)|Glyco_transf_25(386-570)|TMhelix(622-644)
tr|A0A1E3PU67|A0A1E3PU67_LIPST	TMhelix|GT-A|PHA03169	TMhelix(26-45)|Glyco_transf_25(87-175)|PHA03169(410-541)
tr|A0A067N071|A0A067N071_9HOMO	TMhelix|GT-A|GT-A	TMhelix(12-34)|Glyco_transf_25(75-111)|Glyco_transf_25(232-367)
tr|A0A0U9HR01|A0A0U9HR01_KLENI	TMhelix|GT-A|GT-A	TMhelix(17-36)|Glyco_transf_25(162-329)|Glyco_transf_25(438-616)
tr|A0A151GCW5|A0A151GCW5_9HYPO	TMhelix|GT-A|GT-A	TMhelix(27-49)|Glyco_transf_25(106-188)|Glyco_transf_25(148-389)
tr|A0A158NTS6|A0A158NTS6_ATTCE	TMhelix|GT-A|GT-A	TMhelix(5-27)|Glyco_tranf_GTA_type(39-86)|Glyco_transf_25(331-511)
