tr|A0A1S3K0U5|A0A1S3K0U5_LINUN	ZZ|zf-TAZ|Creb_binding|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|SAM|SAM_1|TMhelix|TMhelix	ZZ(47-67)|zf-TAZ(90-149)|Creb_binding(304-383)|Glyco_tranf_GTA_type(489-677)|TMhelix(699-721)|TMhelix(728-750)|TMhelix(765-787)|TMhelix(824-841)|TMhelix(851-873)|SAM(1010-1067)|SAM_1(1081-1140)|TMhelix(1207-1226)|TMhelix(1241-1263)
tr|A0A2N1JC89|A0A2N1JC89_9BASI	WD40|Motor_domain|TMhelix|TMhelix|Heme/Steroid_Binding|TMhelix|GT-A|TMhelix|TMhelix|TMhelix|DEK_C	WD40(9-289)|Motor_domain(304-1051)|TMhelix(1166-1183)|TMhelix(1203-1225)|Cyt-b5(1236-1292)|TMhelix(1465-1487)|Chitin_synth_2(1478-1986)|TMhelix(1863-1885)|TMhelix(1889-1911)|TMhelix(1918-1940)|DEK_C(2125-2176)
tr|A0A1J8PI33|A0A1J8PI33_9HOMO	WD40|DUF3824|Atrophin-1|Chitin_Synthase|GT-A|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	WD40(10-232)|DUF3824(330-410)|Atrophin-1(348-482)|Chitin_synth_1N(504-574)|Chitin_synth_1(575-737)|BcsA(673-1011)|TMhelix(920-942)|TMhelix(955-977)|TMhelix(987-1009)|TMhelix(1030-1052)|TMhelix(1067-1089)|TMhelix(1170-1192)|TMhelix(1196-1218)
tr|A0A1J8QT26|A0A1J8QT26_9HOMO	WD40|Coatomer_WDAD|Motor_Domain|TMhelix|TMhelix|Heme/Steroid_Binding|TMhelix|GT-A|TMhelix|TMhelix|TMhelix|DEK_C	WD40(13-287)|Coatomer_WDAD(332-768)|MYSc_Myo17(859-1611)|TMhelix(1748-1770)|TMhelix(1783-1802)|Cyt-b5(1820-1876)|TMhelix(2053-2075)|Chitin_synth_2(2064-2573)|TMhelix(2443-2465)|TMhelix(2475-2497)|TMhelix(2504-2526)|DEK_C(2758-2812)
sp|P78611|CHSD_EMENI	valS|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	valS(60-177)|TMhelix(221-243)|TMhelix(473-495)|Chitin_synth_2(644-1167)|TMhelix(1042-1064)|TMhelix(1071-1093)|TMhelix(1098-1117)
tr|A0A1Z5JIN5|A0A1Z5JIN5_FISSO	Vac7|TMhelix|Heme/Steroid_Binding|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	Vac7(86-173)|TMhelix(246-268)|Cyt-b5(284-325)|TMhelix(494-516)|Chitin_synth_2(534-1002)|TMhelix(895-917)|TMhelix(921-943)|TMhelix(950-972)
tr|A0A1Z5JSK7|A0A1Z5JSK7_FISSO	Vac7|TMhelix|Heme/Steroid_Binding|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	Vac7(97-173)|TMhelix(246-268)|Cyt-b5(276-325)|TMhelix(494-516)|Chitin_synth_2(534-1002)|TMhelix(895-917)|TMhelix(921-943)|TMhelix(950-972)
tr|R9AB66|R9AB66_WALI9	Trehalase|PABP-1234|Chitin_Synthase|GT-A|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|235kDa-fam	Trehalase(116-723)|PABP-1234(735-862)|Chitin_synth_1N(934-1004)|Chitin_synth_1(1005-1167)|BcsA(1106-1529)|TMhelix(1351-1373)|TMhelix(1386-1408)|TMhelix(1418-1440)|TMhelix(1467-1489)|TMhelix(1499-1518)|235kDa-fam(1797-2029)
tr|A0A1E1KRZ6|A0A1E1KRZ6_9HELO	TMhelix|Virul_fac_BrkB|TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|Virul_fac_BrkB(16-115)|TMhelix(57-79)|TMhelix(99-121)|Glyco_tranf_GTA_type(141-186)|Glyco_tranf_GTA_type(185-415)|TMhelix(440-462)|TMhelix(477-494)|TMhelix(501-523)
tr|A0A1J9QW34|A0A1J9QW34_9PEZI	TMhelix|TRAM_LAG1_CLN8|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(37-59)|TRAM_LAG1_CLN8(30-128)|TMhelix(72-94)|TMhelix(116-138)|Glyco_tranf_GTA_type(162-432)|TMhelix(464-481)|TMhelix(491-513)|TMhelix(520-542)
tr|A0A1X7S5Q2|A0A1X7S5Q2_ZYMTR	TMhelix|TRAM_LAG1_CLN8|TMhelix|TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(25-47)|TRAM_LAG1_CLN8(23-124)|TMhelix(68-90)|TMhelix(112-134)|BcsA(105-539)|TMhelix(465-484)|TMhelix(488-507)|TMhelix(514-536)
