tr|U6PXS4|U6PXS4_HAECO	Vps35|TMhelix|GT-A|TMhelix|TMhelix	Vps35(14-750)|TMhelix(840-862)|Glucosylceramide_synthase(880-1109)|TMhelix(1135-1157)|TMhelix(1177-1199)
tr|A0A1D2N9A2|A0A1D2N9A2_ORCCI	TMhelix|TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(35-57)|TMhelix(72-94)|TMhelix(107-129)|Glucosylceramide_synthase(147-381)|TMhelix(389-411)|TMhelix(418-435)
tr|A0A1G6XKF8|A0A1G6XKF8_9SPHN	TMhelix|TMhelix|TMhelix|GT-A|TMhelix	TMhelix(4-26)|TMhelix(141-163)|TMhelix(173-195)|HpnI(1-371)|TMhelix(331-353)
tr|A0A0V0RN26|A0A0V0RN26_9BILA	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(45-62)|TMhelix(89-111)|Glucosylceramide_synthase(130-359)|TMhelix(360-382)|TMhelix(397-419)
tr|A0A158J424|A0A158J424_9BURK	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(26-48)|TMhelix(58-80)|HpnI(56-430)|TMhelix(345-367)|TMhelix(393-415)
tr|A0A1G6WXC6|A0A1G6WXC6_9BURK	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(13-32)|TMhelix(47-69)|HpnI(47-419)|TMhelix(339-361)|TMhelix(381-403)
tr|H6BUM4|H6BUM4_EXODN	TMhelix|TMhelix|GT-A|TMhelix|TMhelix	TMhelix(41-63)|TMhelix(78-100)|Glyco_tranf_GTA_type(118-435)|TMhelix(471-493)|TMhelix(541-563)
tr|A0A2G5T3S1|A0A2G5T3S1_9PELO	TMhelix|TMhelix|GT-A|TMhelix	TMhelix(5-24)|TMhelix(36-58)|Glucosylceramide_synthase(76-307)|TMhelix(332-354)
tr|C5ALX5|C5ALX5_BURGB	TMhelix|TMhelix|GT-A|TMhelix	TMhelix(12-29)|TMhelix(44-66)|HpnI(45-417)|TMhelix(332-354)
tr|A0A146F1N1|A0A146F1N1_9EURO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix	TMhelix(56-78)|TMhelix(109-131)|Glyco_tranf_GTA_type(147-462)|HpnI(108-603)|TMhelix(514-536)|TMhelix(575-593)
tr|A0A1V6NNJ9|A0A1V6NNJ9_9EURO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix	TMhelix(37-56)|TMhelix(76-98)|Glyco_tranf_GTA_type(127-445)|HpnI(82-596)|TMhelix(489-511)|TMhelix(557-579)
tr|A0A1V6TKB7|A0A1V6TKB7_9EURO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(52-74)|Glyco_tranf_GTA_type(98-416)|BcsA(57-550)|TMhelix(460-482)|TMhelix(528-550)
tr|A0A1V6UN33|A0A1V6UN33_9EURO	TMhelix|TMhelix|GT-A|GT-A|TMhelix|TMhelix	TMhelix(7-29)|TMhelix(49-71)|Glyco_tranf_GTA_type(94-412)|BcsA(50-546)|TMhelix(456-478)|TMhelix(524-546)
tr|U4KW64|U4KW64_PYROM	TMhelix|TMhelix|GT-A|GT-A	TMhelix(22-44)|TMhelix(80-102)|Glucosylceramide_synthase(122-415)|HpnI(103-550)
tr|A0A1I8FIR2|A0A1I8FIR2_9PLAT	TMhelix|PHA03307|GT-A	TMhelix(204-226)|PHA03307(263-516)|Glyco_tranf_GTA_type(564-751)
tr|B0CR54|B0CR54_LACBS	TMhelix|GT|GT-A	TMhelix(10-32)|PRK11204(7-87)|Glucosylceramide_synthase(53-299)
tr|A0A1Z4LRW2|A0A1Z4LRW2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|BcsA(3-390)|TMhelix(277-299)|TMhelix(309-331)|TMhelix(338-360)|TMhelix(365-387)
tr|A0A235HSA7|A0A235HSA7_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(6-414)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(353-372)|TMhelix(377-399)
tr|A0A2K3J3I6|A0A2K3J3I6_9EURY	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(41-266)|TMhelix(172-194)|TMhelix(272-294)|TMhelix(301-323)|TMhelix(338-360)
tr|B2J2F9|B2J2F9_NOSP7	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(6-414)|TMhelix(279-301)|TMhelix(311-333)|TMhelix(353-372)|TMhelix(377-399)
tr|G6FYV1|G6FYV1_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(21-292)|TMhelix(179-201)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(360-379)
tr|Q7UL94|Q7UL94_RHOBA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|BcsA(1-259)|TMhelix(174-196)|TMhelix(277-299)|TMhelix(306-328)|TMhelix(348-370)
tr|R9AI64|R9AI64_WALI9	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(55-307)|TMhelix(310-332)|TMhelix(342-364)|TMhelix(371-388)|TMhelix(393-410)
tr|T2GA40|T2GA40_DESGG	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(8-392)|TMhelix(249-271)|TMhelix(286-308)|TMhelix(315-337)|TMhelix(347-369)
tr|A0A2P4M1M4|A0A2P4M1M4_QUESU	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|Thioredoxin_like	TMhelix(44-66)|Glyco_tranf_GTA_type(81-311)|TMhelix(313-335)|TMhelix(345-367)|TMhelix(372-394)|Thioredoxin_like(531-627)
sp|Q5AMQ4|CEGT_CANAL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|Glyco_tranf_GTA_type(66-412)|TMhelix(414-436)|TMhelix(451-473)|TMhelix(502-524)
tr|A0A015LZT8|A0A015LZT8_9GLOM	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(50-72)|Glucosylceramide_synthase(94-325)|TMhelix(352-374)|TMhelix(394-416)|TMhelix(477-499)
tr|A0A059IIM2|A0A059IIM2_9RHOB	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|Glucosylceramide_synthase(43-272)|TMhelix(274-296)|TMhelix(301-323)|TMhelix(344-361)
tr|A0A063C621|A0A063C621_9HYPO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|Glyco_tranf_GTA_type(51-365)|TMhelix(334-356)|TMhelix(369-391)|TMhelix(406-425)
tr|A0A067FGU1|A0A067FGU1_CITSI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(25-47)|Glyco_tranf_GTA_type(84-315)|TMhelix(342-364)|TMhelix(379-401)|TMhelix(422-444)
tr|A0A068XK21|A0A068XK21_HYMMI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|Glucosylceramide_synthase(51-281)|TMhelix(277-296)|TMhelix(306-328)|TMhelix(335-357)
tr|A0A098TSW8|A0A098TSW8_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|HpnI(5-379)|TMhelix(280-299)|TMhelix(306-328)|TMhelix(338-360)
tr|A0A0A8WPI6|A0A0A8WPI6_9DELT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(11-378)|TMhelix(278-300)|TMhelix(305-324)|TMhelix(345-362)
tr|A0A0B0EGP7|A0A0B0EGP7_9BACT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(6-28)|HpnI(2-386)|TMhelix(279-301)|TMhelix(311-330)|TMhelix(343-365)
tr|A0A0B0QH26|A0A0B0QH26_APHFL	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-405)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(359-381)
tr|A0A0C1R9E4|A0A0C1R9E4_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(4-26)|HpnI(7-379)|TMhelix(281-303)|TMhelix(308-330)|TMhelix(337-359)
tr|A0A0C1RD27|A0A0C1RD27_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(12-405)|TMhelix(278-300)|TMhelix(312-334)|TMhelix(354-376)
tr|A0A0C2LUZ4|A0A0C2LUZ4_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(4-405)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(356-378)
tr|A0A0C2MCW2|A0A0C2MCW2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|HpnI(9-386)|TMhelix(286-305)|TMhelix(312-334)|TMhelix(344-366)
tr|A0A0C2QRB3|A0A0C2QRB3_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(6-405)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(353-375)
tr|A0A0D6KCF2|A0A0D6KCF2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(7-404)|TMhelix(283-305)|TMhelix(312-331)|TMhelix(351-373)
tr|A0A0D6KCK2|A0A0D6KCK2_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(11-276)|TMhelix(282-304)|TMhelix(311-333)|TMhelix(359-381)
tr|A0A0D6KPT0|A0A0D6KPT0_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(10-32)|HpnI(13-385)|TMhelix(287-309)|TMhelix(313-335)|TMhelix(355-372)
tr|A0A0J1B5L8|A0A0J1B5L8_RHOIS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|BcsA(1-369)|TMhelix(277-299)|TMhelix(311-333)|TMhelix(348-370)
tr|A0A0K1PER5|A0A0K1PER5_9DELT	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glucosylceramide_synthase(43-271)|TMhelix(277-299)|TMhelix(306-328)|TMhelix(333-355)
tr|A0A0M0SF63|A0A0M0SF63_9CYAN	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(12-34)|HpnI(50-384)|TMhelix(286-308)|TMhelix(315-337)|TMhelix(347-369)
tr|A0A0M5TII3|A0A0M5TII3_9NOSO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(15-32)|BcsA(3-403)|TMhelix(279-301)|TMhelix(314-336)|TMhelix(351-373)
tr|A0A0N0MCS1|A0A0N0MCS1_9BRAD	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(5-27)|Glyco_tranf_GTA_type(43-272)|TMhelix(274-296)|TMhelix(306-328)|TMhelix(340-362)
