tr|A0A239KH96|A0A239KH96_9PROT	YbbN|GT-A|GT-B	YbbN(41-194)|GT2(310-557)|Glycosyltransferase_GTB-type(596-930)
tr|E0IFM2|E0IFM2_9BACL	vWFA|GT-A|GT-B	vWFA(36-96)|GT2(120-336)|Glycosyltransferase_GTB-type(442-721)
tr|A0A1M3PK01|A0A1M3PK01_9PROT	TPR_19|GT-A|GT-B	TPR_19(16-64)|GT2(347-594)|Glycosyltransferase_GTB-type(624-960)
tr|W7DPA0|W7DPA0_9PROT	TPR_19|GT-A|GT-B	TPR_19(41-101)|GT2(348-630)|Glycosyltransferase_GTB-type(634-990)
tr|G8B1A8|G8B1A8_AZOBR	TPR_16|GT-A|GT-B	TPR_16(21-79)|GT2(387-613)|Glycosyltransferase_GTB-type(678-1034)
tr|F2UK52|F2UK52_SALR5	TNFRSF|TNFRSF|TNFRSF|TNFRSF|TNFRSF|DUF5011|DUF5011|DUF5011|TMhelix|SDR|GT-A|GT-A|TMhelix|TMhelix	TNFRSF(197-278)|TNFRSF(393-475)|TNFRSF(472-576)|TNFRSF(572-652)|TNFRSF(628-689)|DUF5011(963-1040)|DUF5011(1048-1125)|DUF5011(1421-1493)|TMhelix(1624-1646)|SDR(1864-2261)|Glyco_tranf_GTA_type(2629-2750)|GT2(2629-2891)|TMhelix(2872-2894)|TMhelix(3016-3035)
tr|J0V8R3|J0V8R3_9BACT	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|GT-A|TMhelix	TMhelix(10-25)|TMhelix(32-49)|TMhelix(59-81)|TMhelix(88-107)|TMhelix(142-164)|TMhelix(171-202)|TMhelix(212-234)|Wzy_C(173-294)|TMhelix(288-310)|GT2(359-623)|TMhelix(627-649)
tr|I4C6M7|I4C6M7_DESTA	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT_WecA_like|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(6-28)|TMhelix(53-72)|TMhelix(92-114)|TMhelix(121-143)|TMhelix(147-169)|GT_WecA_like(44-301)|TMhelix(174-193)|TMhelix(197-215)|TMhelix(222-241)|TMhelix(256-278)|TMhelix(309-331)|TMhelix(335-357)|GT2(531-787)
tr|W8WZP8|W8WZP8_CASDE	TMhelix|TMhelix|TMhelix|Acetyltransferase|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(44-66)|TMhelix(79-101)|TMhelix(129-151)|OafA(1-356)|TMhelix(211-228)|TMhelix(243-265)|TMhelix(286-305)|TMhelix(315-337)|Glyco_tranf_GTA_type(380-619)
tr|A0A1M3Q0K2|A0A1M3Q0K2_9PROT	TMhelix|TMhelix|GT-A	TMhelix(62-84)|TMhelix(99-118)|Glyco_tranf_GTA_type(3-240)
tr|A0A1F5TMD6|A0A1F5TMD6_9BACT	TMhelix|GT-A|TMhelix	TMhelix(13-31)|GT_2_like_c(24-244)|TMhelix(274-291)
tr|A0A1Y6BNS6|A0A1Y6BNS6_9ALTE	TMhelix|GT-A|TMhelix	TMhelix(127-149)|GT2(1-304)|TMhelix(258-280)
tr|A0A2E1G5Q4|A0A2E1G5Q4_9ACTN	TMhelix|GT-A|GT-B	TMhelix(21-40)|GT2(20-270)|GT4_PimA-like(351-691)
tr|A0A167KEA7|A0A167KEA7_9FLAO	TMhelix|GT-A|GT-A	TMhelix(10-32)|Glycos_transf_2(22-113)|WcaA(20-311)
tr|A0A1E3SCE7|A0A1E3SCE7_9MYCO	TMhelix|GT-A	TMhelix(70-92)|GT2(4-297)
tr|A0A1Y1HKA8|A0A1Y1HKA8_KLENI	TMhelix|GT-A	TMhelix(21-43)|Glyco_tranf_GTA_type(175-287)
tr|A0A1Y1HWB5|A0A1Y1HWB5_KLENI	TMhelix|GT-A	TMhelix(56-78)|Glyco_tranf_GTA_type(209-321)
tr|A0A2P7NRA4|A0A2P7NRA4_9PROT	TMhelix|GT-A	TMhelix(12-31)|GT_2_like_c(16-241)
tr|A0A2S9F1C5|A0A2S9F1C5_9MYCO	TMhelix|GT-A	TMhelix(71-93)|GT2(16-215)
tr|C0W8E4|C0W8E4_9ACTO	TMhelix|GT-A	TMhelix(100-122)|GT2(8-325)
tr|W6LPF6|W6LPF6_9GAMM	TMhelix|GT-A	TMhelix(7-29)|Glyco_tranf_GTA_type(13-250)
tr|A0A0J1GHA8|A0A0J1GHA8_9GAMM	TMhelix	TMhelix(240-262)
tr|A0A1G9SL84|A0A1G9SL84_9ACTO	TIM_phosphate_binding|GT-A	TIM_phosphate_binding(43-189)|GT_2_like_c(17-260)
tr|A0A2D0NE41|A0A2D0NE41_9BACT	stp1|GT-B|GT-A	stp1(154-491)|Glyco_trans_1_4(335-473)|GT2(508-730)
tr|A0A2S5X9Y1|A0A2S5X9Y1_9MICO	stp1|GT-A	stp1(154-386)|GT2(422-715)
tr|D2NS92|D2NS92_ROTMD	Secretin_N_2|GT-A	Secretin_N_2(37-124)|GT2(198-513)
tr|I5B6W5|I5B6W5_9DELT	RgpF|GT-A|GT-A	RgpF(101-321)|Glyco_tranf_GTA_type(520-714)|GT2(761-983)
tr|A0A0Q6F653|A0A0Q6F653_9RHIZ	RgpF|GT-A	RgpF(18-98)|Glyco_tranf_GTA_type(179-366)
tr|A0A059FAE5|A0A059FAE5_9RHOB	RgpF|DUF616|GT-A	RgpF(5-233)|DUF616(285-481)|GT2(543-763)
tr|L8M5P5|L8M5P5_9CYAN	Protein_Binding|GT-A|GT-B	TPR(36-291)|GT2(627-854)|Glycosyltransferase_GTB-type(907-1295)
tr|A0A1X9LQ95|A0A1X9LQ95_9MICO	PRK12678|PRK12678|GT-A	PRK12678(4-173)|PRK12678(161-384)|GT2_RfbF_like(429-653)
tr|A0A1G7NM29|A0A1G7NM29_9DELT	PRK11447|GT-A	PRK11447(175-304)|GT2(260-492)
tr|A0A1W9IID6|A0A1W9IID6_9PROT	PRK09782|GT-A	PRK09782(4-116)|GT2(212-445)
tr|A0A136MX22|A0A136MX22_9BACT	PRK05627|GT-A	PRK05627(1-311)|GT_2_like_c(324-541)
tr|A0A180EQW0|A0A180EQW0_9BACT	PRK05627|GT-A	PRK05627(2-310)|GT2(322-612)
tr|A0A1H8Z0E7|A0A1H8Z0E7_9BACT	PRK05627|GT-A	PRK05627(7-301)|GT_2_like_c(327-542)
tr|A0A2C6CVC4|A0A2C6CVC4_9BACT	PRK05627|GT-A	PRK05627(2-305)|GT2(329-629)
tr|A0A2D0NA07|A0A2D0NA07_9BACT	PRK05627|GT-A	PRK05627(2-308)|GT2(321-623)
tr|A0A2G0CFP9|A0A2G0CFP9_9BACT	PRK05627|GT-A	PRK05627(3-305)|GT2(323-613)
tr|F4KSH0|F4KSH0_HALH1	PRK05627|GT-A	PRK05627(2-308)|GT_2_like_c(327-544)
tr|A0A164M3F3|A0A164M3F3_9NOCA	prc_long_Delta|GT	prc_long_Delta(20-207)|Glyco_tranf_2_3(160-406)
tr|A0A177YJQ2|A0A177YJQ2_9NOCA	prc_long_Delta|GT	prc_long_Delta(31-218)|Glyco_tranf_2_3(171-417)
tr|A0A0L1LLD8|A0A0L1LLD8_9MICC	PLN02885|GT-A	PLN02885(21-84)|GT2(202-451)
tr|A0A1Q8CRL5|A0A1Q8CRL5_9PSEU	PLN02724|GT-A	PLN02724(78-122)|GT2(162-487)
tr|A0A257HEB3|A0A257HEB3_9RHIZ	PLN02418|GT-A	PLN02418(2-135)|Glyco_tranf_GTA_type(234-444)
tr|A0A259UZD8|A0A259UZD8_9FIRM	PEP_TPR_lipo|GT-A|Unknown	PEP_TPR_lipo(22-101)|GT2(135-340)|DUF563(779-963)
tr|A0A0D6MVE7|A0A0D6MVE7_ACEAC	PEP_TPR_lipo|GT-A|GT-B	PEP_TPR_lipo(49-133)|Glyco_tranf_GTA_type(379-602)|Glycosyltransferase_GTB-type(673-1025)
tr|F7VBA6|F7VBA6_9PROT	PEP_TPR_lipo|GT-A|GT-B	PEP_TPR_lipo(47-144)|Glyco_tranf_GTA_type(385-600)|Glycosyltransferase_GTB-type(665-1019)
tr|Q0BVQ8|Q0BVQ8_GRABC	PEP_TPR_lipo|GT-A|GT-B	PEP_TPR_lipo(30-85)|GT2(383-606)|Glycosyltransferase_GTB-type(707-997)
tr|A0A126NW11|A0A126NW11_9BRAD	PEP_TPR_lipo|GT-A	PEP_TPR_lipo(5-137)|GT2(245-494)
tr|L8M5T8|L8M5T8_9CYAN	PEP_TPR_lipo|GT-A	PEP_TPR_lipo(28-740)|Glyco_tranf_GTA_type(1217-1438)
tr|A0A1C3FED6|A0A1C3FED6_9BACT	PBPb|GT-A	PBPb(24-114)|GT2(2-358)
tr|A0A1M5CBA2|A0A1M5CBA2_9BURK	MT|SmtA|SMC_prok_B|GT-A|GT-B	Methyltransf_25(36-127)|SmtA(7-200)|SMC_prok_B(440-729)|Glyco_tranf_GTA_type(799-1013)|Glycosyltransferase_GTB-type(1072-1416)
tr|Q2KC67|Q2KC67_RHIEC	MT|SmtA|GT-A|TMhelix	Methyltransf_11(134-224)|SmtA(82-331)|GT2(510-793)|TMhelix(790-812)
tr|A0A1N7S4J9|A0A1N7S4J9_9BURK	MT|SMC_prok_B|GT-B|GT-A	Methyltransf_12(60-136)|SMC_prok_B(205-412)|Glycosyltransferase_GTB-type(507-859)|GT_2_like_c(878-1086)
tr|A0A1Z4PUX9|A0A1Z4PUX9_9CYAN	MT|SMC_prok_B|GT-A|GT-B	Methyltransf_23(29-185)|SMC_prok_B(239-394)|GT_2_like_c(465-681)|GT4_PimA-like(753-1100)
tr|C6XRY1|C6XRY1_HIRBI	MT|SMC_prok_B|GT-A|GT-B	Methyltransf_24(49-165)|SMC_prok_B(217-445)|Glyco_tranf_GTA_type(665-881)|GT4_PimA-like(940-1289)
