tr|A0A2I1CKB3|A0A2I1CKB3_9EURO	Transporter|Transporter|Transporter|GT-A	Mito_carr(43-128)|Mito_carr(152-260)|Mito_carr(228-322)|Anp1(535-800)
tr|A0A1L9PS16|A0A1L9PS16_ASPVE	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|TMhelix|GT-A	Mito_carr(39-122)|Mito_carr(146-236)|TMhelix(207-229)|TMhelix(242-264)|Mito_carr(245-337)|TMhelix(317-339)|TMhelix(352-371)|Anp1(418-683)
tr|A0A2I2FPT6|A0A2I2FPT6_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|TMhelix|GT-A	Mito_carr(27-112)|Mito_carr(136-228)|TMhelix(197-219)|TMhelix(232-254)|Mito_carr(235-327)|TMhelix(298-320)|TMhelix(327-349)|Anp1(408-673)
tr|A0A017SLL0|A0A017SLL0_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(49-134)|Mito_carr(159-249)|TMhelix(218-240)|TMhelix(255-277)|Mito_carr(258-348)|TMhelix(380-399)|Anp1(451-716)
tr|A0A100ING7|A0A100ING7_ASPNG	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(45-130)|Mito_carr(154-244)|TMhelix(213-235)|TMhelix(250-272)|Mito_carr(253-345)|TMhelix(401-423)|Anp1(473-738)
tr|A0A1L9NIJ0|A0A1L9NIJ0_ASPTU	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(45-130)|Mito_carr(154-244)|TMhelix(215-237)|TMhelix(250-272)|Mito_carr(253-339)|TMhelix(385-407)|Anp1(457-722)
tr|A0A1L9RFS2|A0A1L9RFS2_ASPWE	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(26-111)|Mito_carr(136-222)|TMhelix(197-219)|TMhelix(234-256)|Mito_carr(235-321)|TMhelix(348-367)|Anp1(417-682)
tr|A0A1L9S6W2|A0A1L9S6W2_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(12-97)|Mito_carr(121-213)|TMhelix(182-204)|TMhelix(217-239)|Mito_carr(220-312)|TMhelix(326-348)|Anp1(393-658)
tr|A0A1L9U8I7|A0A1L9U8I7_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(45-130)|Mito_carr(154-244)|TMhelix(213-235)|TMhelix(250-272)|Mito_carr(253-339)|TMhelix(477-499)|Anp1(549-814)
tr|A0A1L9VEX4|A0A1L9VEX4_ASPGL	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(47-134)|Mito_carr(159-249)|TMhelix(220-242)|TMhelix(257-279)|Mito_carr(258-344)|TMhelix(378-397)|Anp1(449-714)
tr|A0A1S9DBI7|A0A1S9DBI7_ASPOZ	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(45-130)|Mito_carr(153-245)|TMhelix(212-234)|TMhelix(249-271)|Mito_carr(250-318)|TMhelix(384-403)|Anp1(451-716)
tr|A0A1V6PYC3|A0A1V6PYC3_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(29-127)|Mito_carr(151-241)|TMhelix(210-232)|TMhelix(247-269)|Mito_carr(250-307)|TMhelix(348-370)|Anp1(418-683)
tr|A0A2G7G4L7|A0A2G7G4L7_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(45-130)|Mito_carr(153-245)|TMhelix(212-234)|TMhelix(249-271)|Mito_carr(250-287)|TMhelix(316-335)|Anp1(382-600)
tr|A0A2I2GLP6|A0A2I2GLP6_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(41-126)|Mito_carr(150-242)|TMhelix(209-231)|TMhelix(246-268)|Mito_carr(249-339)|TMhelix(336-358)|Anp1(412-677)
tr|A0A2J5HQV6|A0A2J5HQV6_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(41-131)|Mito_carr(155-247)|TMhelix(216-238)|TMhelix(251-273)|Mito_carr(254-340)|TMhelix(360-382)|Anp1(441-706)
tr|G7XWC9|G7XWC9_ASPKW	Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	Mito_carr(45-130)|Mito_carr(154-244)|TMhelix(213-235)|TMhelix(250-272)|Mito_carr(253-345)|TMhelix(391-413)|Anp1(463-728)
tr|A0A2H3I000|A0A2H3I000_9EURO	Transporter|Transporter|TMhelix|TMhelix|Transporter|GT-A	Mito_carr(54-139)|Mito_carr(163-255)|TMhelix(224-246)|TMhelix(259-281)|Mito_carr(262-336)|Anp1(381-648)
tr|A0A229X7R4|A0A229X7R4_9EURO	TMhelix|Transporter|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	TMhelix(34-56)|Mito_carr(504-589)|Mito_carr(613-705)|TMhelix(672-694)|TMhelix(709-731)|Mito_carr(712-804)|TMhelix(875-897)|Anp1(950-1215)
tr|A0A146FWE1|A0A146FWE1_9EURO	TMhelix|Transporter|TMhelix|TMhelix|Transporter|TMhelix|GT-A	TMhelix(15-37)|Mito_carr(13-103)|TMhelix(72-94)|TMhelix(109-131)|Mito_carr(112-204)|TMhelix(278-300)|Anp1(350-615)
tr|K0KG15|K0KG15_WICCF	TMhelix|TPH|GT-A	TMhelix(7-26)|TPH(77-134)|Anp1(156-428)
tr|A0A2G7G678|A0A2G7G678_9EURO	TMhelix|TMhelix|GT-A	TMhelix(182-204)|TMhelix(225-247)|Anp1(302-564)
