tr|I0YXG6|I0YXG6_COCSC	WD40|PAN_4|GT-A|GT-A	WD40(69-389)|PAN_4(559-618)|Glyco_tranf_GTA_type(654-992)|Glyco_tranf_GTA_type(1106-1350)
tr|A0A2P5ES26|A0A2P5ES26_9ROSA	TMhelix|TMhelix|TSPO_MBR|TMhelix|TMhelix|TMhelix|GT-A|MT	TMhelix(42-64)|TMhelix(79-101)|TSPO_MBR(43-175)|TMhelix(108-125)|TMhelix(129-151)|TMhelix(208-230)|PLN03182(193-642)|AdoMet_MTases(870-973)
tr|A0A2P6Q8Y7|A0A2P6Q8Y7_ROSCH	TMhelix|TMhelix|GT-A	TMhelix(5-22)|TMhelix(115-137)|PLN03181(91-526)
tr|D7KH56|D7KH56_ARALL	TMhelix|TMhelix|GT-A	TMhelix(4-23)|TMhelix(151-173)|PLN03182(134-568)
tr|A0A1E5VSM2|A0A1E5VSM2_9POAL	TMhelix|GT-A|TMhelix|GT-A|TMhelix|GT-A	TMhelix(33-55)|PLN03181(68-434)|TMhelix(502-524)|Glyco_tranf_GTA_type(467-906)|TMhelix(957-979)|Glyco_tranf_GTA_type(932-1371)
tr|A0A251TWM5|A0A251TWM5_HELAN	TMhelix|GT-A|TMhelix	TMhelix(27-49)|PLN03181(1-456)|TMhelix(467-489)
tr|A0A139I5R9|A0A139I5R9_9PEZI	TMhelix|GT-A|SMC_prok_B	TMhelix(43-65)|Glyco_tranf_GTA_type(228-400)|SMC_prok_B(450-644)
tr|A0A139HV68|A0A139HV68_9PEZI	TMhelix|GT-A|SMC_prok_A	TMhelix(43-65)|Glyco_tranf_GTA_type(228-400)|SMC_prok_A(467-642)
tr|A0A176VF20|A0A176VF20_MARPO	TMhelix|GT-A|GT-A	TMhelix(187-209)|Glyco_tranf_GTA_type(266-630)|PLN03182(629-953)
tr|A0A2R6XBM0|A0A2R6XBM0_MARPO	TMhelix|GT-A|GT-A	TMhelix(32-54)|Glyco_tranf_GTA_type(111-475)|PLN03182(474-798)
tr|A0A2D3V2Z8|A0A2D3V2Z8_9PEZI	TMhelix|GT-A|dnaK|Borrelia_P83	TMhelix(45-67)|Glyco_tranf_GTA_type(233-405)|dnaK(440-525)|Borrelia_P83(419-654)
sp|A2XFT5|GT4_ORYSI	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-469)
sp|A2XFT6|GT5_ORYSI	TMhelix|GT-A	TMhelix(29-51)|PLN03182(89-443)
sp|A2ZF66|GT6_ORYSI	TMhelix|GT-A	TMhelix(40-62)|PLN03181(1-483)
sp|B8AIZ4|GT2_ORYSI	TMhelix|GT-A	TMhelix(50-72)|PLN03182(33-478)
sp|C7J0P3|GT5_ORYSJ	TMhelix|GT-A	TMhelix(29-51)|PLN03182(89-443)
sp|O22775|XXT2_ARATH	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
sp|O81007|GT7_ARATH	TMhelix|GT-A	TMhelix(26-48)|PLN03181(1-448)
sp|Q10MK2|GT4_ORYSJ	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-469)
sp|Q2R2W8|GT6_ORYSJ	TMhelix|GT-A	TMhelix(40-62)|PLN03181(1-483)
sp|Q6H765|GT2_ORYSJ	TMhelix|GT-A	TMhelix(50-72)|PLN03182(33-478)
sp|Q9M9U0|XXT4_ARATH	TMhelix|GT-A	TMhelix(40-62)|PLN03182(23-510)
sp|Q9SZG1|GT6_ARATH	TMhelix|GT-A	TMhelix(13-35)|PLN03181(1-431)
tr|A0A017S0T8|A0A017S0T8_9EURO	TMhelix|GT-A	TMhelix(104-126)|Glyco_transf_34(138-387)
tr|A0A061DIN2|A0A061DIN2_THECC	TMhelix|GT-A	TMhelix(28-50)|PLN03181(1-451)
tr|A0A061DSF9|A0A061DSF9_THECC	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-452)
tr|A0A067FWB8|A0A067FWB8_CITSI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-433)
tr|A0A067GH10|A0A067GH10_CITSI	TMhelix|GT-A	TMhelix(29-46)|PLN03181(1-435)
tr|A0A067H5K9|A0A067H5K9_CITSI	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-453)
tr|A0A067JYQ1|A0A067JYQ1_JATCU	TMhelix|GT-A	TMhelix(21-43)|PLN03181(1-430)
tr|A0A067K769|A0A067K769_JATCU	TMhelix|GT-A	TMhelix(30-52)|PLN03181(1-451)
tr|A0A067K7L1|A0A067K7L1_JATCU	TMhelix|GT-A	TMhelix(21-40)|PLN03182(1-455)
tr|A0A0D2Y082|A0A0D2Y082_FUSO4	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(163-323)
tr|A0A0D3FHJ4|A0A0D3FHJ4_9ORYZ	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-469)
tr|A0A0D9YT44|A0A0D9YT44_9ORYZ	TMhelix|GT-A	TMhelix(50-72)|PLN03182(33-478)
tr|A0A0D9Z663|A0A0D9Z663_9ORYZ	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-469)
tr|A0A0D9Z664|A0A0D9Z664_9ORYZ	TMhelix|GT-A	TMhelix(29-51)|PLN03182(89-443)
tr|A0A0E0BK28|A0A0E0BK28_9ORYZ	TMhelix|GT-A	TMhelix(40-62)|PLN03181(1-485)
tr|A0A0E0CLF9|A0A0E0CLF9_9ORYZ	TMhelix|GT-A	TMhelix(44-66)|PLN03182(27-449)
tr|A0A0E0CZG9|A0A0E0CZG9_9ORYZ	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-471)
tr|A0A0E0CZH2|A0A0E0CZH2_9ORYZ	TMhelix|GT-A	TMhelix(28-50)|PLN03182(42-442)
tr|A0A0E0F6G2|A0A0E0F6G2_9ORYZ	TMhelix|GT-A	TMhelix(40-62)|PLN03181(1-485)
tr|A0A0E0G7N5|A0A0E0G7N5_ORYNI	TMhelix|GT-A	TMhelix(50-72)|PLN03182(33-478)
tr|A0A0E0GLB5|A0A0E0GLB5_ORYNI	TMhelix|GT-A	TMhelix(25-47)|PLN03182(3-469)
tr|A0A0E0GLB6|A0A0E0GLB6_ORYNI	TMhelix|GT-A	TMhelix(29-51)|PLN03182(89-443)
