tr|A0A1X7NV23|A0A1X7NV23_AZOLI	TPR_11|GT-A	TPR_11(25-57)|Glyco_transf_17(312-418)
tr|A0A1Q9CFE9|A0A1Q9CFE9_SYMMI	TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|GT-A	TMhelix(34-56)|TMhelix(235-257)|TMhelix(272-294)|MFS(220-414)|TMhelix(307-329)|TMhelix(369-391)|TMhelix(398-420)|TMhelix(435-457)|TMhelix(691-713)|TMhelix(733-755)|MFS(709-825)|TMhelix(762-784)|Glyco_transf_17(942-1074)
tr|A0A2K6TW85|A0A2K6TW85_SAIBB	TMhelix|TMhelix|GT-A	TMhelix(10-27)|TMhelix(111-129)|Glyco_transf_17(304-601)
tr|A0A1Y3NYG7|A0A1Y3NYG7_PIRSE	TMhelix|MSCRAMM_SdrC|GT-A	TMhelix(7-29)|MSCRAMM_SdrC(81-215)|Glyco_transf_17(305-447)
tr|A0A0D9YUF2|A0A0D9YUF2_9ORYZ	TMhelix|GT-A|TMhelix|TMhelix|TMhelix	TMhelix(41-63)|Glyco_transf_17(59-373)|TMhelix(377-396)|TMhelix(427-449)|TMhelix(453-470)
tr|A0A0E0G990|A0A0E0G990_ORYNI	TMhelix|GT-A|TMhelix	TMhelix(41-63)|Glyco_transf_17(59-373)|TMhelix(377-396)
tr|B9SVL6|B9SVL6_RICCO	TMhelix|GT-A|TMhelix	TMhelix(19-41)|Glyco_transf_17(18-365)|TMhelix(407-429)
tr|A0A1Y3MUW5|A0A1Y3MUW5_PIRSE	TMhelix|GT-A|GT-D	TMhelix(44-61)|Glyco_transf_17(222-394)|GT-D(641-866)
tr|A0A0E0K1W8|A0A0E0K1W8_ORYPU	TMhelix|GT-A|GT-A	TMhelix(41-63)|Glyco_transf_17(40-371)|Glyco_transf_17(364-668)
tr|A0A010QSQ5|A0A010QSQ5_9PEZI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(63-364)
tr|A0A061E8J3|A0A061E8J3_THECC	TMhelix|GT-A	TMhelix(48-67)|Glyco_transf_17(42-389)
tr|A0A061EC85|A0A061EC85_THECC	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|A0A063BKL7|A0A063BKL7_9HYPO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(53-340)
tr|A0A066VII0|A0A066VII0_9HOMO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(5-316)
tr|A0A067GNE6|A0A067GNE6_CITSI	TMhelix|GT-A	TMhelix(28-47)|Glyco_transf_17(26-372)
tr|A0A067GRJ9|A0A067GRJ9_CITSI	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|A0A067K4I6|A0A067K4I6_JATCU	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|A0A067KEK7|A0A067KEK7_JATCU	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(11-360)
tr|A0A067LD42|A0A067LD42_JATCU	TMhelix|GT-A	TMhelix(44-63)|Glyco_transf_17(38-385)
tr|A0A067NKS5|A0A067NKS5_PLEOS	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(9-364)
tr|A0A067RK52|A0A067RK52_ZOONE	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(178-385)
tr|A0A067T092|A0A067T092_GALM3	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_17(6-364)
tr|A0A072TUB7|A0A072TUB7_MEDTR	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|A0A072U8D1|A0A072U8D1_MEDTR	TMhelix|GT-A	TMhelix(42-64)|Glyco_transf_17(38-385)
tr|A0A0C4EFT3|A0A0C4EFT3_MAGP6	TMhelix|GT-A	TMhelix(13-30)|Glyco_transf_17(92-353)
tr|A0A0D3F744|A0A0D3F744_9ORYZ	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A0A0D3F745|A0A0D3F745_9ORYZ	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(59-372)
tr|A0A0D3FX26|A0A0D3FX26_9ORYZ	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A0D3HWM6|A0A0D3HWM6_9ORYZ	TMhelix|GT-A	TMhelix(75-94)|Glyco_transf_17(69-418)
tr|A0A0D9YUF0|A0A0D9YUF0_9ORYZ	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A0A0D9ZM54|A0A0D9ZM54_9ORYZ	TMhelix|GT-A	TMhelix(138-160)|Glyco_transf_17(137-484)
tr|A0A0E0BV36|A0A0E0BV36_9ORYZ	TMhelix|GT-A	TMhelix(80-99)|Glyco_transf_17(74-423)
tr|A0A0E0BWR0|A0A0E0BWR0_9ORYZ	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A0E0CMS7|A0A0E0CMS7_9ORYZ	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A0A0E0CMS9|A0A0E0CMS9_9ORYZ	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(59-372)
tr|A0A0E0FEG6|A0A0E0FEG6_9ORYZ	TMhelix|GT-A	TMhelix(108-127)|Glyco_transf_17(102-451)
tr|A0A0E0G988|A0A0E0G988_ORYNI	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A0A0E0H252|A0A0E0H252_ORYNI	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A0E0JCB3|A0A0E0JCB3_ORYNI	TMhelix|GT-A	TMhelix(119-138)|Glyco_transf_17(113-462)
tr|A0A0E0K1W5|A0A0E0K1W5_ORYPU	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|A0A0E0KRW9|A0A0E0KRW9_ORYPU	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A0E0NH85|A0A0E0NH85_ORYRU	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(42-389)
tr|A0A0E0NH87|A0A0E0NH87_ORYRU	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(59-387)
tr|A0A0E0PAJ3|A0A0E0PAJ3_ORYRU	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A0E0RJW6|A0A0E0RJW6_ORYRU	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(14-363)
tr|A0A0K3CHL0|A0A0K3CHL0_RHOTO	TMhelix|GT-A	TMhelix(10-32)|Glyco_transf_17(5-354)
tr|A0A0P0VL50|A0A0P0VL50_ORYSJ	TMhelix|GT-A	TMhelix(22-44)|Glyco_transf_17(40-368)
tr|A0A0P5W618|A0A0P5W618_9CRUS	TMhelix|GT-A	TMhelix(16-38)|Glyco_transf_17(138-446)
tr|A0A0P5Y0X4|A0A0P5Y0X4_9CRUS	TMhelix|GT-A	TMhelix(23-45)|Glyco_transf_17(144-302)
tr|A0A0W0EXI2|A0A0W0EXI2_9AGAR	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(6-361)
tr|A0A103XDY4|A0A103XDY4_CYNCS	TMhelix|GT-A	TMhelix(50-72)|Glyco_transf_17(49-396)
tr|A0A103XRQ4|A0A103XRQ4_CYNCS	TMhelix|GT-A	TMhelix(54-76)|Glyco_transf_17(53-400)
tr|A0A103Y4S1|A0A103Y4S1_CYNCS	TMhelix|GT-A	TMhelix(35-57)|Glyco_transf_17(36-381)
tr|A0A103YAT7|A0A103YAT7_CYNCS	TMhelix|GT-A	TMhelix(55-77)|Glyco_transf_17(54-401)
tr|A0A118JVA7|A0A118JVA7_CYNCS	TMhelix|GT-A	TMhelix(58-75)|Glyco_transf_17(57-398)
tr|A0A118K733|A0A118K733_CYNCS	TMhelix|GT-A	TMhelix(82-104)|Glyco_transf_17(88-429)
tr|A0A124SC71|A0A124SC71_CYNCS	TMhelix|GT-A	TMhelix(36-58)|Glyco_transf_17(35-382)
tr|A0A135RNI4|A0A135RNI4_9PEZI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(63-364)
tr|A0A135SU81|A0A135SU81_9PEZI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(75-364)
tr|A0A135U147|A0A135U147_9PEZI	TMhelix|GT-A	TMhelix(13-31)|Glyco_transf_17(86-349)
tr|A0A136J4U0|A0A136J4U0_9PEZI	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(51-326)
tr|A0A137QDM5|A0A137QDM5_9AGAR	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_17(7-362)
tr|A0A139HLA9|A0A139HLA9_9PEZI	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(58-360)
tr|A0A151GM53|A0A151GM53_9HYPO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(79-337)
tr|A0A151QQD1|A0A151QQD1_CAJCA	TMhelix|GT-A	TMhelix(49-68)|Glyco_transf_17(43-390)
tr|A0A151R909|A0A151R909_CAJCA	TMhelix|GT-A	TMhelix(39-61)|Glyco_transf_17(38-385)
tr|A0A151RN80|A0A151RN80_CAJCA	TMhelix|GT-A	TMhelix(46-68)|Glyco_transf_17(42-389)
tr|A0A151RV86|A0A151RV86_CAJCA	TMhelix|GT-A	TMhelix(20-39)|Glyco_transf_17(13-360)
tr|A0A151W7R4|A0A151W7R4_HYPMA	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(13-371)
tr|A0A161VWQ0|A0A161VWQ0_9PEZI	TMhelix|GT-A	TMhelix(28-45)|Glyco_transf_17(102-376)
tr|A0A161VZ70|A0A161VZ70_9PEZI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(63-364)
tr|A0A161WQ32|A0A161WQ32_9PEZI	TMhelix|GT-A	TMhelix(5-27)|Glyco_transf_17(71-364)
tr|A0A161X5K1|A0A161X5K1_DAUCA	TMhelix|GT-A	TMhelix(65-84)|Glyco_transf_17(59-406)
tr|A0A162JHK0|A0A162JHK0_9HYPO	TMhelix|GT-A	TMhelix(112-134)|Glyco_transf_17(151-437)
tr|A0A162KLN8|A0A162KLN8_CORDF	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(56-317)
tr|A0A165DH51|A0A165DH51_9BASI	TMhelix|GT-A	TMhelix(9-31)|Glyco_transf_17(38-363)
tr|A0A165P432|A0A165P432_9APHY	TMhelix|GT-A	TMhelix(33-55)|Glyco_transf_17(33-382)
tr|A0A166CEB5|A0A166CEB5_9HOMO	TMhelix|GT-A	TMhelix(12-29)|Glyco_transf_17(8-366)
tr|A0A166IJ52|A0A166IJ52_DAUCA	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(28-360)
tr|A0A166LMA8|A0A166LMA8_9PEZI	TMhelix|GT-A	TMhelix(51-69)|Glyco_transf_17(123-386)
tr|A0A166XKN3|A0A166XKN3_9PEZI	TMhelix|GT-A	TMhelix(7-26)|Glyco_transf_17(82-356)
tr|A0A167RC38|A0A167RC38_9BASI	TMhelix|GT-A	TMhelix(10-32)|Glyco_transf_17(20-363)
tr|A0A167V846|A0A167V846_9HYPO	TMhelix|GT-A	TMhelix(29-48)|Glyco_transf_17(60-334)
tr|A0A175YJ57|A0A175YJ57_DAUCA	TMhelix|GT-A	TMhelix(53-75)|Glyco_transf_17(52-399)
tr|A0A175YR09|A0A175YR09_DAUCA	TMhelix|GT-A	TMhelix(59-78)|Glyco_transf_17(53-400)
tr|A0A176WDZ3|A0A176WDZ3_MARPO	TMhelix|GT-A	TMhelix(23-45)|Glyco_transf_17(36-368)
tr|A0A177V2M3|A0A177V2M3_9BASI	TMhelix|GT-A	TMhelix(58-80)|Glyco_transf_17(64-414)
tr|A0A177VMX0|A0A177VMX0_9BASI	TMhelix|GT-A	TMhelix(85-107)|Glyco_transf_17(92-449)
tr|A0A179UV21|A0A179UV21_BLAGS	TMhelix|GT-A	TMhelix(12-31)|Glyco_transf_17(67-386)
tr|A0A182F4W3|A0A182F4W3_ANOAL	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(313-549)
tr|A0A182G190|A0A182G190_AEDAL	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(233-482)
tr|A0A182HUN1|A0A182HUN1_ANOAR	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(273-529)
tr|A0A182K4D3|A0A182K4D3_9DIPT	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(283-533)
tr|A0A182L1G3|A0A182L1G3_9DIPT	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(275-531)
tr|A0A182TWC8|A0A182TWC8_9DIPT	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(298-534)
tr|A0A182UQ50|A0A182UQ50_ANOME	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(280-536)
tr|A0A182W723|A0A182W723_9DIPT	TMhelix|GT-A	TMhelix(13-35)|Glyco_transf_17(270-522)
tr|A0A182WU18|A0A182WU18_ANOQN	TMhelix|GT-A	TMhelix(12-34)|Glyco_transf_17(274-526)
tr|A0A194YQN8|A0A194YQN8_SORBI	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A199UPP4|A0A199UPP4_ANACO	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A199UQD2|A0A199UQD2_ANACO	TMhelix|GT-A	TMhelix(43-62)|Glyco_transf_17(37-384)
tr|A0A199UYI4|A0A199UYI4_ANACO	TMhelix|GT-A	TMhelix(41-63)|Glyco_transf_17(40-387)
tr|A0A199VWU5|A0A199VWU5_ANACO	TMhelix|GT-A	TMhelix(29-51)|Glyco_transf_17(38-379)
tr|A0A1A6A168|A0A1A6A168_9TREE	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(56-404)
tr|A0A1A6GSZ6|A0A1A6GSZ6_NEOLE	TMhelix|GT-A	TMhelix(53-71)|Glyco_transf_17(250-547)
tr|A0A1B7NQE4|A0A1B7NQE4_9EURO	TMhelix|GT-A	TMhelix(7-29)|Glyco_transf_17(69-394)
tr|A0A1B8C4K9|A0A1B8C4K9_9PEZI	TMhelix|GT-A	TMhelix(9-28)|Glyco_transf_17(4-351)
tr|A0A1B8GPI5|A0A1B8GPI5_9PEZI	TMhelix|GT-A	TMhelix(96-118)|Glyco_transf_17(228-498)
tr|A0A1B9FYC6|A0A1B9FYC6_9TREE	TMhelix|GT-A	TMhelix(43-65)|Glyco_transf_17(35-405)
tr|A0A1B9I4E5|A0A1B9I4E5_9TREE	TMhelix|GT-A	TMhelix(44-66)|Glyco_transf_17(39-404)
tr|A0A1B9IPX9|A0A1B9IPX9_9TREE	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(44-403)
tr|A0A1D5TAM7|A0A1D5TAM7_WHEAT	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
tr|A0A1D5U0W5|A0A1D5U0W5_WHEAT	TMhelix|GT-A	TMhelix(40-62)|Glyco_transf_17(39-386)
