tr|F0YCC4|F0YCC4_AURAN	Unknown	DUF563(212-324)
tr|A0A1S3IN46|A0A1S3IN46_LINUN	TMhelix|U79_P34	TMhelix(7-29)|U79_P34(346-410)
tr|A0A2G5USK0|A0A2G5USK0_9PELO	TMhelix|TMhelix|TroA-like|GT-A	TMhelix(15-37)|TMhelix(58-80)|TroA-like(105-159)|Galactosyl_T(161-329)
tr|K1QWS4|K1QWS4_CRAGI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|PTZ00265|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(90-112)|TMhelix(125-147)|TMhelix(190-212)|TMhelix(267-286)|TMhelix(290-307)|TMhelix(371-393)|TMhelix(408-430)|PTZ00265(166-1333)|TMhelix(782-804)|TMhelix(828-850)|TMhelix(917-939)|TMhelix(1011-1033)|TMhelix(1045-1067)|Galactosyl_T(1403-1531)
tr|X6PD24|X6PD24_RETFI	TMhelix|TMhelix|TMhelix	TMhelix(27-46)|TMhelix(67-86)|TMhelix(326-343)
tr|A0A1B0CVU0|A0A1B0CVU0_LUTLO	TMhelix|TMhelix|GT-A	TMhelix(20-39)|TMhelix(131-153)|Galactosyl_T(221-384)
tr|A0A1S4BFH0|A0A1S4BFH0_TOBAC	TMhelix|TMhelix|GT-A	TMhelix(20-39)|TMhelix(200-219)|DUF604(197-448)
tr|A0A1U8HRA7|A0A1U8HRA7_GOSHI	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(199-218)|DUF604(213-448)
tr|A0A2G8K503|A0A2G8K503_STIJA	TMhelix|TMhelix|GT-A	TMhelix(5-24)|TMhelix(306-328)|Galactosyl_T(418-565)
tr|A0A016VZS7|A0A016VZS7_9BILA	TMhelix|RT_nLTR_like|GT-A	TMhelix(21-43)|RT_nLTR_like(83-281)|Galactosyl_T(378-546)
tr|A0A1D6S9X4|A0A1D6S9X4_WHEAT	TMhelix|PHA03247|GT-A	TMhelix(20-42)|PHA03247(49-231)|DUF604(373-634)
tr|A0A1I7Y357|A0A1I7Y357_9BILA	TMhelix|other_trbK|GT-A	TMhelix(7-29)|other_trbK(13-71)|Galactosyl_T(76-213)
tr|F2UB73|F2UB73_SALR5	TMhelix|Lectin|GT-A	TMhelix(9-31)|Ricin_B_lectin(113-245)|Galactosyl_T(383-441)
tr|A0A182DZU4|A0A182DZU4_ONCOC	TMhelix|Interacting_Protein|GT-A	TMhelix(53-75)|Rab5ip(41-107)|Galactosyl_T(355-561)
tr|A0A261A0U0|A0A261A0U0_9PELO	TMhelix|Interacting_Protein|GT-A	TMhelix(46-68)|Rab5ip(36-110)|Galactosyl_T(282-481)
