tr|A0A1S3Y3Q1|A0A1S3Y3Q1_TOBAC	TMhelix|Voltage_gated_ClC|GT-A	TMhelix(89-111)|Voltage_gated_ClC(77-138)|GlcAT-I(192-423)
tr|A0A1D2M6Z7|A0A1D2M6Z7_ORCCI	TMhelix|TMhelix|SDR|GT-A	TMhelix(34-56)|TMhelix(145-164)|SDR(169-334)|Glyco_tranf_GTA_type(268-452)
sp|Q9FH90|IX14H_ARATH	TMhelix|TMhelix|GT-A	TMhelix(35-54)|TMhelix(59-81)|GlcAT-I(152-418)
tr|A0A103Y000|A0A103Y000_CYNCS	TMhelix|TMhelix|GT-A	TMhelix(20-37)|TMhelix(49-66)|Glyco_tranf_GTA_type(33-376)
tr|A0A164UBM9|A0A164UBM9_DAUCA	TMhelix|TMhelix|GT-A	TMhelix(31-53)|TMhelix(58-77)|Glyco_tranf_GTA_type(160-423)
tr|A0A1B0CPB1|A0A1B0CPB1_LUTLO	TMhelix|TMhelix|GT-A	TMhelix(15-32)|TMhelix(45-63)|GlcAT-I(87-323)
tr|A0A1B1IJJ7|A0A1B1IJJ7_PHYPA	TMhelix|TMhelix|GT-A	TMhelix(36-58)|TMhelix(79-101)|GlcAT-I(174-405)
tr|A0A1D2MFP9|A0A1D2MFP9_ORCCI	TMhelix|TMhelix|GT-A	TMhelix(5-24)|TMhelix(50-67)|Glyco_tranf_GTA_type(106-269)
tr|A0A1D5RVZ6|A0A1D5RVZ6_WHEAT	TMhelix|TMhelix|GT-A	TMhelix(45-67)|TMhelix(87-109)|GlcAT-I(183-414)
tr|A0A226DZH6|A0A226DZH6_FOLCA	TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(65-87)|Glyco_tranf_GTA_type(103-354)
tr|A0A2K5SHI8|A0A2K5SHI8_CEBCA	TMhelix|TMhelix|GT-A	TMhelix(7-29)|TMhelix(57-79)|GlcAT-I(28-254)
tr|A0A2N5S846|A0A2N5S846_9BASI	TMhelix|TMhelix|GT-A	TMhelix(10-29)|TMhelix(36-58)|Glyco_tranf_GTA_type(296-483)
tr|A0A2N5TUR6|A0A2N5TUR6_9BASI	TMhelix|TMhelix|GT-A	TMhelix(10-29)|TMhelix(36-58)|Glyco_tranf_GTA_type(296-483)
tr|B9HH87|B9HH87_POPTR	TMhelix|TMhelix|GT-A	TMhelix(37-56)|TMhelix(63-85)|Glyco_transf_43(178-423)
tr|D7MAQ0|D7MAQ0_ARALL	TMhelix|TMhelix|GT-A	TMhelix(34-56)|TMhelix(61-79)|Glyco_transf_43(181-425)
tr|D7MKR9|D7MKR9_ARALL	TMhelix|TMhelix|GT-A	TMhelix(35-54)|TMhelix(59-81)|Glyco_tranf_GTA_type(152-389)
tr|F2CSG9|F2CSG9_HORVV	TMhelix|TMhelix|GT-A	TMhelix(45-67)|TMhelix(87-109)|GlcAT-I(183-414)
tr|G1MSE0|G1MSE0_MELGA	TMhelix|TMhelix|GT-A	TMhelix(31-53)|TMhelix(73-95)|Glyco_transf_43(171-381)
