tr|M0U2F0|M0U2F0_MUSAM	TM_PBP2|GT-A	TM_PBP2(8-65)|Branch(53-326)
tr|A0A251TV28|A0A251TV28_HELAN	TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(12-34)|TMhelix(186-205)|TMhelix(212-234)|Branch(45-500)|Branch(498-729)
tr|K7GT94|K7GT94_CAEJA	TMhelix|TMhelix|TMhelix|7TM_GPCR_Sra|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(20-42)|TMhelix(54-71)|TMhelix(99-121)|7TM_GPCR_Sra(2-276)|TMhelix(142-164)|TMhelix(184-206)|TMhelix(234-256)|TMhelix(266-288)|TMhelix(309-331)|Branch(311-495)
tr|A0A2P5SNN4|A0A2P5SNN4_GOSBA	TMhelix|TMhelix|GT-A|TMhelix|PLN03218	TMhelix(7-29)|TMhelix(39-56)|Branch(32-416)|TMhelix(231-253)|PLN03218(605-984)
tr|A0A2P6NAA9|A0A2P6NAA9_9MYCE	TMhelix|TMhelix|GT-A|RicinB_lectin_2	TMhelix(28-50)|TMhelix(71-93)|Branch(126-383)|RicinB_lectin_2(498-564)
tr|A0A0E0PHN5|A0A0E0PHN5_ORYRU	TMhelix|TMhelix|GT-A	TMhelix(24-46)|TMhelix(216-238)|Branch(77-480)
tr|A0A1I7Z2I2|A0A1I7Z2I2_9BILA	TMhelix|TMhelix|GT-A	TMhelix(10-32)|TMhelix(45-67)|Branch(160-371)
tr|A0A1Y1HZS2|A0A1Y1HZS2_KLENI	TMhelix|TMhelix|GT-A	TMhelix(43-65)|TMhelix(85-107)|Branch(42-402)
tr|M0S5V4|M0S5V4_MUSAM	TMhelix|TMhelix|GT-A	TMhelix(26-48)|TMhelix(201-220)|Branch(23-450)
tr|W4XZE4|W4XZE4_STRPU	TMhelix|TMhelix|GT-A	TMhelix(92-114)|TMhelix(134-156)|Branch(273-528)
tr|A0A1S8VQ69|A0A1S8VQ69_9FUNG	TMhelix|PRK01297|GT-A|GT-A	TMhelix(21-43)|PRK01297(35-142)|Branch(262-516)|Glyco_tranf_GTA_type(622-772)
tr|A0A1S3HXP5|A0A1S3HXP5_LINUN	TMhelix|GT|GT|GT-A|GT-A	TMhelix(13-32)|WSC(137-217)|WSC(287-337)|Branch(373-625)|Xylo_C(659-831)
tr|A0A182JLI1|A0A182JLI1_9DIPT	TMhelix|GT|GT-A|TMhelix|GT|GT-A|GT-A	TMhelix(15-37)|WSC(118-194)|Branch(226-273)|TMhelix(280-302)|WSC(445-525)|Branch(557-811)|Xylo_C(845-1024)
tr|A0A182QK58|A0A182QK58_9DIPT	TMhelix|GT|GT-A|GT-A|TMhelix|GT|GT-A|GT-A	TMhelix(23-45)|WSC(125-202)|Branch(234-470)|Xylo_C(519-696)|TMhelix(842-864)|WSC(996-1076)|Branch(1109-1367)|Xylo_C(1400-1590)
