tr|A0A1V4JFB3|A0A1V4JFB3_PATFA	Uup|GT-A|GT-A	Uup(121-220)|Galactosyl_T(373-469)|CHGN(442-944)
tr|A9V4Z4|A9V4Z4_MONBE	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(48-70)|TMhelix(85-107)|TMhelix(114-136)|TMhelix(171-193)|TMhelix(206-228)|Glyco_tranf_GTA_type(460-559)
tr|A0A0K0JL78|A0A0K0JL78_BRUMA	TMhelix|TMhelix|GT-A|GT-A	TMhelix(4-18)|TMhelix(31-53)|Galactosyl_T(73-287)|CHGN(225-735)
tr|G0MGH3|G0MGH3_CAEBE	TMhelix|TMhelix|GT-A|GT-A	TMhelix(28-50)|TMhelix(80-102)|Galactosyl_T(209-287)|Glyco_tranf_GTA_type(314-861)
tr|A0A2I1CEZ0|A0A2I1CEZ0_9EURO	TMhelix|GT-A|PAN_APPLE	TMhelix(15-33)|Galactosyl_T(181-288)|PAN_APPLE(364-412)
tr|A1DKV9|A1DKV9_NEOFI	TMhelix|GT-A|PAN_APPLE	TMhelix(13-32)|Galactosyl_T(181-334)|PAN_APPLE(364-412)
tr|Q4W906|Q4W906_ASPFU	TMhelix|GT-A|PAN_APPLE	TMhelix(13-35)|Galactosyl_T(183-290)|PAN_APPLE(372-414)
tr|A0A1B0CRF3|A0A1B0CRF3_LUTLO	TMhelix|GT-A|GT-A|GT-A|GT-A	TMhelix(7-25)|Galactosyl_T(68-248)|Glyco_tranf_GTA_type(218-277)|Galactosyl_T(348-528)|Glyco_tranf_GTA_type(498-801)
tr|C3Z425|C3Z425_BRAFL	TMhelix|GT-A|GT-A|GT-A|GT-A	TMhelix(37-56)|Galactosyl_T(102-289)|CHGN(258-791)|Galactosyl_T(886-1073)|Glyco_tranf_GTA_type(1042-1149)
tr|A0A1Y1IAU2|A0A1Y1IAU2_KLENI	TMhelix|GT-A|GT-A|GT-A	TMhelix(71-93)|Galactosyl_T(366-488)|Glyco_tranf_GTA_type(449-569)|Glyco_transf_25(916-1017)
sp|Q7Z1Z1|CHSSA_CAEEL	TMhelix|GT-A|GT-A	TMhelix(13-35)|Galactosyl_T(84-276)|CHGN(236-728)
tr|A0A044RDS4|A0A044RDS4_ONCVO	TMhelix|GT-A|GT-A	TMhelix(20-39)|Galactosyl_T(60-274)|CHGN(212-722)
tr|A0A087ZN64|A0A087ZN64_APIME	TMhelix|GT-A|GT-A	TMhelix(13-35)|Galactosyl_T(86-272)|CHGN(240-794)
tr|A0A0V1P0Q0|A0A0V1P0Q0_9BILA	TMhelix|GT-A|GT-A	TMhelix(77-94)|Galactosyl_T(118-287)|CHGN(270-767)
tr|A0A132AA07|A0A132AA07_SARSC	TMhelix|GT-A|GT-A	TMhelix(13-35)|Galactosyl_T(105-296)|CHGN(257-758)
tr|A0A151ILV9|A0A151ILV9_9HYME	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(75-261)|CHGN(229-799)
tr|A0A151J1R6|A0A151J1R6_9HYME	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(84-270)|CHGN(238-790)
tr|A0A151JUT0|A0A151JUT0_9HYME	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(84-270)|CHGN(238-796)
tr|A0A151WW89|A0A151WW89_9HYME	TMhelix|GT-A|GT-A	TMhelix(19-41)|Galactosyl_T(84-270)|CHGN(238-790)
tr|A0A154PEY4|A0A154PEY4_9HYME	TMhelix|GT-A|GT-A	TMhelix(16-38)|Galactosyl_T(86-304)|CHGN(240-814)
tr|A0A182FK38|A0A182FK38_ANOAL	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(67-247)|CHGN(217-888)
tr|A0A182IDS6|A0A182IDS6_ANOAR	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-884)
tr|A0A182J0V2|A0A182J0V2_9DIPT	TMhelix|GT-A|GT-A	TMhelix(30-47)|Galactosyl_T(90-270)|CHGN(240-912)
tr|A0A182MEV0|A0A182MEV0_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-858)
tr|A0A182MZU9|A0A182MZU9_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-816)
tr|A0A182PDM9|A0A182PDM9_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(81-261)|CHGN(231-870)
tr|A0A182Q9N3|A0A182Q9N3_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(81-261)|CHGN(231-862)
tr|A0A182RPA9|A0A182RPA9_ANOFN	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-854)
tr|A0A182UBA5|A0A182UBA5_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-884)
tr|A0A182V1C0|A0A182V1C0_ANOME	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-863)
tr|A0A182W4Y1|A0A182W4Y1_9DIPT	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-858)
tr|A0A182XNE3|A0A182XNE3_ANOQN	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-884)
tr|A0A182Y4Y9|A0A182Y4Y9_ANOST	TMhelix|GT-A|GT-A	TMhelix(12-29)|Galactosyl_T(72-252)|CHGN(222-856)
tr|A0A195AUR8|A0A195AUR8_9HYME	TMhelix|GT-A|GT-A	TMhelix(7-29)|Galactosyl_T(75-261)|CHGN(229-781)
tr|A0A1B0D0U2|A0A1B0D0U2_PHLPP	TMhelix|GT-A|GT-A	TMhelix(7-25)|Galactosyl_T(68-248)|CHGN(218-772)
tr|A0A1I7VSF1|A0A1I7VSF1_LOALO	TMhelix|GT-A|GT-A	TMhelix(20-39)|Galactosyl_T(60-274)|CHGN(212-722)
tr|A0A1I7XNH3|A0A1I7XNH3_HETBA	TMhelix|GT-A|GT-A	TMhelix(33-55)|Galactosyl_T(75-275)|Glyco_tranf_GTA_type(227-498)
