tr|B9S7N5|B9S7N5_RICCO	WRN_exo|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	WRN_exo(39-220)|GT8_Glycogenin(271-517)|TMhelix(534-556)|TMhelix(605-627)|TMhelix(642-664)|TMhelix(702-724)|TMhelix(728-750)
tr|Q0UDW5|Q0UDW5_PHANO	TonB_N|GT-A	TonB_N(41-110)|Glyco_tranf_GTA_type(134-375)
tr|A0A2P6UZG8|A0A2P6UZG8_9CHLO	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(25-47)|TMhelix(54-76)|TMhelix(86-108)|TMhelix(115-137)|TMhelix(216-238)|TMhelix(290-312)|Glyco_tranf_GTA_type(325-484)
tr|A0A067MYG5|A0A067MYG5_9HOMO	TMhelix|TMhelix|TMhelix|TMhelix|GT-A|PHA03247	TMhelix(20-42)|TMhelix(63-85)|TMhelix(89-111)|TMhelix(120-139)|GT8_Glycogenin(220-492)|PHA03247(1144-1558)
tr|A0A1Q9CAB2|A0A1Q9CAB2_SYMMI	TMhelix|TMhelix|TMhelix|Ion_trans|TMhelix|TMhelix|TMhelix|EFh|TMhelix|DNA_BRE_C|GT-A|TUDOR	TMhelix(141-163)|TMhelix(178-200)|TMhelix(213-235)|Ion_trans(143-387)|TMhelix(264-281)|TMhelix(288-310)|TMhelix(371-393)|EFh(417-479)|TMhelix(738-760)|DNA_BRE_C(755-902)|Glyco_tranf_GTA_type(1189-1464)|TUDOR(1576-1610)
tr|B8P177|B8P177_POSPM	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(60-82)|TMhelix(87-109)|TMhelix(472-491)|Glyco_tranf_GTA_type(531-747)
tr|V5BNI4|V5BNI4_TRYCR	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(31-53)|TMhelix(57-76)|TMhelix(104-126)|Glyco_tranf_GTA_type(325-557)
tr|A0A1E3QI28|A0A1E3QI28_9ASCO	TMhelix|TMhelix|LrgA|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|LrgB|TMhelix|TMhelix|GT-A	TMhelix(21-43)|TMhelix(53-75)|LrgA(37-166)|TMhelix(96-115)|TMhelix(125-147)|TMhelix(265-287)|TMhelix(292-314)|TMhelix(321-343)|TMhelix(383-402)|TMhelix(409-431)|LrgB(306-542)|TMhelix(466-488)|TMhelix(532-554)|GT8_Glycogenin(573-872)
tr|A0A0E0L2S5|A0A0E0L2S5_ORYPU	TMhelix|TMhelix|GT-A	TMhelix(33-55)|TMhelix(149-171)|GT8_Glycogenin(402-647)
tr|A0A0V1NWI5|A0A0V1NWI5_9BILA	TMhelix|TMhelix|GT-A	TMhelix(72-94)|TMhelix(101-123)|GT8_Glycogenin(134-376)
tr|A0A103XYQ3|A0A103XYQ3_CYNCS	TMhelix|TMhelix|GT-A	TMhelix(5-24)|TMhelix(62-84)|GT8_Glycogenin(319-564)
tr|A0A151GKJ4|A0A151GKJ4_9HYPO	TMhelix|TMhelix|GT-A	TMhelix(12-34)|TMhelix(44-66)|Glyco_tranf_GTA_type(45-240)
tr|A0A1J4J271|A0A1J4J271_9EUKA	TMhelix|TMhelix|GT-A	TMhelix(12-34)|TMhelix(62-81)|Glyco_tranf_GTA_type(62-286)
tr|A0A1J4KG67|A0A1J4KG67_9EUKA	TMhelix|TMhelix|GT-A	TMhelix(5-24)|TMhelix(45-67)|GT8_Glycogenin(45-270)
tr|A2D7V6|A2D7V6_TRIVA	TMhelix|TMhelix|GT-A	TMhelix(5-27)|TMhelix(42-64)|GT8_Glycogenin(42-267)
tr|A2FG67|A2FG67_TRIVA	TMhelix|TMhelix|GT-A	TMhelix(5-27)|TMhelix(40-62)|Glyco_tranf_GTA_type(41-266)
tr|A7E477|A7E477_SCLS1	TMhelix|TMhelix|GT-A	TMhelix(42-64)|TMhelix(71-88)|Glyco_tranf_GTA_type(43-339)
tr|Q4DEE9|Q4DEE9_TRYCC	TMhelix|TMhelix|GT-A	TMhelix(32-49)|TMhelix(90-112)|GT8_Glycogenin(200-453)
tr|R1F303|R1F303_EMIHU	TMhelix|TMhelix|GT-A	TMhelix(56-78)|TMhelix(91-113)|Glyco_tranf_GTA_type(261-482)
tr|R1F4I7|R1F4I7_EMIHU	TMhelix|TMhelix|GT-A	TMhelix(33-55)|TMhelix(70-92)|Glyco_tranf_GTA_type(182-373)
tr|S3D7K0|S3D7K0_GLAL2	TMhelix|TMhelix|GT-A	TMhelix(23-45)|TMhelix(52-74)|Glyco_tranf_GTA_type(23-339)
tr|W2PNI9|W2PNI9_PHYPN	TMhelix|TMhelix|GT-A	TMhelix(35-57)|TMhelix(164-186)|Glyco_tranf_GTA_type(163-394)
tr|K2N216|K2N216_TRYCR	TMhelix|Spc29|GT-A	TMhelix(20-42)|Spc29(43-209)|Glyco_tranf_GTA_type(241-473)
tr|A0A2I0RQ97|A0A2I0RQ97_9PEZI	TMhelix|PRK12323|GT-A	TMhelix(5-27)|PRK12323(117-233)|Glyco_tranf_GTA_type(281-544)
tr|A0A1D5WM67|A0A1D5WM67_WHEAT	TMhelix|MT|GT-A	TMhelix(58-75)|AdoMet_MTases(187-248)|GT8_Glycogenin(306-547)
tr|A0A1D6DBH0|A0A1D6DBH0_WHEAT	TMhelix|MT|GT-A	TMhelix(51-69)|AdoMet_MTases(182-260)|GT8_Glycogenin(301-542)
tr|A0A1V6PEN7|A0A1V6PEN7_9EURO	TMhelix|MhpC|GT-A|Atrophin-1	TMhelix(7-29)|MhpC(92-275)|GT8_Glycogenin(474-708)|Atrophin-1(719-1046)
tr|A0A024TNC5|A0A024TNC5_9STRA	TMhelix|Mannosyl_trans3	TMhelix(51-73)|Mannosyl_trans3(211-441)
tr|W4G0J9|W4G0J9_9STRA	TMhelix|Mannosyl_trans3	TMhelix(52-74)|Mannosyl_trans3(212-442)
tr|A0A1C7LNB5|A0A1C7LNB5_GRIFR	TMhelix|GT-A|TyrA	TMhelix(22-44)|Glyco_tranf_GTA_type(83-271)|TyrA(311-582)
tr|A0A1R3G2X9|A0A1R3G2X9_9ROSI	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|GT8_Glycogenin(45-297)|TMhelix(258-280)|TMhelix(300-322)|TMhelix(343-365)|TMhelix(375-397)|TMhelix(399-421)|TMhelix(425-447)
tr|A0A0P1AFV6|A0A0P1AFV6_9STRA	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(17-36)|Glyco_tranf_GTA_type(58-236)|TMhelix(364-386)|TMhelix(432-454)|TMhelix(469-491)|TMhelix(512-534)|TMhelix(544-566)
tr|A0A124SD13|A0A124SD13_CYNCS	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(7-29)|GT8_Glycogenin(27-276)|TMhelix(284-306)|TMhelix(327-349)|TMhelix(354-376)|TMhelix(383-402)|TMhelix(406-428)
tr|A0A1Q3D6P8|A0A1Q3D6P8_CEPFO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(13-32)|GT8_Glycogenin(51-303)|TMhelix(311-333)|TMhelix(354-376)|TMhelix(381-403)|TMhelix(408-427)|TMhelix(431-453)
tr|A0A1R3GNI2|A0A1R3GNI2_COCAP	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(15-37)|GT8_Glycogenin(45-297)|TMhelix(299-321)|TMhelix(344-366)|TMhelix(373-395)|TMhelix(399-421)|TMhelix(428-447)
