tr|U5NE84|U5NE84_9BURK	TPR_6|GT-B	TPR_6(15-46)|RfaB(506-628)
tr|A0A087CMB8|A0A087CMB8_9BIFI	TMhelix|GT-A	TMhelix(13-35)|Glyco_tranf_GTA_type(75-190)
tr|A0A1H9DP47|A0A1H9DP47_9FIRM	TMhelix|GT-A	TMhelix(15-34)|Glyco_tranf_GTA_type(54-205)
tr|A0A0D1EPR7|A0A0D1EPR7_9RHOB	TMhelix	TMhelix(33-55)
tr|A0A1J4MJK3|A0A1J4MJK3_9CRYT	TMhelix	TMhelix(13-35)
tr|B6AIB3|B6AIB3_CRYMR	TMhelix	TMhelix(13-35)
tr|Q5CX14|Q5CX14_CRYPI	TMhelix	TMhelix(15-37)
tr|A0A1I7NHU6|A0A1I7NHU6_9RHIZ	MT|SMC_prok_B|GT-A|GT-A	AdoMet_MTases(66-199)|SMC_prok_B(259-496)|Glyco_transf_25(1206-1336)|Glyco_tranf_2_4(1506-1592)
tr|A0A0Q9II53|A0A0Q9II53_9BRAD	MT|SMC_prok_B|GT-A	fkbM_fam(66-199)|SMC_prok_B(256-461)|Glyco_transf_25(1129-1259)
tr|N6UBV6|N6UBV6_9RHIZ	MT|MT	AdoMet_MTases(64-194)|Methyltransf_25(676-758)
tr|A0A0P1G0D1|A0A0P1G0D1_9RHOB	MT	AdoMet_MTases(75-182)
tr|A0A1H6Z6F8|A0A1H6Z6F8_9MICO	MT	AdoMet_MTases(58-192)
tr|B9JGD9|B9JGD9_AGRRK	MT	fkbM_fam(57-189)
tr|A0A0Q7PEV7|A0A0Q7PEV7_9GAMM	HCR|GT-A	HCR(217-295)|Glyco_tranf_GTA_type(396-566)
tr|A0A1Y4NZM0|A0A1Y4NZM0_9FIRM	HAD_like|GT-B	HAD_like(130-561)|GT4_PimA-like(743-1086)
tr|A0A2A6B189|A0A2A6B189_9ALTE	GT-B	RfaB(492-636)
tr|R5KPZ4|R5KPZ4_9CLOT	GT-A|Phe_tRNA-synt_N	Glycos_transf_2(6-177)|Phe_tRNA-synt_N(627-668)
tr|A0A2T4J935|A0A2T4J935_9RHOB	GT-A|GT-A|GT-A	Glyco_tranf_GTA_type(103-275)|Glyco_tranf_GTA_type(437-521)|Glyco_tranf_GTA_type(665-776)
tr|A0A017HU86|A0A017HU86_9RHOB	GT-A|GT-A	Glyco_tranf_GTA_type(132-304)|Glyco_tranf_GTA_type(700-808)
tr|A0A1T0CE31|A0A1T0CE31_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(97-270)|Glyco_tranf_GTA_type(375-496)
tr|A0A1T2LBG1|A0A1T2LBG1_9GAMM	GT-A|GT-A	Glyco_tranf_GTA_type(4-232)|Glyco_tranf_GTA_type(371-520)
