tr|D3B9T6|D3B9T6_POLPP	ZnF_GATA|GT	ZnF_GATA(428-468)|GlcNAc(610-934)
tr|A0A090N3F6|A0A090N3F6_OSTTA	TPR_16|DnaJ|GT	TPR_16(80-127)|DnaJ(358-402)|GlcNAc(426-835)
tr|A0A024UG82|A0A024UG82_9STRA	TMhelix|GT|TMhelix	TMhelix(60-82)|GlcNAc(154-470)|TMhelix(604-626)
tr|A0A2R5GAB3|A0A2R5GAB3_9STRA	TMhelix|GT|TMhelix	TMhelix(12-29)|GlcNAc(81-394)|TMhelix(496-518)
tr|D7G1A5|D7G1A5_ECTSI	TMhelix|GT|TMhelix	TMhelix(75-92)|GlcNAc(134-441)|TMhelix(529-551)
tr|F0Y6S3|F0Y6S3_AURAN	TMhelix|GT|PLN02983|DUF4813|Transglut_core2|TRAM_LAG1_CLN8	TMhelix(24-46)|GlcNAc(198-542)|PLN02983(580-751)|DUF4813(674-745)|Transglut_core2(1196-1351)|TRAM_LAG1_CLN8(1483-1587)
tr|W4GA21|W4GA21_9STRA	TMhelix|GT|GT|GT	TMhelix(21-43)|GlcNAc(86-391)|GlcNAc(551-858)|GlcNAc(919-1224)
tr|H3H1B0|H3H1B0_PHYRM	TMhelix|GT|Aes	TMhelix(25-47)|GlcNAc(98-398)|Aes(514-639)
tr|A0A024TMA7|A0A024TMA7_9STRA	TMhelix|GT	TMhelix(17-39)|GlcNAc(76-383)
tr|A0A024U7H1|A0A024U7H1_9STRA	TMhelix|GT	TMhelix(25-44)|GlcNAc(80-398)
tr|A0A024UJ87|A0A024UJ87_9STRA	TMhelix|GT	TMhelix(21-43)|GlcNAc(61-369)
tr|A0A0P1AG76|A0A0P1AG76_9STRA	TMhelix|GT	TMhelix(30-52)|GlcNAc(160-430)
tr|A0A150GE27|A0A150GE27_GONPE	TMhelix|GT	TMhelix(9-31)|GlcNAc(36-325)
