tr|A0A1J8QIW8|A0A1J8QIW8_9HOMO	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(287-309)|TMhelix(337-359)|TMhelix(372-394)|TMhelix(426-448)|TMhelix(458-477)|UDP-g_GGTase(526-1754)|GT8_HUGT1_C_like(1806-2053)
tr|K2MCQ4|K2MCQ4_TRYCR	TMhelix|TMhelix|TMhelix|GT-A|GT-A	TMhelix(7-29)|TMhelix(39-61)|TMhelix(74-106)|UDP-g_GGTase(173-1465)|GT8_HUGT1_C_like(1499-1755)
tr|G3WL94|G3WL94_SARHA	TMhelix|TMhelix|GT-A|GT-A	TMhelix(349-371)|TMhelix(376-398)|UDP-g_GGTase(1-1031)|Glyco_tranf_GTA_type(1086-1283)
tr|A0A0V0RLE5|A0A0V0RLE5_9BILA	TMhelix|GT-A|GT-A|P-loop_NTPase|Raptor_N|WD40	TMhelix(13-35)|UDP-g_GGTase(44-830)|GT8_HUGT1_C_like(871-1107)|P-loop_NTPase(1201-1527)|Raptor_N(1619-1770)|WD40(2904-3152)
tr|A0A0V1NPH6|A0A0V1NPH6_9BILA	TMhelix|GT-A|GT-A|P-loop_NTPase|Raptor_N|WD40	TMhelix(13-35)|UDP-g_GGTase(44-1179)|GT8_HUGT1_C_like(1216-1463)|P-loop_NTPase(1642-1968)|Raptor_N(2061-2212)|WD40(3346-3618)
tr|E5SIN9|E5SIN9_TRISP	TMhelix|GT-A|GT-A|P-loop_NTPase	TMhelix(13-35)|UDP-g_GGTase(44-838)|GT8_HUGT1_C_like(879-1119)|P-loop_NTPase(1248-1488)
sp|Q9NYU2|UGGG1_HUMAN	TMhelix|GT-A|GT-A	TMhelix(13-35)|UDP-g_GGTase(45-1202)|GT8_HUGT1_C_like(1256-1503)
tr|A0A182J6H8|A0A182J6H8_9DIPT	TMhelix|GT-A|GT-A	TMhelix(13-32)|UDP-g_GGTase(37-1210)|GT8_HUGT1_C_like(1256-1503)
tr|A0A1E3QB41|A0A1E3QB41_LIPST	TMhelix|GT-A|GT-A	TMhelix(24-46)|UDP-g_GGTase(47-1244)|GT8_HUGT1_C_like(1298-1545)
tr|A0A1U7U6F5|A0A1U7U6F5_TARSY	TMhelix|GT-A|GT-A	TMhelix(31-48)|UDP-g_GGTase(56-1213)|GT8_HUGT1_C_like(1268-1515)
tr|A0A1Z5JWC0|A0A1Z5JWC0_FISSO	TMhelix|GT-A|GT-A	TMhelix(7-24)|UDP-g_GGTase(37-1307)|GT8_HUGT1_C_like(1329-1576)
