tr|A0A2I4BCB5|A0A2I4BCB5_9TELE	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(13-30)|TMhelix(45-67)|TMhelix(79-96)|MGAT2(172-524)
tr|A0A1A9YDA4|A0A1A9YDA4_GLOFF	TMhelix|TMhelix|GT-A	TMhelix(28-50)|TMhelix(105-127)|MGAT2(68-367)
tr|A0A1B0B6F7|A0A1B0B6F7_9MUSC	TMhelix|TMhelix|GT-A	TMhelix(28-50)|TMhelix(105-127)|MGAT2(68-367)
tr|A0A1E7ER41|A0A1E7ER41_9STRA	TMhelix|PLN02701|GT-A	TMhelix(174-196)|PLN02701(320-1101)|MGAT2(1227-1530)
tr|A0A2B4SLG8|A0A2B4SLG8_STYPI	TMhelix|GT-A|TMhelix	TMhelix(20-39)|MGAT2(53-292)|TMhelix(393-415)
tr|A7RNZ8|A7RNZ8_NEMVE	TMhelix|GT-A|TMhelix	TMhelix(20-39)|MGAT2(58-188)|TMhelix(392-414)
tr|A0A164VEH6|A0A164VEH6_9CRUS	TMhelix|GT-A|Protein_Binding|TPR_19	TMhelix(12-34)|MGAT2(76-441)|TPR(477-696)|TPR_19(912-973)
tr|A0A0V1MRA0|A0A0V1MRA0_9BILA	TMhelix|GT-A|GTPase|TIGR02680|SH3|RUN	TMhelix(19-38)|MGAT2(119-428)|TBC(614-833)|TIGR02680(825-1004)|SH3(991-1042)|RUN(1074-1227)
tr|A0A0V0U6R0|A0A0V0U6R0_9BILA	TMhelix|GT-A|GTPase|SH3|RUN|zf-CCCH_3	TMhelix(17-36)|MGAT2(119-405)|TBC(672-893)|SH3(1049-1100)|RUN(1140-1293)|zf-CCCH_3(1360-1468)
tr|A0A0V0YF08|A0A0V0YF08_TRIPS	TMhelix|GT-A|GTPase|SH3|RUN|zf-CCCH_3	TMhelix(20-37)|MGAT2(119-438)|TBC(624-816)|SH3(842-893)|RUN(924-1077)|zf-CCCH_3(1104-1194)
tr|A0A0V1I5Q1|A0A0V1I5Q1_9BILA	TMhelix|GT-A|GTPase|SH3|RUN|zf-CCCH_3	TMhelix(19-38)|MGAT2(119-428)|TBC(660-879)|SH3(888-929)|RUN(961-1114)|zf-CCCH_3(1151-1259)
tr|A0A0V1LKW1|A0A0V1LKW1_9BILA	TMhelix|GT-A|GTPase|SH3|RUN|zf-CCCH_3	TMhelix(17-36)|MGAT2(119-405)|TBC(659-880)|SH3(1036-1087)|RUN(1129-1282)|zf-CCCH_3(1320-1428)
tr|A0A0V0VVW6|A0A0V0VVW6_9BILA	TMhelix|GT-A|GTPase|SH3|RUN	TMhelix(21-43)|MGAT2(124-410)|TBC(677-898)|SH3(1072-1123)|RUN(1163-1316)
tr|A0A0V0WN21|A0A0V0WN21_9BILA	TMhelix|GT-A|GTPase|SH3|RUN	TMhelix(17-36)|MGAT2(119-405)|TBC(672-893)|SH3(1049-1100)|RUN(1142-1295)
tr|A0A0V0ZTH1|A0A0V0ZTH1_9BILA	TMhelix|GT-A|GTPase|SH3|RUN	TMhelix(21-43)|MGAT2(124-410)|TBC(677-898)|SH3(1054-1105)|RUN(1147-1300)
tr|A0A1B0GE07|A0A1B0GE07_GLOMM	TMhelix|GT-A|GT-A|GT-A	TMhelix(31-53)|MGAT2(125-424)|MGAT2(492-691)|MGAT2(737-1008)
